Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
SRR2155413 - Adapter 1	0.9101720576253565	1.2662220757691172	1.3646568256716969	1.2772639047669876	1.8591508151410627	4.202058334456878	12.958835160884416	44.40690150970525	168.79310344827587	554.7126436781609	1820.9090909090908	6782.0	24720.0	24170.0	21400.0	19510.0	20790.0	17810.0	9570.0	9930.0	8540.0	6950.0	6290.0	5130.0	5570.0	4250.0	4110.0	4310.0	3560.0	4190.0	1820.0	1750.0	1850.0	1990.0	2400.0	1910.0	1690.0	2060.0	2190.0	1690.0	1740.0	1240.0	1330.0	1390.0	2090.0	2390.0	930.0	1170.0	1330.0	1190.0	1480.0	2590.0	2510.0	710.0	830.0	870.0	1510.0	1940.0	1740.0	1160.0	1680.0	1860.0	3690.0	2900.0	1020.0	1460.0	2490.0	4190.0	6760.0	6380.0	1310.0	380.0	170.0	130.0	90.0	60.0	90.0	100.0	90.0	70.0	120.0	80.0	50.0	80.0	60.0	130.0	100.0	110.0	70.0	30.0	40.0	110.0	50.0	120.0	30.0	80.0	70.0	120.0	20.0	50.0	70.0
SRR2155414 - Adapter 1	0.8972584250663452	1.2470473724204336	1.33045759736948	1.2569636687976573	1.8325922155849026	3.9393533524416706	13.084753026893818	45.70295756536648	165.38131962296487	566.7808219178082	1805.6164383561645	6948.333333333333	18020.0	17604.0	14570.0	14064.0	13408.0	11306.0	6910.0	6810.0	5880.0	5528.0	4642.0	4090.0	3958.0	3010.0	3086.0	3274.0	2668.0	2666.0	1540.0	1638.0	1468.0	1554.0	1404.0	1470.0	1922.0	2116.0	890.0	1012.0	926.0	856.0	918.0	932.0	1312.0	1410.0	802.0	832.0	860.0	828.0	932.0	1448.0	1338.0	566.0	590.0	726.0	988.0	1178.0	1054.0	908.0	1152.0	1304.0	2424.0	2100.0	1046.0	1218.0	1990.0	3390.0	5136.0	5154.0	1374.0	414.0	210.0	112.0	92.0	66.0	50.0	56.0	50.0	52.0	70.0	70.0	30.0	56.0	48.0	48.0	42.0	54.0	58.0	48.0	42.0	98.0	56.0	38.0	28.0	48.0	48.0	86.0	42.0	44.0	150.0
SRR2155415 - Adapter 1	0.9022523608299072	1.2494375310924895	1.3271517102353727	1.2426796536377624	1.7711185085614147	3.711116741266222	11.58831146894882	41.056306306306304	155.22522522522522	482.98561151079133	1616.5217391304348	5924.705882352941	20090.0	18027.5	16620.0	15135.0	14790.0	12455.0	7865.0	7495.0	6585.0	5677.5	4862.5	4330.0	4565.0	3222.5	3735.0	4402.5	3540.0	3762.5	1895.0	2070.0	1980.0	2685.0	2215.0	1970.0	1937.5	1510.0	1650.0	1947.5	1777.5	1367.5	1675.0	1702.5	2707.5	2870.0	1545.0	1295.0	1395.0	1447.5	1657.5	3210.0	2952.5	980.0	1045.0	1395.0	2002.5	2272.5	2412.5	1705.0	2165.0	2842.5	6042.5	4152.5	1635.0	2090.0	4267.5	7577.5	11990.0	13445.0	2400.0	862.5	267.5	167.5	97.5	75.0	62.5	62.5	102.5	80.0	145.0	97.5	55.0	107.5	72.5	77.5	77.5	72.5	57.5	75.0	85.0	147.5	65.0	67.5	50.0	77.5	90.0	102.5	70.0	115.0	580.0
SRR2155416 - Adapter 1	0.9044754660378701	1.266648596956855	1.3439233802305826	1.2660296389252172	1.845419587644453	3.9663340389073682	12.33045722119184	43.6	161.8709677419355	533.917525773196	1723.75	6435.833333333334	19390.0	17966.666666666668	16213.333333333334	14373.333333333334	15450.0	12986.666666666668	7060.0	7440.0	6090.0	5513.333333333334	4883.333333333334	4263.333333333334	3986.666666666667	3183.3333333333335	3386.666666666667	3326.666666666667	2986.666666666667	2960.0	1496.6666666666667	1676.6666666666667	1490.0	1640.0	2513.3333333333335	2053.3333333333335	1630.0	1223.3333333333335	1346.6666666666667	916.6666666666667	876.6666666666667	1053.3333333333335	1110.0	1146.6666666666667	2016.6666666666667	1963.3333333333335	743.3333333333334	800.0	976.6666666666667	780.0	1113.3333333333335	2193.3333333333335	1546.6666666666667	466.6666666666667	633.3333333333334	730.0	1100.0	1273.3333333333335	1250.0	850.0	1126.6666666666667	1236.6666666666667	2393.3333333333335	1713.3333333333335	763.3333333333334	850.0	1663.3333333333335	2690.0	3883.3333333333335	3496.666666666667	820.0	366.6666666666667	126.66666666666667	66.66666666666667	80.0	53.333333333333336	36.66666666666667	53.333333333333336	63.333333333333336	86.66666666666667	93.33333333333334	56.66666666666667	53.333333333333336	66.66666666666667	63.333333333333336	73.33333333333334	60.0	40.0	60.0	50.0	46.66666666666667	80.0	30.0	40.0	30.0	33.333333333333336	23.333333333333336	73.33333333333334	30.0	33.333333333333336	63.333333333333336
SRR2155417 - Adapter 1	0.8990346235620327	1.25102365934868	1.34955099273534	1.2933141767525622	1.9658624433909797	4.428636503278706	14.158227043518792	50.342372881355935	192.06101694915253	620.1355013550136	2017.2826086956522	7187.391304347827	22026.666666666668	20308.333333333336	17373.333333333336	17476.666666666668	16543.333333333336	14651.666666666668	8075.0	7891.666666666667	7143.333333333334	6031.666666666667	5376.666666666667	5030.0	4828.333333333334	3773.3333333333335	3476.666666666667	3411.666666666667	3115.0	3118.3333333333335	1780.0	1770.0	1488.3333333333335	1775.0	1330.0	1383.3333333333335	1371.6666666666667	1173.3333333333335	1266.6666666666667	1063.3333333333335	1056.6666666666667	1120.0	1215.0	1066.6666666666667	1666.6666666666667	1501.6666666666667	741.6666666666667	800.0	781.6666666666667	843.3333333333334	890.0	1630.0	1363.3333333333335	471.6666666666667	553.3333333333334	701.6666666666667	895.0	1061.6666666666667	1120.0	883.3333333333334	1015.0	1083.3333333333335	2145.0	1733.3333333333335	753.3333333333334	876.6666666666667	1476.6666666666667	2543.3333333333335	3785.0	4338.333333333334	1275.0	455.0	201.66666666666669	113.33333333333334	71.66666666666667	51.66666666666667	58.333333333333336	38.333333333333336	46.66666666666667	60.0	63.333333333333336	55.0	31.666666666666668	73.33333333333334	58.333333333333336	66.66666666666667	50.0	48.333333333333336	56.66666666666667	50.0	36.66666666666667	96.66666666666667	55.0	28.333333333333336	31.666666666666668	38.333333333333336	51.66666666666667	116.66666666666667	41.66666666666667	30.0	61.66666666666667
SRR2155418 - Adapter 1	0.9060626531427194	1.2507997500664119	1.313700766813679	1.20911839225567	1.6053173694867506	3.131954813082796	9.816317331530314	32.684246112238	122.48872858431018	409.81949458483757	1308.1159420289855	4828.235294117647	15405.0	14652.5	11735.0	10977.5	10715.0	9150.0	5475.0	5462.5	4790.0	4272.5	3672.5	3305.0	3092.5	2640.0	2772.5	2935.0	2385.0	2460.0	1267.5	1522.5	1195.0	1560.0	1437.5	1310.0	1310.0	1035.0	1157.5	1310.0	975.0	1220.0	1172.5	1245.0	1837.5	1567.5	922.5	827.5	1010.0	812.5	1082.5	1915.0	1550.0	570.0	580.0	720.0	1120.0	1197.5	1312.5	922.5	1212.5	1155.0	2422.5	1695.0	817.5	860.0	1695.0	2665.0	4277.5	4442.5	1170.0	435.0	182.5	97.5	85.0	55.0	85.0	35.0	45.0	92.5	102.5	50.0	37.5	72.5	55.0	77.5	52.5	37.5	72.5	55.0	52.5	107.5	70.0	17.5	35.0	52.5	30.0	90.0	40.0	27.5	82.5
SRR2155419 - Adapter 1	0.9075918064152045	1.2657523747515986	1.3674863866557185	1.3278478416897366	2.0924160087494448	5.015311423415541	16.33599475008203	57.74715660542432	212.9246935201401	694.1958041958042	2278.3333333333335	8063.333333333333	28680.0	26825.0	23450.0	21880.0	22135.0	19735.0	10385.0	10115.0	8980.0	8020.0	7355.0	6640.0	6125.0	4785.0	4755.0	4615.0	4015.0	4525.0	2125.0	2475.0	2070.0	2600.0	2045.0	1790.0	1840.0	1520.0	1615.0	1320.0	1320.0	1240.0	1370.0	1345.0	1910.0	1740.0	1070.0	1085.0	1160.0	1020.0	1300.0	2085.0	1850.0	725.0	800.0	985.0	1250.0	1580.0	1545.0	1285.0	1410.0	2040.0	3455.0	2850.0	1475.0	1610.0	2930.0	4340.0	5765.0	4885.0	925.0	370.0	160.0	80.0	90.0	35.0	70.0	40.0	50.0	25.0	145.0	75.0	65.0	115.0	25.0	65.0	75.0	65.0	70.0	50.0	105.0	75.0	70.0	65.0	20.0	40.0	35.0	100.0	30.0	45.0	150.0
SRR2155420 - Adapter 1	0.896645596726845	1.2507995321067098	1.3567057219494556	1.3315407519862634	2.098023234932519	4.973974737260883	16.028202634603485	56.73974540311174	217.49646393210747	700.6798866855524	2291.8181818181815	8408.181818181818	23940.0	22360.0	19633.333333333336	18535.0	17778.333333333336	15066.666666666668	9606.666666666668	8896.666666666668	7726.666666666667	6800.0	5958.333333333334	5408.333333333334	5075.0	3920.0	3808.3333333333335	4041.666666666667	3216.666666666667	3418.3333333333335	1730.0	1838.3333333333335	1540.0	1811.6666666666667	1601.6666666666667	1706.6666666666667	1406.6666666666667	1711.6666666666667	1438.3333333333335	1126.6666666666667	1086.6666666666667	1108.3333333333335	1273.3333333333335	1211.6666666666667	2011.6666666666667	1658.3333333333335	803.3333333333334	788.3333333333334	831.6666666666667	838.3333333333334	860.0	1806.6666666666667	1298.3333333333335	478.33333333333337	533.3333333333334	735.0	985.0	1118.3333333333335	1071.6666666666667	756.6666666666667	993.3333333333334	1095.0	1935.0	1606.6666666666667	653.3333333333334	798.3333333333334	1288.3333333333335	2480.0	3900.0	4505.0	1376.6666666666667	456.6666666666667	201.66666666666669	135.0	71.66666666666667	41.66666666666667	35.0	38.333333333333336	38.333333333333336	43.333333333333336	88.33333333333334	40.0	41.66666666666667	48.333333333333336	51.66666666666667	70.0	53.333333333333336	53.333333333333336	33.333333333333336	56.66666666666667	38.333333333333336	96.66666666666667	41.66666666666667	31.666666666666668	25.0	45.0	43.333333333333336	88.33333333333334	51.66666666666667	28.333333333333336	90.0
SRR2155421 - Adapter 1	0.9046535077359105	1.249417099335139	1.3278443592434226	1.2268242374351497	1.7189578353037476	3.5098783346355624	10.460634022920077	37.61607142857143	145.5595238095238	451.9047619047619	1523.2692307692307	5255.384615384615	17780.0	16456.666666666668	14170.0	13920.0	14386.666666666668	12156.666666666668	6066.666666666667	6316.666666666667	5770.0	4610.0	4320.0	4156.666666666667	3826.666666666667	3043.3333333333335	2866.666666666667	2943.3333333333335	3116.666666666667	2963.3333333333335	1686.6666666666667	1553.3333333333335	1476.6666666666667	2133.3333333333335	1426.6666666666667	1623.3333333333335	1366.6666666666667	1123.3333333333335	1863.3333333333335	1273.3333333333335	1303.3333333333335	1050.0	1200.0	1153.3333333333335	2116.666666666667	1483.3333333333335	560.0	550.0	633.3333333333334	616.6666666666667	636.6666666666667	1863.3333333333335	1033.3333333333335	313.33333333333337	390.0	573.3333333333334	896.6666666666667	816.6666666666667	780.0	463.33333333333337	663.3333333333334	593.3333333333334	1470.0	786.6666666666667	263.33333333333337	346.6666666666667	590.0	1153.3333333333335	2083.3333333333335	2400.0	830.0	326.6666666666667	133.33333333333334	110.0	83.33333333333334	40.0	53.333333333333336	53.333333333333336	30.0	53.333333333333336	106.66666666666667	73.33333333333334	53.333333333333336	63.333333333333336	46.66666666666667	76.66666666666667	36.66666666666667	56.66666666666667	50.0	43.333333333333336	53.333333333333336	103.33333333333334	43.333333333333336	40.0	33.333333333333336	10.0	53.333333333333336	90.0	30.0	23.333333333333336	50.0
SRR2155422 - Adapter 1	0.8976561685935023	1.267376861831992	1.3310336057950432	1.237098202932168	1.803385032729846	3.935247980185174	12.422550715521309	42.51651462724127	157.55974842767296	533.5175879396985	1699.0	6495.833333333334	19940.0	19216.666666666668	16520.0	16656.666666666668	13960.0	12353.333333333334	6873.333333333334	7316.666666666667	6406.666666666667	5670.0	4766.666666666667	4383.333333333334	4290.0	3246.666666666667	3410.0	3440.0	3023.3333333333335	3173.3333333333335	1550.0	1630.0	1483.3333333333335	1856.6666666666667	1660.0	1733.3333333333335	1803.3333333333335	1600.0	1500.0	1630.0	1756.6666666666667	1453.3333333333335	1630.0	1783.3333333333335	3003.3333333333335	2456.666666666667	996.6666666666667	1020.0	1156.6666666666667	1053.3333333333335	1580.0	2790.0	2000.0	666.6666666666667	806.6666666666667	1026.6666666666667	1436.6666666666667	1730.0	1520.0	1286.6666666666667	1470.0	2193.3333333333335	3460.0	2646.666666666667	1506.6666666666667	1466.6666666666667	2796.666666666667	3973.3333333333335	5516.666666666667	4516.666666666667	1203.3333333333335	336.6666666666667	176.66666666666669	116.66666666666667	116.66666666666667	50.0	60.0	63.333333333333336	90.0	40.0	116.66666666666667	63.333333333333336	30.0	83.33333333333334	56.66666666666667	103.33333333333334	53.333333333333336	50.0	60.0	40.0	63.333333333333336	90.0	26.666666666666668	30.0	30.0	50.0	46.66666666666667	86.66666666666667	36.66666666666667	60.0	116.66666666666667
