Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR2155413	22205.511826627968	23368.263352691483	24827.834846676	26086.00281892333	27400.114909525248	28761.287537567234	30194.96150699104	31031.38502687834	31892.727719557286	32909.87904124629	33707.41889037124	34575.47820264786	35049.956767551645	35546.23849031641	36122.884737228866	36754.92396056614	36945.746814663515	37559.38556279176	38018.69402361038	38145.958954071895	38384.79214813905	38600.11731284175	38863.58931547908	39088.81298612125	39188.46206781579	39565.31135925842	39731.14240476986	39535.86411957444	39372.85424947297	39297.42705474425	39227.48388438749	39097.671397491125	39130.277924652684	39215.394765484714	39323.536881341926	39501.40285213164	39518.28878079131	39494.51421147019	39585.492659827505	39617.849898665554	39699.00334727634	39494.71153418875	39359.29318590129	39328.14266810915	39370.80846685229	39451.25723350649	39310.87250459836	39224.10392263196	39223.472482630095	39120.598931173394	38787.47714610061	38552.79528233199	38439.54986157449	38453.6136356964	38347.81685003833	38110.96402276605	37722.17297858127	37391.10438604901	37255.48284912527	37273.01982337179	37266.171194981216	37298.65309362327	37359.28427571003	37276.02563279457	37033.79614564163	36754.03031375493	36457.9684543882	36334.5987731339	36337.52062325856	36213.28146479261	36169.79620445322	36186.00128103582	36257.619085760045	36349.453650416785	36123.13118270646	36118.32097757386	36014.979051428396	35654.40770712289	35407.62918579137	35209.44234549699	35005.52956204135	34810.90839323648	34646.77680120548	34385.82523067624	33959.25179692593	33363.12549341942	32758.08687250362	32217.30933360261	31358.382775487727	30143.84980473658	28680.630265855565	27011.08838796913	25165.873762584342	23277.644508097903	21224.55916614098	18661.641341679508	15399.365465238636	11560.466318682253	7220.0622618221105	2356.7110992033504
SRR2155414	74552.67884818473	78772.64677483647	83913.2008879276	88139.65153762186	92416.7418352346	96758.89725553281	101440.86347102716	104129.63839220552	106929.86885728266	110236.91672207681	112809.36918433323	115724.42631355491	117236.32488398776	118819.25328588497	120718.47067012594	122926.3171357289	123576.77812800652	125592.7161134849	127022.11634827235	127401.24817779071	128165.71702190358	128861.08976099911	129763.87632222436	130492.74739382761	130858.75246695816	132103.72999303616	132656.29281951004	132028.7654838701	131463.9299757578	131201.94396432617	130983.39015231901	130563.63548935587	130700.67177514793	131018.1746031513	131426.4319131168	132066.61850827254	132174.37214244247	132049.1593430089	132292.90074599476	132349.4076935729	132502.7068876317	131848.3576188444	131366.1103954129	131245.57131538415	131393.74858635446	131753.49744001357	131301.5917832465	131044.48499453695	131108.63998882315	130826.70686815763	129815.81046797732	129021.33053358333	128623.8119314769	128538.91481932279	128171.93707333907	127380.75332637154	126017.80558910886	124850.7616093728	124230.55008237489	124302.33698706303	124270.12685945274	124427.62678428217	124690.17987672152	124421.17229036544	123657.78745398848	122704.32298873863	121671.4220390694	121304.7496058334	121277.2117646206	120847.68612727772	120739.29746026015	120771.44095813068	120977.2400999506	121272.62207312814	120466.71201670489	120416.42815667883	120155.78216169131	118972.47542529057	118122.28882192998	117417.50493532358	116755.87762244033	116022.5199243959	115456.81078915467	114595.39710567801	113160.4700642088	111230.93245424885	109225.2038843231	107280.6048607786	104361.7176819678	100284.5096732915	95442.5948583605	89875.23236145741	83779.31624462194	77454.69155044472	70548.73779303943	62023.55790721255	51088.790410526875	38382.77270175394	24028.37655904827	7855.3510820112
SRR2155415	69553.9299384381	73509.03327127674	78333.20181450962	82348.39028952246	86431.87204243011	90548.67173466683	94980.6422995523	97574.47381786986	100299.9111252404	103456.10431805774	105933.55348584491	108682.71052292315	110117.09929479416	111655.31988269751	113510.58512546771	115492.02846667016	116076.26844592103	117906.65084658755	119291.48403189165	119641.67806193957	120382.36294999761	120998.62130402212	121749.65514724172	122430.79274420542	122772.07756876142	123994.53977615299	124494.1692567328	123951.04024391182	123463.98893568842	123214.57268220973	123028.60466163202	122605.32927570642	122711.30635598463	122928.42609878253	123236.44398026403	123805.3822491697	123809.8263646594	123723.79235376739	123919.74393178859	123976.31375683306	124157.76712180355	123537.56645954236	123098.22371560031	123028.12567375749	123122.40524626938	123457.36294709948	122959.46621788079	122752.7954551937	122729.14030554591	122352.0138668075	121337.51455627526	120533.67382416203	120212.32870646403	120205.67623926039	119878.08596258526	119157.3115383521	117901.62014864138	116846.66690462985	116345.82933310283	116456.3829078593	116496.44978156395	116595.98237909263	116817.44851714419	116528.91993847136	115802.43845651076	114914.26168289444	113941.66630264423	113516.65299095548	113459.28578621274	113016.77300684605	112888.17909667324	112897.69839626194	113062.42956868505	113292.94542393554	112616.39530767988	112612.85118183025	112391.10547247186	111384.198004463	110659.54661799896	109999.07112473273	109369.52785961039	108724.10125241331	108181.18547947699	107345.3054129782	105978.61341251168	104163.31464549714	102324.64259855468	100560.55086300218	97844.26014893493	94025.52905076	89508.58161506151	84299.82068101615	78640.4769932441	72780.11573079645	66343.99385236052	58322.78363756001	48023.02659886691	36039.38166518014	22510.410367311124	7343.231788078593
SRR2155416	48670.57647038416	51244.51450190022	54596.93632198741	57415.57595878423	60284.066012670904	63252.37886236695	66454.47499241456	68311.3912439222	70237.03118526693	72512.55918935024	74294.75490696557	76311.02087824905	77368.31589209041	78479.26065181992	79819.19819710754	81319.69362781571	81837.57161656469	83197.2379353891	84184.14963303591	84491.75501253657	85044.4101602553	85518.12689950479	86146.04228779551	86676.5478731076	86922.43636933861	87758.34592059717	88098.48358699755	87685.97961376868	87369.08379174353	87282.99151219985	87131.29987364133	86860.23400474977	86984.60532709422	87185.48409035616	87440.40005359743	87819.53924747137	87885.01592288422	87861.0976964038	88034.66939625335	88064.86928592568	88211.8730173644	87785.5663220257	87476.80203179379	87430.97337310862	87497.58898762519	87700.12854397949	87355.46025657197	87151.21928572732	87132.64308050484	86919.7621738883	86186.27818608328	85661.35164080159	85394.1451803531	85381.21540285493	85108.63344162347	84568.89375111613	83722.54290885948	83035.84498366977	82701.38259652456	82761.38569925453	82753.0248898411	82811.34001528175	82906.35115781703	82663.8421121323	82154.27104610129	81533.95394341211	80825.570339783	80548.23363562452	80460.9033063716	80162.40614228645	80059.45920189495	80037.61899381067	80156.52990741421	80295.51541562109	79780.07227790139	79755.51411481539	79616.27189688709	78872.850656969	78354.82273829778	77894.37948268045	77442.80012509704	76984.62860466632	76607.38376081207	76036.3276993218	75107.89837785391	73773.51581786555	72401.28173353738	71127.06715833709	69167.1064321045	66478.1201267398	63267.367178875626	59561.84353423012	55469.59941050336	51283.88878923558	46738.45878421305	41074.88360677928	33864.98582298648	25489.710173004743	15947.06825177414	5204.200012722779
SRR2155417	94868.30808108645	100148.76835669852	106683.9352446344	112087.9120489247	117508.16104191254	123052.84103698545	128953.11093603823	132397.6156936644	135962.21305424202	140241.20611001994	143571.1786608795	147378.2175333573	149221.16433090533	151224.70235616766	153662.31167359225	156392.49391301168	157177.58690676175	159749.55836646605	161652.6640916811	162155.5750593841	163146.78017918597	164024.00302446922	165162.88571796357	166080.14750743337	166537.53247771593	168190.85186998223	168913.37822397664	168097.8745237962	167407.15491454935	167103.20898206357	166808.08946737315	166228.2445653466	166384.19352691708	166769.97070033615	167267.44014097768	168087.19803809715	168286.3546957392	168209.29938080697	168583.00007177787	168639.05096163042	168881.13147271902	167987.27400696202	167445.43406448246	167391.76143190282	167558.4492869121	167953.0454351102	167396.4520742112	167132.56484304808	167181.6052395378	166724.81854447976	165346.56607167082	164304.6186060446	163822.59582943676	163799.1689315861	163382.9309919366	162355.80978784815	160652.93191038287	159228.68392456073	158521.96385733382	158683.1228674306	158728.4241110083	158902.2151001463	159181.83884760854	158796.49768559667	157867.1003878653	156652.16034946122	155346.0683606432	154883.14418049986	154866.53697127133	154321.68300311224	154178.36213213825	154187.39550215015	154442.1666647378	154821.4872815779	153823.43034345453	153775.96197473517	153481.14964824493	151990.7290891299	150922.33057437692	150029.975073392	149156.69386797948	148254.7993900716	147558.88972677584	146539.85559859718	144728.34079618938	142195.7276109875	139551.6850734305	137107.30581597044	133400.07748062108	128193.25543048447	122014.23276221727	114963.2693935049	107213.86880781439	99208.67175395758	90430.03117096407	79459.86217643341	65401.0716117935	49097.113067440434	30689.130288564604	10023.78837223072
SRR2155418	69751.27424447465	73554.92319951305	78389.24541630855	82386.69143698998	86493.44296224756	90669.7335910902	95148.2092684445	97788.58131589477	100514.11026365534	103781.2273711507	106241.38977865707	109047.23465307892	110399.36702469052	111958.55945581465	113864.65736230138	115931.28221587208	116527.21747821539	118486.55156707243	119907.37252530066	120274.45987798265	120979.63536313457	121685.28278362044	122590.87430626962	123336.95830750655	123726.92726026053	124949.57111349436	125417.4105424647	124836.28031084164	124329.81210330653	124095.12310118027	123906.16956212322	123535.0802244902	123666.01176443625	123925.47149408882	124271.57860161754	124859.45788519342	124907.39710643131	124837.9296631495	125135.77711702493	125177.08455329991	125381.88645146965	124751.73934950227	124297.4862963026	124209.10527424162	124298.03137290514	124594.25980705924	124117.63689247014	123889.6054697368	123841.65961926748	123480.62060613617	122432.77062938012	121659.22315488882	121292.71469881252	121231.94236083739	120857.2584891935	120070.13237695003	118798.34329102855	117705.70262835105	117205.85836133745	117354.84327077125	117402.5455956558	117474.08850446502	117687.18396783317	117386.33129980604	116629.67551123223	115703.78734173773	114747.06832118766	114347.40932717637	114283.6522609264	113846.64266392213	113719.24930510636	113697.0205734755	113910.89417498931	114228.92344857156	113444.02655338749	113441.09738222188	113221.29904408717	112140.92628780339	111374.0653197887	110689.83867276799	110036.45373074592	109399.88028915387	108889.39263879956	108047.305747353	106659.9833469963	104806.07022416305	102863.21015052023	101034.26368208781	98260.33069570856	94387.93761943649	89840.12010869203	84654.04428450787	78989.03463224358	73071.4091225637	66591.53129191716	58538.935642121025	48203.17323475871	36202.37423031237	22650.213404177426	7394.780793066217
SRR2155419	35559.03414275541	37508.70974050045	39968.31089151219	42090.835067567146	44202.943592570475	46370.61004685153	48644.27164792202	50020.176216420965	51427.207474525414	53036.181027577535	54296.76945621824	55737.6261672293	56504.370194223055	57303.36843385162	58239.36700172231	59305.19444763155	59646.02520538503	60637.45492324786	61357.65786729025	61565.269253909566	61957.28596657482	62310.541936383	62753.914236116936	63149.245117322636	63314.563878485016	63930.78131848163	64162.64020403505	63858.57258782282	63589.7454090302	63470.06250945178	63360.22960853201	63142.21636135759	63234.548399932515	63362.65392583884	63507.165500266805	63762.78288219072	63759.2720855338	63728.18687939437	63889.66155982514	63937.015391225694	64036.73751103734	63735.53070321581	63526.246957686824	63439.73672684926	63527.70081662868	63657.81397257235	63432.50781805636	63283.51924760098	63308.30036033815	63155.331202336885	62619.832662255976	62236.23707933127	62063.298624655894	62035.4460851724	61839.743922542315	61462.54909642018	60853.232196432866	60331.39881119258	60070.5660342227	60105.87598039831	60083.50485288474	60152.1701383355	60234.86955288098	60127.52349993995	59747.068072921946	59301.36447955577	58832.047512265046	58663.993497778225	58630.25048032947	58405.70806384251	58332.619661838835	58290.28617420186	58351.00875629678	58506.55239462931	58149.479466829085	58127.16415402654	58009.137250979256	57464.477407408325	57090.85229917192	56805.94204344768	56516.77826061548	56158.94103932634	55865.42532141822	55444.40956237884	54734.66861629638	53728.27865062128	52731.05144673182	51793.239307961914	50386.88906922444	48411.44417598344	46058.65090136103	43305.62570659853	40348.01703276458	37292.69451957629	33971.853035635766	29860.238855680218	24598.331977088565	18481.94799761432	11568.493280108421	3772.0437481500026
SRR2155420	90151.8159163226	95121.97632897142	101284.42872440537	106427.24998125562	111663.34878831799	116940.15192568253	122580.9722347831	125951.97354750706	129393.61335729329	133470.62748336294	136687.06403519164	140309.8251897075	142124.9301082422	144084.72024975138	146380.46865124907	148973.93775972867	149754.16624448853	152187.86753599023	154019.40599658233	154498.0057207173	155420.98773723474	156308.56465713592	157379.34303203467	158224.966623366	158677.97042289437	160248.66055936515	160804.35731368777	160002.08170998798	159385.48916054756	159144.78060695398	158909.18539334793	158389.9801448039	158548.6859492663	158975.77164272056	159412.05123244267	160090.51869836773	160165.93630371045	160160.16588253225	160524.76732022516	160543.23810320665	160746.8733632507	159889.22564712845	159360.87550167993	159293.14182488414	159460.05552682676	159839.4894800897	159237.14544987358	158941.68930281856	158892.64449059096	158342.014227501	156988.15270571155	156011.64136322812	155646.10320548722	155623.25637933786	155159.86938340517	154234.0559758307	152644.8118509358	151305.09281081156	150671.67738834678	150774.83631729288	150742.50203655416	150875.48031222832	151091.62455748318	150740.6607353769	149933.1356083001	148808.81629145012	147570.04138162444	147074.0504812917	146988.13168270295	146433.85672299	146184.97784684243	146085.78359703498	146230.17187460305	146502.7927487888	145656.27604268235	145650.4344289988	145328.78123201992	144016.827454552	143037.0312327502	142228.5276124739	141441.98391585285	140575.38041220797	139893.12192404797	138850.36948434022	137137.51984736676	134658.40588456334	132113.99416506692	129732.55437231169	126166.09536139776	121331.44766309632	115505.63590029663	108728.66708581036	101306.53199349839	93638.74198845877	85287.04086176945	74947.69429699573	61736.81326755767	46374.29767208909	29051.079961617666	9485.434139151635
SRR2155421	52256.286538012624	55188.95107391978	58779.746137642716	61741.29830192691	64769.25192612417	67835.40910723597	71166.98133332061	73158.6720998017	75230.81998458579	77677.8971641666	79558.81321140115	81673.20116157465	82785.90309649798	84008.5158968777	85398.5557147702	86937.67047368073	87418.99757499044	88847.44004058695	89939.9192897864	90316.8952412457	90865.1159427008	91362.42441181363	92009.93264314532	92610.26054243078	92911.35581957376	93826.48797837624	94256.5225002453	93840.050141195	93497.81915396139	93339.29727302748	93198.22295220065	92930.37908673023	93026.10342620446	93212.38274993862	93477.81321391274	93931.35788175998	94014.18195589058	93993.32285995365	94228.84100629234	94287.23339060246	94435.49012940253	93958.8909315432	93615.99411216888	93532.29131853607	93625.35134553893	93836.08164461165	93491.32766542149	93346.98161995066	93397.02920972364	93176.54934329694	92387.80205814113	91820.34032667667	91542.96265900572	91493.68750888547	91275.27817289511	90770.59121222192	89843.25299500967	89078.17791489277	88733.31364401263	88809.44599768461	88822.88048842257	88890.89627240848	89097.1498440756	88954.7688662784	88496.80252619083	87864.21618961787	87171.37086193277	86899.07132293833	86870.78798289514	86543.96533222713	86454.37164676622	86468.49236152171	86586.08888455106	86798.01580941383	86269.346943239	86257.94480905666	86081.38000402902	85259.9965005419	84705.04091929088	84205.19304338051	83721.6506446793	83194.40413624044	82789.6396624251	82201.83809563829	81171.2007239661	79727.32919602295	78233.43242635	76818.4358827735	74728.23766245042	71791.66638248433	68302.90303092336	64334.21449271914	60051.96220529838	55587.74056135696	50650.16263594784	44491.80265979597	36598.69974506198	27474.09311472774	17175.58909951582	5598.554336055999
SRR2155422	50290.721186836105	53027.12524113791	56488.55906157112	59443.812829457864	62402.67498035322	65397.65194302479	68571.07730121734	70456.29715122169	72399.25562604664	74683.87266277258	76466.22294240628	78419.39061652934	79463.90505196182	80615.21808056906	81921.29551796165	83354.7634922698	83805.71263020272	85204.25316382399	86216.53177980025	86540.56919946609	87097.88095559024	87589.68816153704	88207.49820962171	88806.05611747575	89039.91749405817	89893.20454793227	90231.65374885236	89812.62279693311	89462.14446374611	89341.2708855505	89201.20213841673	88889.29381011384	89019.63746839814	89232.11883807475	89506.53760086642	89884.74722314038	89904.56177785533	89872.34332876137	90111.60762701891	90193.24732391023	90369.65141282204	89885.86643373787	89563.98577631987	89478.9344577555	89536.22453030935	89705.77510760982	89357.08746044316	89185.57996591294	89187.20420542899	88948.67182569705	88198.77911849594	87631.81090840776	87341.0961645336	87267.67297669227	87026.60521961731	86468.5094552707	85593.95810783253	84841.21817073895	84453.14316972296	84469.23575372927	84436.23349390991	84514.66436464722	84581.5583674331	84397.36263750946	83900.63577143641	83263.12678640585	82569.09507194873	82285.2757550883	82238.59176015953	81960.19040626186	81882.34835946625	81870.3577444375	81991.26931267162	82200.07814076946	81690.509152348	81684.14756440645	81517.62192094134	80743.44446755736	80202.6267116273	79743.96385565122	79297.0852017599	78783.34477851739	78440.93585292343	77895.0495759927	76897.92045395411	75439.00358154911	74038.84238581514	72747.76698447143	70765.27431851262	68013.46194214361	64709.47005423613	60889.66393537888	56717.694121046836	52397.07606862232	47711.84617835012	41956.81173564863	34617.70388296941	26008.104073781724	16251.707195029732	5283.085025814714
