Sample	Exonic	Intronic	Intergenic
SRR2155413	7528911.0	304848.0	66490.0
SRR2155414	25130187.0	994390.0	229399.0
SRR2155415	23795185.0	984228.0	219994.0
SRR2155416	16629520.0	730602.0	153669.0
SRR2155417	31733507.0	1214603.0	279998.0
SRR2155418	23729321.0	1029351.0	221621.0
SRR2155419	12236828.0	584014.0	118192.0
SRR2155420	30431899.0	1196069.0	270295.0
SRR2155421	18084431.0	727435.0	159915.0
SRR2155422	17161819.0	687139.0	148797.0
SRR2155423	25075932.0	1015238.0	222419.0
SRR2155424	21869157.0	917512.0	195730.0
