Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
SRR2155413	1877775.0	13128.0	5715.0
SRR2155414	4315754.0	39050.0	18722.0
SRR2155415	4121988.0	37340.0	17297.0
SRR2155416	3286691.0	28103.0	12962.0
SRR2155417	4906906.0	47811.0	23361.0
SRR2155418	4107360.0	37623.0	17835.0
SRR2155419	2650904.0	21070.0	9651.0
SRR2155420	4815894.0	46381.0	22339.0
SRR2155421	3461362.0	28506.0	13184.0
SRR2155422	3334859.0	28565.0	12730.0
SRR2155423	4198186.0	38948.0	18082.0
SRR2155424	3882015.0	33904.0	15671.0
