Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
SRR2155413	144015.0	9554.0	3958.0
SRR2155414	174745.0	23024.0	11060.0
SRR2155415	173164.0	22385.0	10567.0
SRR2155416	164748.0	17911.0	8224.0
SRR2155417	180924.0	26953.0	13550.0
SRR2155418	173579.0	22473.0	10848.0
SRR2155419	156853.0	14274.0	6348.0
SRR2155420	180130.0	26346.0	13113.0
SRR2155421	165739.0	17931.0	8312.0
SRR2155422	164365.0	17948.0	8200.0
SRR2155423	174012.0	22855.0	11265.0
SRR2155424	170544.0	20578.0	9800.0
