Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
SRR2155413	5941547.0	100966.0	1172358.0	247438.0	3829.0	3280.0	1949.0	11175.0	14420.0	4842.0	60132.0
SRR2155414	13905530.0	266965.0	3009989.0	717847.0	11610.0	10061.0	6560.0	30554.0	41703.0	14352.0	170296.0
SRR2155415	13373166.0	256735.0	2912678.0	711148.0	11180.0	9945.0	6417.0	29822.0	39772.0	13862.0	164336.0
SRR2155416	10553984.0	189799.0	2187925.0	582444.0	8202.0	7654.0	4726.0	21866.0	29513.0	10392.0	124574.0
SRR2155417	15889391.0	314385.0	3513642.0	850394.0	13937.0	12415.0	7812.0	36494.0	49336.0	16841.0	202702.0
SRR2155418	13310993.0	252724.0	2890420.0	756368.0	11099.0	10296.0	6561.0	30128.0	40446.0	14316.0	166888.0
SRR2155419	8496360.0	149786.0	1754402.0	479672.0	6134.0	5599.0	3753.0	17166.0	23536.0	8623.0	98992.0
SRR2155420	15564202.0	308522.0	3394261.0	858110.0	13410.0	11813.0	7545.0	35024.0	47681.0	16803.0	196622.0
SRR2155421	11159363.0	204816.0	2388129.0	527379.0	8315.0	7227.0	4812.0	23664.0	31325.0	10781.0	129628.0
SRR2155422	10708698.0	201572.0	2216165.0	532678.0	8197.0	6709.0	4432.0	21797.0	28305.0	10034.0	122437.0
SRR2155423	13541885.0	267656.0	2945459.0	734184.0	10995.0	9430.0	6261.0	30153.0	39908.0	14145.0	165612.0
SRR2155424	12568877.0	239052.0	2736244.0	669855.0	9947.0	8806.0	5915.0	27960.0	37012.0	12995.0	152909.0
