Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR2155413	8380088.0	622085.0	1786.0	92181.0	5476.0
SRR2155414	27939845.0	2203165.0	5292.0	371665.0	24372.0
SRR2155415	26496344.0	2134790.0	6227.0	382339.0	20276.0
SRR2155416	18575185.0	1473298.0	3937.0	221968.0	14255.0
SRR2155417	35249217.0	2839992.0	6842.0	492049.0	30995.0
SRR2155418	26475870.0	2162138.0	6025.0	377189.0	20310.0
SRR2155419	13713769.0	1067187.0	3006.0	163784.0	10518.0
SRR2155420	33822454.0	2700699.0	6104.0	462297.0	29587.0
SRR2155421	20114905.0	1573705.0	4196.0	283331.0	15375.0
SRR2155422	19093302.0	1469722.0	3931.0	221336.0	14616.0
SRR2155423	27886754.0	2180329.0	5415.0	405016.0	24362.0
SRR2155424	24354938.0	1869605.0	5267.0	338766.0	18672.0
