Sample	protein_coding	unprocessed_pseudogene	lncRNA	transcribed_processed_pseudogene	processed_pseudogene	TEC	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	unitary_pseudogene	miRNA	snRNA	scaRNA	misc_RNA	snoRNA	rRNA_pseudogene	pseudogene	rRNA	IG_V_pseudogene	IG_V_gene	IG_C_gene	IG_J_gene	scRNA	sRNA	ribozyme	vault_RNA	translated_processed_pseudogene	TR_V_gene	TR_V_pseudogene	TR_D_gene	TR_J_gene	TR_C_gene	translated_unprocessed_pseudogene	IG_C_pseudogene	TR_J_pseudogene	IG_J_pseudogene	IG_D_gene	IG_pseudogene	artifact	Mt_tRNA	Mt_rRNA
SRR2155413	7713334.0	3819.0	72032.0	2069.0	7128.0	1098.0	4380.0	346.0	54.0	96.0	56.0	3.0	154.0	77.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	149.0	788.0	26118.0
SRR2155414	25765727.0	14131.0	236578.0	6929.0	24953.0	3951.0	14796.0	1127.0	174.0	319.0	179.0	8.0	286.0	209.0	15.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	2.0	1.0	0.0	0.0	2.0	15.0	2.0	0.0	0.0	0.0	0.0	483.0	2383.0	94034.0
SRR2155415	24405337.0	14490.0	228158.0	6576.0	28032.0	3587.0	14585.0	1078.0	155.0	313.0	172.0	4.0	456.0	190.0	18.0	29.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	2.0	2.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	414.0	2541.0	96309.0
SRR2155416	17041804.0	8690.0	163884.0	4697.0	16754.0	2717.0	10014.0	839.0	96.0	210.0	132.0	6.0	305.0	185.0	10.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	334.0	1588.0	60634.0
SRR2155417	32546945.0	17573.0	297402.0	8638.0	32643.0	4604.0	18822.0	1474.0	197.0	401.0	214.0	5.0	359.0	256.0	23.0	21.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	8.0	0.0	11.0	3.0	1.0	0.0	0.0	2.0	24.0	3.0	0.0	0.0	0.0	0.0	609.0	3059.0	117802.0
SRR2155418	24344004.0	13720.0	232910.0	6810.0	27373.0	3780.0	14594.0	1144.0	129.0	284.0	197.0	3.0	450.0	247.0	18.0	25.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	1.0	0.0	0.0	3.0	16.0	2.0	0.0	0.0	0.0	0.0	425.0	2349.0	86229.0
SRR2155419	12538835.0	7045.0	123599.0	3323.0	12107.0	2205.0	7659.0	684.0	97.0	171.0	138.0	7.0	143.0	151.0	13.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	221.0	1363.0	46291.0
SRR2155420	31203735.0	17237.0	282146.0	8230.0	29839.0	4622.0	18341.0	1384.0	181.0	373.0	190.0	5.0	395.0	222.0	25.0	29.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	13.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0	0.0	0.0	559.0	2984.0	111096.0
SRR2155421	18568012.0	9052.0	169305.0	4960.0	19664.0	2737.0	11125.0	792.0	107.0	232.0	133.0	3.0	205.0	149.0	16.0	16.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	8.0	1.0	2.0	0.0	0.0	1.0	13.0	2.0	0.0	0.0	0.0	0.0	320.0	1698.0	54808.0
SRR2155422	17595765.0	9240.0	156063.0	4371.0	17322.0	2741.0	9122.0	768.0	83.0	219.0	144.0	7.0	192.0	137.0	18.0	17.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	5.0	2.0	0.0	0.0	0.0	0.0	285.0	1657.0	57992.0
SRR2155423	25711839.0	14598.0	226103.0	6323.0	24459.0	4074.0	13411.0	1064.0	120.0	316.0	196.0	5.0	516.0	195.0	20.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	4.0	1.0	0.0	0.0	2.0	12.0	3.0	0.0	0.0	0.0	0.0	456.0	2398.0	94812.0
SRR2155424	22450986.0	11726.0	199625.0	5833.0	23810.0	3635.0	11737.0	971.0	83.0	283.0	189.0	8.0	232.0	184.0	18.0	19.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	3.0	2.0	0.0	0.0	4.0	10.0	4.0	0.0	0.0	0.0	0.0	385.0	2026.0	70832.0
