Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SRR2155413	10443797	10443797	0.00842548586476547	0.0	0.386504	1.19	9002173.0	92.32721969373351	8403269	0.005936343	1441624.0	9002173.0	100.0	0.0	1.326679680561571	9002173.0	92.07	8380088.0	30.591955733028	49.0	101.0	9.090909090909092	9113877.0	6.3592717777603545	28.78984491613116	48.0	94.03301809261124	9.090909090909092	9101616.0
SRR2155414	35462980	35462980	0.00673180803209482	0.0	0.553516	1.19	30143010.0	91.64757174807417	27993145	0.00835398	5319970.0	30143010.0	100.0	0.0	1.5219150310469989	30143010.0	91.47	27939845.0	40.00204858013886	49.0	101.0	18.181818181818183	30581575.0	5.939739730200422	37.5142440448746	49.0	94.4388392232027	18.181818181818183	30544339.0
SRR2155415	33785190	33785190	0.00693913129864523	4.031855366703898e-06	0.545622	1.2	28631134.0	91.80342297803551	26659692	0.007352449	5154056.0	28631134.0	100.0	0.0	1.5450907393329234	28631134.0	91.24	26496344.0	42.85624951323226	49.0	101.0	18.181818181818183	29100275.0	7.042659722406931	39.9646051813344	48.0	93.41083401721819	18.181818181818183	29039976.0
SRR2155416	23657980	23657980	0.00597474756206292	5.7760284882966685e-06	0.494531	1.2	20048483.0	91.56170277134848	18576627	0.006073223	3609497.0	20048483.0	100.0	0.0	1.582219462689521	20048483.0	91.55	18575185.0	39.72677560449047	49.0	101.0	9.090909090909092	20318349.0	6.681511386482228	37.68470460138733	48.0	93.71675178078692	9.090909090909092	20288643.0
SRR2155417	44973511	44973511	0.00766237994899046	6.051235264372266e-06	0.592461	1.19	38089209.0	91.5769621219762	35366194	0.008533983	6884302.0	38089209.0	100.0	0.0	1.5429645703590222	38089209.0	91.27	35249217.0	43.128629199187486	49.0	101.0	18.181818181818183	38665207.0	6.254963702551332	40.458887239100584	49.0	94.11995998352629	18.181818181818183	38619095.0
SRR2155418	33935932	33935932	0.0066839146163981	0.0	0.546506	1.19	28638008.0	91.66963023851497	26622265	0.007287721	5297924.0	28638008.0	100.0	0.0	1.6051465590763159	28638008.0	91.17	26475870.0	43.21586924650581	49.0	101.0	18.181818181818183	29079084.0	6.728966503147686	40.42664403027094	48.0	93.65443744496675	18.181818181818183	29041532.0
SRR2155419	17400547	17400547	0.00628109760497464	0.0	0.448632	1.2	14780956.0	91.3114516497369	13658608	0.006183208	2619591.0	14780956.0	100.0	0.0	1.5587828013289533	14780956.0	91.68	13713769.0	35.4807857950761	48.0	101.0	9.090909090909092	14980598.0	6.553400829949288	33.62289846468937	48.0	93.8512553328381	9.090909090909092	14958264.0
SRR2155420	43166160	43166160	0.00739859353478213	0.0	0.584549	1.2	36523153.0	91.52929133113429	33885188	0.008410838	6643007.0	36523153.0	100.0	0.0	1.5877873413612453	36523153.0	91.36	33822454.0	42.59789138989173	49.0	101.0	18.181818181818183	37064178.0	6.048045945741695	40.028897493290614	49.0	94.3257315597053	18.181818181818183	37021141.0
SRR2155421	25520948	25520948	0.00675588527249177	1.0613807077074283e-05	0.506033	1.21	21688610.0	92.031211860285	20239055	0.007331246	3832338.0	21688610.0	100.0	0.0	1.5399188790798488	21688610.0	91.47	20114905.0	39.43405344437667	49.0	101.0	18.181818181818183	22017473.0	6.795298173382837	36.72481824021629	48.0	93.5788101336552	18.181818181818183	21991512.0
SRR2155422	24140053	24140053	0.00687556695685821	0.0	0.502884	1.22	20563024.0	91.9219462933714	19122437	0.006100726	3577029.0	20563024.0	100.0	0.0	1.5146556265265265	20563024.0	91.78	19093302.0	39.99218826522883	49.0	101.0	9.090909090909092	20836789.0	6.912281849945382	37.86455221327808	49.0	93.4984549034421	9.090909090909092	20802907.0
SRR2155423	35466414	35466414	0.0102121581898759	7.6625551694394e-06	0.562112	1.2	30067083.0	91.21495346712445	27822272	0.008457895	5399331.0	30067083.0	100.0	0.0	1.5914812886903595	30067083.0	91.43	27886754.0	40.683060132169956	49.0	101.0	18.181818181818183	30541349.0	6.231080557070156	38.139405916114846	49.0	94.15318257801586	18.181818181818183	30501876.0
SRR2155424	30777079	30777079	0.00651016333352871	4.3893113771784865e-06	0.534056	1.21	26224543.0	91.90566846181298	24435188	0.007296331	4552536.0	26224543.0	100.0	0.0	1.508434293783499	26224543.0	91.6	24354938.0	42.04764646708996	49.0	101.0	18.181818181818183	26622255.0	6.806783190296321	39.25857486537782	48.0	93.57837968036407	18.181818181818183	26587248.0
