Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR2155413	Unknown Library	9002173.0	0.0	1441624.0	0.0	3479379.0	0.0	0.0	0.386504	
SRR2155414	Unknown Library	30143010.0	0.0	5319970.0	0.0	16684629.0	0.0	0.0	0.553516	
SRR2155415	Unknown Library	28631134.0	0.0	5154056.0	0.0	15621789.0	0.0	0.0	0.545622	
SRR2155416	Unknown Library	20048483.0	0.0	3609497.0	0.0	9914598.0	0.0	0.0	0.494531	
SRR2155417	Unknown Library	38089209.0	0.0	6884302.0	0.0	22566380.0	0.0	0.0	0.592461	
SRR2155418	Unknown Library	28638008.0	0.0	5297924.0	0.0	15650837.0	0.0	0.0	0.546506	
SRR2155419	Unknown Library	14780956.0	0.0	2619591.0	0.0	6631215.0	0.0	0.0	0.448632	
SRR2155420	Unknown Library	36523153.0	0.0	6643007.0	0.0	21349588.0	0.0	0.0	0.584549	
SRR2155421	Unknown Library	21688610.0	0.0	3832338.0	0.0	10975153.0	0.0	0.0	0.506033	
SRR2155422	Unknown Library	20563024.0	0.0	3577029.0	0.0	10340810.0	0.0	0.0	0.502884	
SRR2155423	Unknown Library	30067083.0	0.0	5399331.0	0.0	16901063.0	0.0	0.0	0.562112	
SRR2155424	Unknown Library	26224543.0	0.0	4552536.0	0.0	14005382.0	0.0	0.0	0.534056	
