Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
SRR2155413	10443797	0	3479379	1441624	0	237017	5285777	0	0	2645391	2640386	3532587	1753190	0	0	50.61164057478329	0.0
SRR2155414	35462980	0	16684629	5319970	0	557292	12901089	0	0	6448920	6452169	8856357	4044732	0	0	36.37903244453794	0.0
SRR2155415	33785190	0	15621789	5154056	0	555976	12453369	0	0	6225856	6227513	8588710	3864659	0	0	36.8604379611303	0.0
SRR2155416	23657980	0	9914598	3609497	0	428960	9704925	0	0	4854839	4850086	6627040	3077885	0	0	41.02178207945057	0.0
SRR2155417	44973511	0	22566380	6884302	0	649976	14872853	0	0	7434757	7438096	10269058	4603795	0	0	33.07025106400966	0.0
SRR2155418	33935932	0	15650837	5297924	0	552926	12434245	0	0	6219398	6214847	8583765	3850480	0	0	36.64035217892351	0.0
SRR2155419	17400547	0	6631215	2619591	0	346485	7803256	0	0	3904409	3898847	5323698	2479558	0	0	44.844889071590686	0.0
SRR2155420	43166160	0	21349588	6643007	0	628850	14544715	0	0	7274176	7270539	10026846	4517869	0	0	33.69471595342277	0.0
SRR2155421	25520948	0	10975153	3832338	0	453758	10259699	0	0	5130392	5129307	7018078	3241621	0	0	40.20108892506657	0.0
SRR2155422	24140053	0	10340810	3577029	0	428842	9793372	0	0	4900392	4892980	6670660	3122712	0	0	40.568974724289134	0.0
SRR2155423	35466414	0	16901063	5399331	0	547526	12618494	0	0	6309036	6309458	8683041	3935453	0	0	35.578713991214336	0.0
SRR2155424	30777079	0	14005382	4552536	0	514310	11704851	0	0	5853200	5851651	8066257	3638594	0	0	38.03106526126147	0.0
