Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
SRR2155413	1897001	1877775	13128	5715	157527	144015	9554	3958	98.98650554216893	0.6920396984503435	0.3012649966974187	91.42242282275419	6.064992033111784	2.5125851441340217
SRR2155414	4374709	4315754	39050	18722	208829	174745	23024	11060	98.6523675060444	0.8926308012715817	0.42795989401809353	83.67851208404963	11.025288633283692	5.29619928266668
SRR2155415	4177655	4121988	37340	17297	206116	173164	22385	10567	98.66750605303693	0.8938028630894604	0.4140361039865666	84.01288594771876	10.86038929534825	5.1267247569329895
SRR2155416	3328610	3286691	28103	12962	190883	164748	17911	8224	98.74064549466594	0.8442863537632825	0.38941179651566266	86.30836690538183	9.383234756369085	4.308398338249084
SRR2155417	4979610	4906906	47811	23361	221427	180924	26953	13550	98.53996598127162	0.9601354322928903	0.469133124883274	81.70819276781964	12.172408965482981	6.1193982666973765
SRR2155418	4163854	4107360	37623	17835	206900	173579	22473	10848	98.64322812471332	0.9035619404522829	0.4283291393021946	83.89511841469309	10.861768970517158	5.243112614789753
SRR2155419	2682182	2650904	21070	9651	177475	156853	14274	6348	98.83385989466785	0.7855544478338904	0.3598189832009908	88.38033525848711	8.042822932807438	3.5768418087054514
SRR2155420	4886067	4815894	46381	22339	219589	180130	26346	13113	98.56381420885143	0.9492501842483945	0.4571979876657442	82.03052065449545	11.997868745702197	5.971610599802358
SRR2155421	3503866	3461362	28506	13184	191982	165739	17931	8312	98.78693991151488	0.8135585093722192	0.3762700970870461	86.33048931670677	9.339938119198674	4.32957256409455
SRR2155422	3376960	3334859	28565	12730	190513	164365	17948	8200	98.75328698000568	0.8458791338955748	0.37696626551691464	86.27495236545538	9.42087941505304	4.304168219491583
SRR2155423	4256577	4198186	38948	18082	208132	174012	22855	11265	98.62821699219819	0.9150075283496574	0.4248014308210564	83.60655737704919	10.981012050045164	5.412430572905656
SRR2155424	3932747	3882015	33904	15671	200922	170544	20578	9800	98.71001109402664	0.8620946122392312	0.3984746539759614	84.8806999731239	10.24178536944685	4.877514657429251
