Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
SRR2155413	5522794	7561936	7501804	116309946	5941547	51.08	6762336	100966	14.93	33533670	1172358	34.96	1619661154	247438	0.15	28231512	3829	0.14	0.06	0.04	30925163	11175	0.36	0.19	0.13	60132	78.57177050956264	1.3351871795794092	15.503410766766606	3.2721514702055137	0.05063518125517063	0.0940103169347109	0.11978413993453528	0.14777961622526295	0.3384715236944613	0.4025027453287095	0.7951931886225961	98724443	97847659	1949	3280	99715893	102370500	4842	14420
SRR2155414	13458381	18185467	18015171	116309946	13905530	119.56	6762336	266965	39.48	33533670	3009989	89.76	1619661154	717847	0.44	28231512	11610	0.41	0.17	0.13	30925163	30554	0.99	0.54	0.37	170296	76.46506960750582	1.4680128918328026	16.551617838574064	3.9473663227895113	0.06384218783053523	0.11916658505387845	0.15523934579188975	0.16801328225445078	0.3973337610741588	0.47625392298146646	0.9364400705244469	98724443	97847659	6560	10061	99715893	102370500	14352	41703
SRR2155415	13009345	17529061	17364725	116309946	13373166	114.98	6762336	256735	37.97	33533670	2912678	86.86	1619661154	711148	0.44	28231512	11180	0.4	0.17	0.12	30925163	29822	0.96	0.52	0.36	164336	76.29139975039165	1.4646249448273356	16.616280815041947	4.056965743915204	0.06377979972800597	0.12051415646280197	0.15712193596679253	0.17012890764656474	0.3970206960886268	0.4761008019767859	0.9375060078802853	98724443	97847659	6417	9945	99715893	102370500	13862	39772
SRR2155416	10133885	13721079	13596505	116309946	10553984	90.74	6762336	189799	28.07	33533670	2187925	65.25	1619661154	582444	0.36	28231512	8202	0.29	0.13	0.09	30925163	21866	0.71	0.39	0.27	124574	76.91803246668866	1.383265849573492	15.945721178341731	4.24488482283354	0.059776640014972585	0.11555942502772559	0.15000278039358275	0.15936064503381986	0.374453058684379	0.45019054259508307	0.9079023595739082	98724443	97847659	4726	7654	99715893	102370500	10392	29513
SRR2155417	15522829	20907349	20704647	116309946	15889391	136.61	6762336	314385	46.49	33533670	3513642	104.78	1619661154	850394	0.53	28231512	13937	0.49	0.21	0.15	30925163	36494	1.18	0.64	0.44	202702	75.99907094868891	1.5037057065436656	16.805774849790854	4.067440592300822	0.06666077081317197	0.1260418047261755	0.16340665667368925	0.1745510633605437	0.41052550469215393	0.49107612830301917	0.9695251176990445	98724443	97847659	7812	12415	99715893	102370500	16841	49336
SRR2155418	12987171	17490239	17323351	116309946	13310993	114.44	6762336	252724	37.37	33533670	2890420	86.19	1619661154	756368	0.47	28231512	11099	0.39	0.17	0.12	30925163	30128	0.97	0.53	0.36	166888	76.10526648606688	1.444943090829119	16.525903391028564	4.324514948023294	0.0634582523429211	0.12232537245488755	0.15983772434441862	0.17225607951955374	0.40350506359575755	0.485356432236289	0.9541779274714314	98724443	97847659	6561	10296	99715893	102370500	14316	40446
SRR2155419	8149741	11044023	10945031	116309946	8496360	73.05	6762336	149786	22.15	33533670	1754402	52.32	1619661154	479672	0.3	28231512	6134	0.22	0.09	0.07	30925163	17166	0.56	0.31	0.21	98992	76.93174851229485	1.3562630211834945	15.885533740739222	4.343272374568579	0.055541354812462806	0.10623846038712523	0.14022064242350818	0.15543249049734864	0.36854323827467583	0.4466216703822511	0.8963400384081055	98724443	97847659	3753	5599	99715893	102370500	8623	23536
SRR2155420	15173565	20453993	20257371	116309946	15564202	133.82	6762336	308522	45.62	33533670	3394261	101.22	1619661154	858110	0.53	28231512	13410	0.48	0.2	0.15	30925163	35024	1.13	0.62	0.43	196622	76.09370942876534	1.50837051718948	16.594613090950016	4.195317755315552	0.06556177075058156	0.12331577506651147	0.16020343802796844	0.17123306925938617	0.40434647650461214	0.48649669529074346	0.9612890744609134	98724443	97847659	7545	11813	99715893	102370500	16803	47681
SRR2155421	10713457	14495439	14365811	116309946	11159363	95.95	6762336	204816	30.29	33533670	2388129	71.22	1619661154	527379	0.33	28231512	8315	0.29	0.12	0.09	30925163	23664	0.77	0.41	0.28	129628	76.98534000936432	1.4129685896370576	16.4750374238407	3.6382409666930404	0.05736287117623688	0.10721993311137387	0.14041658207109145	0.163251350993923	0.37935380915334815	0.45372892811318094	0.8942675002806054	98724443	97847659	4812	7227	99715893	102370500	10781	31325
SRR2155422	10222214	13861024	13738587	116309946	10708698	92.07	6762336	201572	29.81	33533670	2216165	66.09	1619661154	532678	0.33	28231512	8197	0.29	0.12	0.09	30925163	21797	0.7	0.38	0.26	122437	77.25762541064786	1.4542359929540558	15.988465210073945	3.842991686617093	0.059137044997541306	0.10753895238908755	0.13951350203275026	0.15725389408459287	0.36145958624701896	0.43384962034550983	0.8833185773287745	98724443	97847659	4432	6709	99715893	102370500	10034	28305
