Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR2155413	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	374886	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	9101616	8403269	95047	0	210163	5959598	92.32721969373351	quant	Sat Jun 01 18:53:27 2024	Sat Jun 01 18:56:31 2024
SRR2155414	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	533300	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	30544339	27993145	313433	0	731626	22577212	91.64757174807417	quant	Sat Jun 01 19:03:06 2024	Sat Jun 01 19:08:15 2024
SRR2155415	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	535609	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	29039976	26659692	303719	0	742059	20069986	91.80342297803551	quant	Sat Jun 01 18:56:39 2024	Sat Jun 01 19:02:34 2024
SRR2155416	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	482741	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	20288643	18576627	227570	0	500525	13607851	91.56170277134848	quant	Sat Jun 01 18:52:00 2024	Sat Jun 01 18:56:16 2024
SRR2155417	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	569532	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	38619095	35366194	383176	0	932528	28738776	91.5769621219762	quant	Sat Jun 01 18:59:56 2024	Sat Jun 01 19:06:34 2024
SRR2155418	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	535485	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	29041532	26622265	314779	0	754783	20223389	91.66963023851497	quant	Sat Jun 01 18:59:26 2024	Sat Jun 01 19:05:03 2024
SRR2155419	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	442455	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	14958264	13658608	180931	0	379482	9976506	91.3114516497369	quant	Sat Jun 01 18:55:32 2024	Sat Jun 01 18:59:37 2024
SRR2155420	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	562869	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	37021141	33885188	375279	0	899598	27240381	91.52929133113429	quant	Sat Jun 01 19:04:19 2024	Sat Jun 01 19:10:26 2024
SRR2155421	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	491707	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	21991512	20239055	225545	0	563555	15267261	92.031211860285	quant	Sat Jun 01 18:59:24 2024	Sat Jun 01 19:03:55 2024
SRR2155422	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	482432	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	20802907	19122437	219810	0	496579	13727931	91.9219462933714	quant	Sat Jun 01 19:03:07 2024	Sat Jun 01 19:07:30 2024
