Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR2155413	9002173.0	0.0	9002173.0	1.0	9002173.0	0.0	9002173.0	0.0	0.0	0.0	0.0	3479379.0	119430.0	0.0	1441624.0	0.0	853124544.0	853124544.0	0.0	853124544.0	850277885.0	0.0	325398425.0	5047541.0	0.005936343	94.0	95.0	0.0	101.0	101.0	0.0	33.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	38.6504347339248	1.326679680561571	0.0
SRR2155414	30143010.0	0.0	30143010.0	1.0	30143010.0	0.0	30143010.0	0.0	0.0	0.0	0.0	16684629.0	458751.0	0.0	5319970.0	0.0	2869253286.0	2869253286.0	0.0	2869253286.0	2858399750.0	0.0	1573507164.0	23879017.0	0.00835398	95.0	95.0	0.0	101.0	101.0	0.0	33.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	55.35156907024216	1.5219150310469989	0.0
SRR2155415	28631134.0	0.0	28631134.0	1.0	28631134.0	0.0	28631134.0	0.0	0.0	0.0	0.0	15621789.0	442377.0	0.0	5154056.0	0.0	2696219870.0	2696219870.0	0.0	2696219870.0	2684996813.0	0.0	1454696316.0	19741305.0	0.007352449	94.0	94.0	0.0	101.0	101.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	54.56224332574462	1.5450907393329234	0.0
SRR2155416	20048483.0	0.0	20048483.0	1.0	20048483.0	0.0	20048483.0	0.0	0.0	0.0	0.0	9914598.0	317211.0	0.0	3609497.0	0.0	1894005299.0	1894005299.0	0.0	1894005299.0	1887167141.0	0.0	925667238.0	11461187.0	0.006073223	94.0	94.0	0.0	101.0	101.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	49.45310824764148	1.582219462689521	0.0
SRR2155417	38089209.0	0.0	38089209.0	1.0	38089209.0	0.0	38089209.0	0.0	0.0	0.0	0.0	22566380.0	587703.0	0.0	6884302.0	0.0	3613519673.0	3613519673.0	0.0	3613519673.0	3599485550.0	0.0	2121465887.0	30717949.0	0.008533983	94.0	95.0	0.0	101.0	101.0	0.0	33.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	59.246124013759385	1.5429645703590222	0.0
SRR2155418	28638008.0	0.0	28638008.0	1.0	28638008.0	0.0	28638008.0	0.0	0.0	0.0	0.0	15650837.0	459682.0	0.0	5297924.0	0.0	2703630134.0	2703630134.0	0.0	2703630134.0	2692440485.0	0.0	1461942381.0	19621757.0	0.007287721	94.0	94.0	0.0	101.0	101.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	54.65057835028191	1.6051465590763159	0.0
SRR2155419	14780956.0	0.0	14780956.0	1.0	14780956.0	0.0	14780956.0	0.0	0.0	0.0	0.0	6631215.0	230403.0	0.0	2619591.0	0.0	1398296100.0	1398296100.0	0.0	1398296100.0	1393266519.0	0.0	619675370.0	8614857.0	0.006183208	94.0	95.0	0.0	101.0	101.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	44.86323482730075	1.5587828013289533	0.0
SRR2155420	36523153.0	0.0	36523153.0	1.0	36523153.0	0.0	36523153.0	0.0	0.0	0.0	0.0	21349588.0	579910.0	0.0	6643007.0	0.0	3472268036.0	3472268036.0	0.0	3472268036.0	3459007787.0	0.0	2011530028.0	29093151.0	0.008410838	95.0	95.0	0.0	101.0	101.0	0.0	33.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	58.45494226634814	1.5877873413612453	0.0
SRR2155421	21688610.0	0.0	21688610.0	1.0	21688610.0	0.0	21688610.0	0.0	0.0	0.0	0.0	10975153.0	333987.0	0.0	3832338.0	0.0	2045784458.0	2045784458.0	0.0	2045784458.0	2037230738.0	0.0	1022852597.0	14935440.0	0.007331246	94.0	94.0	0.0	101.0	101.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	50.603302839601064	1.5399188790798488	0.0
SRR2155422	20563024.0	0.0	20563024.0	1.0	20563024.0	0.0	20563024.0	0.0	0.0	0.0	0.0	10340810.0	311459.0	0.0	3577029.0	0.0	1938143341.0	1938143341.0	0.0	1938143341.0	1931139024.0	0.0	962609927.0	11781351.0	0.006100726	94.0	94.0	0.0	101.0	101.0	0.0	32.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	50.288371982642246	1.5146556265265265	0.0
