Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR2155413	9101616.0	94.0	8380088.0	92.07	94.81	3332144.0	3328997.0	3300721.0	26240.0	3443.0	1740.0	0.57	0.01	1.79	0.01	1.28	622085.0	6.83	1786.0	0.02	0.0	1.01	0.06	0	92181	5476
SRR2155414	30544339.0	95.0	27939845.0	91.47	95.16	11128405.0	11118623.0	11020926.0	90337.0	11330.0	5812.0	0.62	0.01	1.74	0.01	1.27	2203165.0	7.21	5292.0	0.02	0.0	1.22	0.08	0	371665	24372
SRR2155415	29039976.0	94.0	26496344.0	91.24	94.19	10376278.0	10366772.0	10277350.0	82549.0	10955.0	5424.0	0.69	0.01	1.74	0.01	1.26	2134790.0	7.35	6227.0	0.02	0.0	1.32	0.07	0	382339	20276
SRR2155416	20288643.0	94.0	18575185.0	91.55	94.53	7376166.0	7369228.0	7305896.0	58768.0	7565.0	3937.0	0.58	0.01	1.77	0.01	1.28	1473298.0	7.26	3937.0	0.02	0.0	1.09	0.07	0	221968	14255
SRR2155417	38619095.0	94.0	35249217.0	91.27	94.86	14079359.0	14067151.0	13944163.0	113511.0	14376.0	7309.0	0.64	0.01	1.73	0.01	1.27	2839992.0	7.35	6842.0	0.02	0.0	1.27	0.08	0	492049	30995
SRR2155418	29041532.0	94.0	26475870.0	91.17	94.42	10439255.0	10429523.0	10338671.0	83637.0	11400.0	5547.0	0.68	0.01	1.74	0.01	1.26	2162138.0	7.44	6025.0	0.02	0.0	1.3	0.07	0	377189	20310
SRR2155419	14958264.0	94.0	13713769.0	91.68	94.65	5347328.0	5342129.0	5296602.0	42637.0	5239.0	2850.0	0.59	0.01	1.77	0.01	1.26	1067187.0	7.13	3006.0	0.02	0.0	1.09	0.07	0	163784	10518
SRR2155420	37021141.0	94.0	33822454.0	91.36	95.04	13475712.0	13463547.0	13344298.0	110356.0	13880.0	7178.0	0.62	0.01	1.73	0.01	1.27	2700699.0	7.3	6104.0	0.02	0.0	1.25	0.08	0	462297	29587
SRR2155421	21991512.0	94.0	20114905.0	91.47	94.32	7886797.0	7879530.0	7813273.0	61396.0	7976.0	4152.0	0.69	0.01	1.74	0.01	1.27	1573705.0	7.16	4196.0	0.02	0.0	1.29	0.07	0	283331	15375
SRR2155422	20802907.0	94.0	19093302.0	91.78	94.31	7522225.0	7515167.0	7448689.0	62056.0	7429.0	4051.0	0.59	0.01	1.77	0.01	1.27	1469722.0	7.06	3931.0	0.02	0.0	1.06	0.07	0	221336	14616
SRR2155423	30501876.0	94.0	27886754.0	91.43	94.86	10946999.0	10936724.0	10840376.0	89661.0	11045.0	5917.0	0.63	0.01	1.74	0.01	1.27	2180329.0	7.15	5415.0	0.02	0.0	1.33	0.08	0	405016	24362
SRR2155424	26587248.0	94.0	24354938.0	91.6	94.31	9456917.0	9448172.0	9365398.0	76981.0	9583.0	4955.0	0.68	0.01	1.75	0.01	1.26	1869605.0	7.03	5267.0	0.02	0.0	1.27	0.07	0	338766	18672
