Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
SRR2155413	SRR2155413.markdup.sorted.bam	9002173.0	10443797.0	2062132.0	7528911.0	479671.0	0.0	1.19	7528911.0	304848.0	66490.0	241553.0
SRR2155414	SRR2155414.markdup.sorted.bam	30143010.0	35462980.0	7517261.0	25130187.0	1585326.0	0.0	1.19	25130187.0	994390.0	229399.0	852553.0
SRR2155415	SRR2155415.markdup.sorted.bam	28631134.0	33785190.0	7283271.0	23795185.0	1496364.0	0.0	1.2	23795185.0	984228.0	219994.0	826425.0
SRR2155416	SRR2155416.markdup.sorted.bam	20048483.0	23657980.0	5078705.0	16629520.0	1061013.0	0.0	1.2	16629520.0	730602.0	153669.0	546919.0
SRR2155417	SRR2155417.markdup.sorted.bam	38089209.0	44973511.0	9716996.0	31733507.0	2020415.0	0.0	1.19	31733507.0	1214603.0	279998.0	1075554.0
SRR2155418	SRR2155418.markdup.sorted.bam	28638008.0	33935932.0	7454531.0	23729321.0	1495002.0	0.0	1.19	23729321.0	1029351.0	221621.0	828885.0
SRR2155419	SRR2155419.markdup.sorted.bam	14780956.0	17400547.0	3683540.0	12236828.0	774425.0	0.0	1.2	12236828.0	584014.0	118192.0	410905.0
SRR2155420	SRR2155420.markdup.sorted.bam	36523153.0	43166160.0	9336595.0	30431899.0	1923523.0	0.0	1.2	30431899.0	1196069.0	270295.0	1027668.0
SRR2155421	SRR2155421.markdup.sorted.bam	21688610.0	25520948.0	5401794.0	18084431.0	1142725.0	0.0	1.21	18084431.0	727435.0	159915.0	622903.0
SRR2155422	SRR2155422.markdup.sorted.bam	20563024.0	24140053.0	5042873.0	17161819.0	1095182.0	0.0	1.22	17161819.0	687139.0	148797.0	561122.0
SRR2155423	SRR2155423.markdup.sorted.bam	30067083.0	35466414.0	7573846.0	25075932.0	1572616.0	0.0	1.2	25075932.0	1015238.0	222419.0	849959.0
SRR2155424	SRR2155424.markdup.sorted.bam	26224543.0	30777079.0	6416850.0	21869157.0	1372064.0	0.0	1.21	21869157.0	917512.0	195730.0	756465.0
