Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR2155413	3293.8871561489573	3593.783355482509	3710.593440224817	3790.1239822671546	3898.240413892473	4118.725984543145	4298.8099896582335	4430.424095766513	4621.289415552313	4799.222921753381	4906.188970768913	5011.441938600574	5113.391432566471	5247.536481178142	5425.514190391716	5672.115342261851	5727.593289585775	5745.816262241158	5732.6492818156985	5713.861695114878	5820.396658207199	5828.1326189161255	5873.879246947713	5934.416135881417	5964.139704990756	6065.715357517439	6145.504788085185	6208.311774436215	6292.761789120436	6372.607762630069	6435.584516031117	6459.412206554339	6448.229532818586	6375.647428871381	6344.1935932821725	6313.304699348285	6274.161859685248	6276.827502493306	6312.544461035684	6290.101237191337	6223.379853851009	6199.257565438208	6230.371764034642	6276.808775993432	6237.569041259432	6254.703774039334	6244.448621080725	6239.947619380555	6212.830299637502	6225.9395753037315	6246.166054297099	6163.38446665388	6035.048935809749	5967.977106789556	5837.036994330098	5718.065703894012	5681.6922787289905	5688.96224910101	5623.193100249173	5524.056447099754	5483.213651490667	5471.2879138808	5459.1612390290375	5323.814757615883	5203.479493830023	5136.0266697120005	5053.160775577255	4981.854968472744	4865.557639490612	4838.862969339493	4815.487615672112	4841.999771019792	4843.4359054642655	4788.338098972432	4777.918950525456	4749.542968574305	4683.630852453063	4642.74280824753	4633.322092091547	4608.30315534424	4589.227076515065	4523.859647025511	4449.976039231704	4400.450465308576	4285.539163542034	4223.429327500294	4087.384148273547	3968.7420953267756	3810.033809944493	3563.8075979976934	3370.0874366375697	3195.4092807811217	3002.18735306919	2660.8409005327985	2405.0938960464414	2122.780797597698	1711.0914863509893	1317.614694322205	852.0425108958702	307.40853907744724
SRR2155414	11006.764151216705	12054.831769489034	12425.354971676828	12742.438409282542	13096.378461774328	13819.627137559035	14383.887500637924	14811.36967715281	15404.167241321842	16007.44994721691	16381.04812447086	16727.977966610393	17057.16944447575	17466.65209125698	18003.14029026498	18808.210195795342	18979.938083008605	19056.459171775576	19041.994559135288	18966.498066231234	19314.966659066296	19359.698276410887	19531.472684275443	19759.21021826642	19815.814942858986	20126.172510959226	20424.087642164228	20603.138914139487	20888.309294919432	21154.373938177505	21364.39022083769	21442.50200586643	21433.03511304708	21198.223841336043	21055.86338578783	20950.617556956502	20858.99698817124	20898.261993025306	21023.4375823672	20954.88560859134	20744.135768763685	20652.5253026095	20752.733228645688	20897.44720863263	20750.224531199558	20809.95840191137	20786.82118285703	20745.183806128724	20640.946825898805	20696.47981690598	20752.734839968594	20479.648712517417	20055.238881537134	19837.74376624307	19416.294141460752	19004.147600192282	18838.13330184961	18853.39595069366	18637.25748366899	18345.925304922195	18202.029330848687	18168.69740752292	18124.716596364324	17640.35837730868	17241.330976513953	17037.84269744304	16801.404992557436	16586.3331922466	16208.455912998636	16126.786992784946	16046.413785790048	16113.200891066303	16096.496952106183	15880.914588853399	15832.231272346706	15747.533460057977	15520.14270184127	15373.388231165833	15321.147934144085	15254.7859179705	15216.30360564805	15031.43364177306	14807.94482402269	14660.35327235208	14283.186873864632	14069.546672553137	13615.848763628343	13214.181847211845	12688.3010936056	11871.010308588991	11239.218205242687	10668.645303764366	10010.628022086461	8843.003490655105	7986.1969864122675	7050.841801009771	5663.950753515489	4371.4230959613715	2837.7456064965168	1034.3403416210806
SRR2155415	10215.56645121661	11190.217494499768	11549.706069694003	11843.370570074252	12190.367987602851	12858.217039298223	13396.742298805977	13797.98401072652	14354.073098389847	14904.08116021792	15236.339082236369	15576.841922884569	15876.34714076338	16276.793140327343	16797.645272924357	17562.757975989123	17718.172077315678	17782.233945037096	17748.224709638696	17701.31595333382	18026.52132049341	18069.45864498882	18232.247708690124	18420.61205207429	18470.209194928	18800.49272327166	19076.855405896233	19252.0641327643	19507.578772150646	19779.206067375137	19999.932412859867	20031.049751623654	19991.774406451503	19747.37688537721	19613.29950423117	19498.62448803201	19393.129246930726	19429.102404346533	19570.725140397655	19526.434160819503	19334.79699097028	19248.03056832099	19352.097435351396	19481.786633077376	19339.020997655123	19384.563374940488	19339.45210221144	19302.425911701623	19189.685505945028	19244.259361145123	19279.64138323033	19030.36359098862	18631.420892796457	18427.327497506238	18046.447621832478	17653.55328967795	17492.612131509606	17497.707773048856	17325.842654309865	17064.429032913173	16918.16518664306	16872.79624455795	16812.762607785404	16361.42238112136	15998.247919307778	15803.537161061777	15550.075792270276	15339.361997020922	14976.380527948882	14898.715262096173	14825.175849163805	14892.361719872704	14891.985666488155	14714.089117662043	14671.74340939066	14613.150972840622	14434.931124197641	14302.89127001165	14299.066489248562	14254.697934795386	14217.197562051064	14054.238857382605	13850.919196131872	13700.341096092696	13334.646114976988	13106.456239270452	12674.799474704476	12284.267540014596	11786.776224080268	11029.744450366064	10447.487860179148	9919.553645815391	9325.539221420322	8256.105336540832	7465.562357639777	6588.112378494569	5300.90814619291	4085.262214308738	2640.9037132309636	954.46167982153
SRR2155416	7261.059820405728	7907.0873114410615	8164.259135422772	8366.762928053246	8609.575655293962	9098.624819228804	9477.529532971525	9776.30897899048	10187.744371861629	10595.601144093573	10836.75601414101	11083.042392445983	11322.866874535775	11614.972209811518	12004.96262322815	12565.372288595208	12674.593470758626	12709.654211133862	12701.307789434226	12660.887451429155	12902.83032145567	12920.499711220255	13024.956021263717	13157.126944293124	13191.67863014736	13413.454004963516	13613.96321587601	13748.55910780643	13944.889933746217	14140.72156670161	14277.251960782662	14332.507527413703	14307.223913946906	14146.157074500743	14054.449515410104	13991.617962702921	13940.43271842132	13953.767428344316	14029.45729898241	13991.097366719701	13842.045233313927	13792.092917812286	13864.372603560178	13964.893820097908	13859.662810565798	13901.897386638188	13884.491298608693	13881.123151911166	13822.566866660192	13872.281716445345	13914.405863668413	13742.779208691336	13464.507487400455	13338.818956208144	13060.81636745991	12776.722003814657	12673.254268743156	12680.169225794305	12541.266970951046	12325.595502300044	12223.53985964981	12203.978065779896	12177.635640168248	11848.636215512031	11559.948541404041	11406.859622747113	11220.188422136256	11083.62438991352	10813.781171533614	10762.204304761215	10717.465919647833	10763.786434457923	10764.96829628101	10620.299407059321	10595.301270405684	10537.172117197584	10376.14644087622	10281.62824058475	10263.008032493646	10210.732730660531	10182.98372246369	10051.116841990686	9887.337282784105	9775.311378029139	9524.023597020361	9383.539992949927	9073.262876408913	8798.797577360738	8445.268306760541	7901.103761083304	7474.783807018332	7087.194681611089	6649.902574141663	5870.496760766846	5295.262484273119	4678.513294003948	3773.882510243954	2901.523538407148	1876.4530285736441	679.9489888652863
SRR2155417	13980.050538716845	15303.16002794805	15782.19686213235	16187.774502789895	16633.85186733254	17538.012701577478	18286.08295614975	18821.763448702353	19580.351795526127	20345.717152893754	20827.753750838725	21277.31680194522	21664.403059876797	22188.36732195742	22899.101289993392	23938.795822432272	24147.9540123803	24232.011942165882	24206.149748992564	24131.081308744564	24589.366757517353	24660.828657526556	24875.224285140557	25146.7653497257	25217.807582600497	25637.156195038537	26027.18878319468	26252.291662630156	26609.173130468593	26967.698151212953	27222.551177246834	27303.902578326062	27271.554796316253	26947.351886554232	26763.19456409248	26608.6813421321	26485.397756316415	26532.528576864224	26696.99281250941	26630.4798342535	26388.58516846261	26272.734886055325	26421.032841760796	26609.862048889067	26424.89274722871	26520.988117757308	26471.710294541383	26416.18467579916	26285.34647719211	26371.65721211223	26432.31399748136	26103.551931615333	25561.250470705294	25251.767397024654	24688.05737054193	24160.260666151167	23993.69660308769	24025.90616644534	23779.98888558984	23410.687933845547	23215.712155066492	23154.522661890438	23069.77382562863	22456.489783491135	21970.456483847793	21713.037791263338	21424.51439187131	21148.04595764934	20651.093320953867	20545.732121117682	20456.533768517027	20557.589762380016	20517.615000034162	20246.752214526357	20183.753254263338	20089.194866849757	19806.16330723555	19606.48092048263	19549.620767868022	19455.809885387014	19398.342741564535	19159.863233127075	18863.817614117	18657.829503390716	18180.505448910833	17913.412234990366	17339.42959344273	16811.28455823671	16141.87649785555	15094.70518911832	14283.188222771363	13556.21466108271	12736.429739353283	11253.462670105651	10155.24762148779	8946.205319338436	7192.153627989033	5546.627813801329	3593.7870399936432	1305.5535534477413
SRR2155418	10343.128202546583	11307.82627472178	11667.020132534588	11937.950501617768	12272.172156444709	12967.305753264733	13500.759085582295	13893.136393161281	14453.19826611249	15052.754498320044	15415.479526065836	15733.63681215774	16023.724196914129	16418.024221016556	16948.612243340845	17752.634990855415	17910.754051932658	17962.88285242652	17917.962746321784	17864.356859391446	18201.499724817764	18237.209913971757	18396.595866020136	18604.10120051334	18637.486805714878	18921.778423932763	19204.22905850694	19390.313948231098	19676.120186825414	19958.146165609156	20152.67189572773	20214.05597174747	20188.99731727679	19932.09215624935	19790.726517458195	19701.4061105317	19612.554341786097	19635.463781663464	19764.112485209476	19694.435899147764	19511.397393591014	19427.475453939533	19534.77693139973	19663.338372136546	19532.30562029342	19606.346547681795	19574.60198874338	19539.671185040843	19448.173254961268	19504.72842418292	19543.70266534284	19289.757898202526	18886.05028205599	18694.723965701687	18288.384667860362	17878.927209073514	17728.961792653925	17755.557384005468	17574.58683999776	17295.722719110083	17159.13224862591	17121.443968859334	17067.968048935927	16587.879638900442	16191.913890904792	15980.877560260777	15748.806405420073	15543.07147852209	15157.229860752714	15071.824401723065	14993.074041753389	15053.5332978128	15034.391128818952	14856.00557710344	14831.591106886042	14771.158487876204	14558.63672048705	14420.638319343272	14407.994800215578	14358.285500958182	14315.19307988687	14126.229731646676	13928.931107548671	13805.687239771709	13462.199757395552	13265.374176931624	12837.254236675119	12442.083873925709	11955.377438211033	11188.991493396728	10599.350117720109	10084.508570709331	9483.975590623926	8368.405998073753	7545.644039011161	6651.508220105245	5341.170734784041	4112.974508476777	2650.4413033117967	964.682121736678
SRR2155419	5262.638382661158	5738.107982116169	5907.214365150583	6042.646825269796	6214.437324691398	6568.619573301177	6858.494121867899	7069.162722468827	7367.170350266398	7665.235279300131	7842.5989908897345	8021.525873814345	8183.5424300743125	8405.660705367529	8680.86672314274	9068.034185011362	9158.309739058026	9190.268429534488	9174.039504367904	9152.235688322238	9312.431267713164	9324.54964246763	9399.39957866742	9499.411752345855	9534.526052406405	9700.19122876398	9844.010861377003	9944.294753811751	10087.122855688978	10236.084452404439	10334.33918173837	10353.76867345811	10342.969241922785	10222.042393496171	10145.36150856577	10092.93906124342	10058.19731214176	10073.876965017515	10139.004912776649	10107.771163654721	10021.137041569491	9981.679299471109	10029.15625986741	10088.987918178502	10017.14994385075	10033.006356267326	10014.290952186244	9982.278648667387	9937.626238166014	9980.406914890362	10015.819566341728	9890.999475384308	9690.324366579855	9591.729672454992	9377.896095330676	9181.367219461028	9113.28596103043	9125.628701493608	9029.655525898574	8878.454084021223	8808.11661973864	8781.147038595424	8736.521252354853	8489.571860124366	8292.25641478046	8178.449057673618	8056.362658821114	7954.2573525101425	7776.8210966022725	7728.639771661863	7700.0020109738925	7737.529520186095	7721.007349012171	7611.976536796675	7584.222342980774	7547.551047086253	7440.678306252579	7368.835560160091	7361.662905090016	7332.068926191966	7312.36211182017	7218.057835755288	7108.4542022355245	7035.501889854135	6859.693555287949	6761.56009204169	6540.1405120480385	6339.791095264873	6088.6864715549655	5701.0875521570415	5390.104877610501	5108.607878552484	4801.5077689532745	4259.093209323722	3848.1196816598663	3394.613829552248	2747.051851018199	2114.9039436962257	1371.328906755951	495.2941752984721
SRR2155420	13222.60603125975	14492.354862793773	14948.240071090991	15319.131662412681	15782.087670025217	16671.97758477435	17378.901351891316	17915.020201404768	18651.238449235152	19381.21323504514	19837.67764415506	20278.901045686067	20662.990140901184	21170.033635030275	21815.248149667605	22779.883257830374	22966.998612912797	23040.973738273435	23031.445612765958	22956.80005596885	23364.67609910095	23449.765571989683	23666.349050587436	23917.444520037443	23979.86304827275	24354.45977650313	24730.029922361115	24960.87083488699	25307.6109988215	25645.88902438346	25887.844830701408	25942.913929940685	25902.05394271259	25611.505623291185	25442.73867914203	25311.859497831698	25186.76903845057	25221.80205265282	25354.202184715166	25263.591456023176	25043.305689667963	24925.631875537765	25043.70942595712	25230.32311860875	25046.73877225806	25117.9503048196	25090.096469476975	25054.581777387	24947.701592035188	25029.33944829934	25090.003266107364	24774.266532265872	24260.75143154962	23976.501805450604	23432.948792659216	22924.55913544502	22745.84208965877	22772.250374928964	22534.367000855043	22177.487536205354	22000.201141718462	21936.269395212712	21837.159366937747	21255.9824148334	20774.497040622773	20509.509518931885	20221.24824366402	19974.207963721186	19506.303502861985	19398.6252783286	19309.767500382917	19396.58532082975	19385.057347254526	19132.79731901466	19075.23849510057	18986.41091374923	18736.0994868048	18582.26175964103	18526.27397316934	18460.373761986677	18410.716999692257	18191.568888271435	17929.603901191014	17740.694045964265	17300.02167367068	17037.644827395667	16491.145499091588	15996.396955870112	15355.250285339584	14376.565864181572	13609.374311737305	12908.000934057174	12118.969613842934	10698.06390755653	9656.289898988904	8520.687260633931	6871.006232902925	5300.7520538567005	3437.403729669399	1241.7993543748562
SRR2155421	7673.8623354211395	8409.553113225806	8673.961730852092	8879.83726959205	9132.24345310935	9645.443088064982	10050.424326813023	10363.736014612732	10779.5525582616	11211.845223234983	11475.453057264576	11734.606955829226	11966.52852590246	12255.862415186055	12640.291872680607	13210.537315483652	13351.214374249465	13400.531008004717	13375.238758903932	13329.326618389292	13561.42202596253	13599.224283193662	13739.20135545111	13883.826462054703	13918.51667705209	14130.485862762229	14342.13214066478	14483.794414378637	14689.356725915944	14886.69231569723	15035.517916160496	15084.603673472247	15075.360486699206	14909.791447159141	14810.714396175823	14732.885969294022	14662.57694044986	14683.893149186184	14770.941196570455	14733.555804414544	14597.011251796976	14538.942558580467	14609.548519012586	14704.19475432193	14595.78691789038	14628.895179014184	14615.64459783563	14616.159497019062	14542.146116907086	14588.800847563256	14628.753471895689	14450.805267800291	14144.505027944062	14002.375801543023	13689.954730280362	13389.306700359837	13284.994763700142	13299.151419690794	13153.045980186129	12953.37485605095	12858.582140887707	12822.996120303813	12759.240957608572	12401.218038584006	12124.98395714685	11968.770089378311	11798.583754631125	11649.591916915258	11380.59273171841	11327.627711831175	11273.18845519774	11320.028021052321	11306.14757566879	11167.890567200706	11142.242416140673	11089.613983132918	10931.765396425415	10832.587462052054	10820.73791946488	10780.900107272395	10752.079801076985	10614.932766765667	10453.579332814132	10350.52108793483	10087.717832214028	9929.12782302023	9605.461429183777	9308.518073615938	8936.19085416532	8362.608257787118	7914.101514818117	7518.2257539934535	7062.920277396407	6252.510129400402	5648.06696166066	4982.309077982214	4021.484679110512	3100.4722793526644	2001.6625452004696	722.8610006460032
SRR2155422	7450.045963761788	8118.972891760217	8349.451852408605	8534.675830485461	8770.999142338656	9263.193215611911	9662.420200010352	9973.13529070465	10396.027291713805	10812.171321243064	11080.213567038814	11345.812218051953	11577.368829443685	11865.00445460633	12224.945416043456	12757.765770681175	12893.54003410076	12940.733515979979	12925.089551675683	12881.79643986458	13126.349827664377	13154.841162662284	13277.903967746757	13415.316576165202	13467.324576661704	13697.489617534722	13911.146141555155	14049.440949709982	14245.670318962262	14448.900811392024	14577.029484400387	14606.083581245606	14598.190505480254	14444.108783194048	14350.909605932917	14283.873194071311	14216.942325390799	14226.677614203352	14289.047397515245	14235.444661344718	14104.846959318658	14049.773345301344	14108.878589974309	14191.575502400443	14089.69499529101	14122.448747181244	14099.542257786541	14087.956956239721	14012.842664875925	14044.78097545545	14084.395876522794	13909.071696016717	13632.04877195808	13485.594738871194	13202.35440854718	12925.404210921448	12816.13683907827	12822.335729870918	12695.49122122251	12483.395802760077	12368.902872722052	12318.654511345107	12260.10614434454	11927.806515287715	11649.593724376471	11479.317270838428	11317.879135579184	11174.37496233001	10912.926525392206	10847.65564389432	10804.666762219855	10857.51104012653	10837.281492134838	10675.780223659882	10636.95717083123	10581.697327989055	10430.964764526436	10347.912296392164	10332.019258614702	10302.792028242575	10273.422371816581	10162.969255496184	10026.312756666346	9931.854166716257	9677.587796811104	9522.334994139075	9190.67266431678	8912.714146373013	8559.21622745135	8024.366067344359	7580.79121362941	7171.7112031091765	6726.609950466287	5955.561911617949	5385.225014521311	4761.613898293511	3848.9972183345653	2966.5693585364256	1911.3575787995755	685.562272659319
