Sample	Exonic	Intronic	Intergenic
SRR2155413	1862285.0	326813.0	60219.0
SRR2155414	6147814.0	1110028.0	223277.0
SRR2155415	5766187.0	1042192.0	213093.0
SRR2155416	4125642.0	732553.0	150911.0
SRR2155417	7766950.0	1404882.0	284123.0
SRR2155418	5789440.0	1053914.0	218725.0
SRR2155419	2974571.0	530098.0	110530.0
SRR2155420	7416613.0	1346723.0	278106.0
SRR2155421	4381962.0	785821.0	158795.0
SRR2155422	4199501.0	751715.0	153389.0
SRR2155423	6032390.0	1096587.0	231229.0
SRR2155424	5272221.0	949086.0	189515.0
