Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
SRR2155413	542511.0	1868.0	7005.0
SRR2155414	1277615.0	5896.0	22221.0
SRR2155415	1198484.0	5158.0	20878.0
SRR2155416	958186.0	3937.0	14657.0
SRR2155417	1457258.0	7229.0	27060.0
SRR2155418	1193762.0	5258.0	20099.0
SRR2155419	768252.0	2901.0	11109.0
SRR2155420	1431329.0	7174.0	26504.0
SRR2155421	1002883.0	4175.0	15591.0
SRR2155422	972326.0	3920.0	15683.0
SRR2155423	1245274.0	6053.0	21904.0
SRR2155424	1131921.0	4753.0	18250.0
