Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
SRR2155413	1946570.0	11348.0	86880.0	46053.0	2106.0	2134.0	2072.0	7624.0	3676.0	1967.0	29859.0
SRR2155414	4556866.0	29374.0	205564.0	124136.0	5765.0	5995.0	5648.0	16276.0	8449.0	5462.0	76706.0
SRR2155415	4329649.0	28456.0	202177.0	128087.0	5859.0	6493.0	6015.0	16215.0	8708.0	5666.0	80384.0
SRR2155416	3435145.0	20723.0	153865.0	96718.0	4230.0	4605.0	4598.0	12551.0	6857.0	4307.0	61190.0
SRR2155417	5211788.0	34627.0	240024.0	155986.0	7166.0	7748.0	7275.0	19019.0	10590.0	6703.0	97197.0
SRR2155418	4302285.0	27842.0	198964.0	123966.0	5785.0	6243.0	5702.0	15896.0	8336.0	5411.0	78000.0
SRR2155419	2757234.0	16420.0	127227.0	72275.0	3240.0	3415.0	3305.0	10575.0	5306.0	3154.0	46019.0
SRR2155420	5107645.0	33689.0	231211.0	145981.0	6784.0	7114.0	6724.0	17814.0	9692.0	6393.0	90862.0
SRR2155421	3615423.0	22774.0	168042.0	97513.0	4491.0	4829.0	4624.0	13659.0	6834.0	4288.0	61458.0
SRR2155422	3499236.0	22321.0	154750.0	100597.0	4556.0	4883.0	4713.0	12734.0	6990.0	4418.0	63434.0
SRR2155423	4454188.0	29566.0	203077.0	128363.0	5861.0	6210.0	5934.0	16244.0	8681.0	5635.0	79650.0
SRR2155424	4082373.0	26852.0	188124.0	116079.0	5311.0	5726.0	5506.0	15284.0	7938.0	5140.0	72779.0
