Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR2155413	2307910.0	474873.0	715.0	6316298.0	1820.0
SRR2155414	7678076.0	1597269.0	2095.0	21260790.0	6109.0
SRR2155415	7208046.0	1541072.0	2353.0	20282697.0	5808.0
SRR2155416	5141779.0	1087072.0	1645.0	14054089.0	4058.0
SRR2155417	9708618.0	2065120.0	2795.0	26834839.0	7723.0
SRR2155418	7249514.0	1551712.0	2297.0	20232201.0	5808.0
SRR2155419	3710245.0	776678.0	1160.0	10467190.0	2991.0
SRR2155420	9282150.0	1918800.0	2608.0	25810179.0	7404.0
SRR2155421	5468128.0	1137466.0	1784.0	15379735.0	4399.0
SRR2155422	5241279.0	1083930.0	1664.0	14471874.0	4160.0
SRR2155423	7555956.0	1545879.0	2263.0	21391677.0	6101.0
SRR2155424	6580387.0	1349718.0	2141.0	18649685.0	5317.0
