Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR2155413	3.4	9113877	3120926	9113877	920501577	52996339	861964380	6.3592717777603545
SRR2155414	3.4	30581575	10323016	30581575	3088739075	164879057	2905276013	5.939739730200422
SRR2155415	3.4	29100275	9859323	29100275	2939127775	188366098	2732135007	7.042659722406931
SRR2155416	3.4	20318349	6917840	20318349	2052153249	124903533	1915038396	6.681511386482228
SRR2155417	3.4	38665207	13126251	38665207	3905185907	220602954	3660917946	6.254963702551332
SRR2155418	3.4	29079084	9806801	29079084	2936987484	180959149	2739358580	6.728966503147686
SRR2155419	3.4	14980598	5157238	14980598	1513040398	89576310	1413884796	6.553400829949288
SRR2155420	3.4	37064178	12614891	37064178	3743481978	203116828	3517074468	6.048045945741695
SRR2155421	3.4	22017473	7435984	22017473	2223764773	138557038	2072653326	6.795298173382837
SRR2155422	3.4	20836789	7056680	20836789	2104515689	132702921	1959045633	6.912281849945382
SRR2155423	3.4	30541349	10420492	30541349	3084676249	172720338	2892467587	6.231080557070156
SRR2155424	3.4	26622255	9000797	26622255	2688847755	167183898	2505823718	6.806783190296321
