Sample	TEC	processed_pseudogene	lncRNA	snoRNA	misc_RNA	protein_coding	snRNA	miRNA	transcribed_processed_pseudogene	unprocessed_pseudogene	rRNA	pseudogene	transcribed_unprocessed_pseudogene	scaRNA	unitary_pseudogene	ribozyme	transcribed_unitary_pseudogene	translated_unprocessed_pseudogene	TR_V_gene	TR_V_pseudogene	IG_V_pseudogene	IG_V_gene	TR_D_gene	TR_J_gene	TR_C_gene	TR_J_pseudogene	IG_J_gene	IG_C_gene	IG_LV_gene	scRNA	sRNA	IG_C_pseudogene	IG_D_gene	IG_D_pseudogene	IG_pseudogene	Mt_tRNA	Mt_rRNA
SRR2155413	106.0	208302.0	1038.0	16.0	56.0	1948402.0	30.0	2122.0	5882.0	1683.0	5184.0	625.0	43.0	0.0	10.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3648.0
SRR2155414	436.0	703335.0	3581.0	41.0	178.0	6440776.0	140.0	8024.0	19619.0	5763.0	18636.0	2389.0	106.0	2.0	24.0	0.0	68.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13514.0
SRR2155415	293.0	660170.0	3552.0	37.0	208.0	6035099.0	140.0	7843.0	19063.0	5622.0	12482.0	2248.0	115.0	0.0	16.0	0.0	84.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13792.0
SRR2155416	304.0	468123.0	2605.0	37.0	133.0	4307930.0	77.0	5800.0	13294.0	3788.0	11135.0	1522.0	72.0	1.0	14.0	0.0	44.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8639.0
SRR2155417	426.0	904007.0	4629.0	45.0	242.0	8118205.0	164.0	10479.0	25771.0	7786.0	22146.0	2937.0	144.0	0.0	24.0	0.0	87.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16808.0
SRR2155418	331.0	680738.0	3613.0	33.0	210.0	6046394.0	130.0	7835.0	19540.0	5504.0	14629.0	2187.0	102.0	0.0	27.0	1.0	78.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12235.0
SRR2155419	297.0	339250.0	1771.0	19.0	81.0	3104216.0	78.0	4328.0	9471.0	2708.0	9220.0	1135.0	58.0	2.0	9.0	0.0	26.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6516.0
SRR2155420	371.0	838954.0	4438.0	36.0	193.0	7777558.0	162.0	10241.0	23783.0	7150.0	22690.0	2691.0	141.0	1.0	22.0	1.0	91.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	15503.0
SRR2155421	398.0	493122.0	2715.0	26.0	147.0	4585303.0	103.0	5640.0	14229.0	3746.0	19662.0	1577.0	97.0	1.0	13.0	0.0	58.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7866.0
SRR2155422	258.0	470575.0	2577.0	38.0	121.0	4392238.0	101.0	5842.0	13022.0	3653.0	11599.0	1447.0	76.0	1.0	16.0	0.0	40.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8327.0
SRR2155423	307.0	667509.0	3627.0	31.0	182.0	6339075.0	133.0	8604.0	19265.0	6004.0	16429.0	2154.0	116.0	1.0	18.0	0.0	79.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13253.0
SRR2155424	273.0	587564.0	3227.0	28.0	151.0	5528529.0	117.0	6566.0	16486.0	4813.0	17351.0	1899.0	109.0	1.0	16.0	0.0	63.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9906.0
