Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SRR2155413	3804507	3804507	0.238107486422729	0.0259300614566422	0.455882	1.28	2782783.0	13.589301064777947	1236846	0.0731034	1021724.0	2782783.0	100.0	0.0	2.5382503774099523	2782783.0	25.36	2307910.0	30.591955733028	49.0	101.0	9.090909090909092	9113877.0	6.3592717777603545	28.78984491613116	48.0	94.03301809261124	9.090909090909092	9101616.0
SRR2155414	12722812	12722812	0.2582365916095556	0.0332987362271631	0.615788	1.21	9275345.0	12.821573909325718	3916265	0.07478064	3447467.0	9275345.0	100.0	0.0	2.5795698165405168	9275345.0	25.14	7678076.0	40.00204858013886	49.0	101.0	18.181818181818183	30581575.0	5.939739730200422	37.5142440448746	49.0	94.4388392232027	18.181818181818183	30544339.0
SRR2155415	12090940	12090940	0.18462399538040647	0.0312087496964209	0.607979	1.33	8749118.0	13.158158257431065	3821126	0.07325045	3341822.0	8749118.0	100.0	0.0	2.6776299050944337	8749118.0	24.82	7208046.0	42.85624951323226	49.0	101.0	18.181818181818183	29100275.0	7.042659722406931	39.9646051813344	48.0	93.41083401721819	18.181818181818183	29039976.0
SRR2155416	8594610	8594610	0.23084777211686475	0.0294610986633663	0.566521	1.3	6228851.0	13.467258505164686	2732324	0.07281017	2365759.0	6228851.0	100.0	0.0	2.6682770225198835	6228851.0	25.34	5141779.0	39.72677560449047	49.0	101.0	9.090909090909092	20318349.0	6.681511386482228	37.68470460138733	48.0	93.71675178078692	9.090909090909092	20288643.0
SRR2155417	16256403	16256403	0.2429913945759572	0.0340269968782113	0.650939	1.2	11773738.0	12.816103018467937	4949463	0.07476036	4482665.0	11773738.0	100.0	0.0	2.68094975444502	11773738.0	25.14	9708618.0	43.128629199187486	49.0	101.0	18.181818181818183	38665207.0	6.254963702551332	40.458887239100584	49.0	94.11995998352629	18.181818181818183	38619095.0
SRR2155418	12178191	12178191	0.2153353381643579	0.0318936701735479	0.613971	1.24	8801226.0	13.290376692248879	3859729	0.07309135	3376965.0	8801226.0	100.0	0.0	2.7236091880835693	8801226.0	24.96	7249514.0	43.21586924650581	49.0	101.0	18.181818181818183	29079084.0	6.728966503147686	40.42664403027094	48.0	93.65443744496675	18.181818181818183	29041532.0
SRR2155419	6177659	6177659	0.26500428691858935	0.0265290443540852	0.518573	1.4	4486923.0	13.197246685845363	1974079	0.07276367	1690736.0	4486923.0	100.0	0.0	2.67111782395196	4486923.0	24.8	3710245.0	35.4807857950761	48.0	101.0	9.090909090909092	14980598.0	6.553400829949288	33.62289846468937	48.0	93.8512553328381	9.090909090909092	14958264.0
SRR2155420	15336848	15336848	0.2606837543010234	0.0360077079347168	0.64215	1.21	11200950.0	12.73939395871132	4716269	0.074641	4135898.0	11200950.0	100.0	0.0	2.598038559229351	11200950.0	25.07	9282150.0	42.59789138989173	49.0	101.0	18.181818181818183	37064178.0	6.048045945741695	40.028897493290614	49.0	94.3257315597053	18.181818181818183	37021141.0
SRR2155421	9069491	9069491	0.3829236538418468	0.0302685617392204	0.569288	1.19	6605594.0	13.171249889502823	2896557	0.07323823	2463897.0	6605594.0	100.0	0.0	2.6039596136244523	6605594.0	24.86	5468128.0	39.43405344437667	49.0	101.0	18.181818181818183	22017473.0	6.795298173382837	36.72481824021629	48.0	93.5788101336552	18.181818181818183	21991512.0
SRR2155422	8660885	8660885	0.23623535469112214	0.0303556731362553	0.56403	1.26	6325209.0	13.2515566213895	2756709	0.07299251	2335676.0	6325209.0	100.0	0.0	2.5604055138731385	6325209.0	25.19	5241279.0	39.99218826522883	49.0	101.0	9.090909090909092	20836789.0	6.912281849945382	37.86455221327808	49.0	93.4984549034421	9.090909090909092	20802907.0
SRR2155423	12440129	12440129	0.23215331133936593	0.0362788875313591	0.615301	1.24	9101835.0	12.518308709929842	3818319	0.07457373	3338294.0	9101835.0	100.0	0.0	2.581567343288469	9101835.0	24.77	7555956.0	40.683060132169956	49.0	101.0	18.181818181818183	30541349.0	6.231080557070156	38.139405916114846	49.0	94.15318257801586	18.181818181818183	30501876.0
SRR2155424	10862174	10862174	0.2808922826419707	0.0313791741595285	0.593491	1.23	7930105.0	13.065617020610784	3473788	0.07322599	2932069.0	7930105.0	100.0	0.0	2.604984423283172	7930105.0	24.75	6580387.0	42.04764646708996	49.0	101.0	18.181818181818183	26622255.0	6.806783190296321	39.25857486537782	48.0	93.57837968036407	18.181818181818183	26587248.0
