Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR2155413	Unknown Library	2782783.0	0.0	1021724.0	0.0	1268622.0	0.0	0.0	0.455882	
SRR2155414	Unknown Library	9275345.0	0.0	3447467.0	0.0	5711649.0	0.0	0.0	0.615788	
SRR2155415	Unknown Library	8749118.0	0.0	3341822.0	0.0	5319281.0	0.0	0.0	0.607979	
SRR2155416	Unknown Library	6228851.0	0.0	2365759.0	0.0	3528775.0	0.0	0.0	0.566521	
SRR2155417	Unknown Library	11773738.0	0.0	4482665.0	0.0	7663987.0	0.0	0.0	0.650939	
SRR2155418	Unknown Library	8801226.0	0.0	3376965.0	0.0	5403701.0	0.0	0.0	0.613971	
SRR2155419	Unknown Library	4486923.0	0.0	1690736.0	0.0	2326799.0	0.0	0.0	0.518573	
SRR2155420	Unknown Library	11200950.0	0.0	4135898.0	0.0	7192685.0	0.0	0.0	0.64215	
SRR2155421	Unknown Library	6605594.0	0.0	2463897.0	0.0	3760487.0	0.0	0.0	0.569288	
SRR2155422	Unknown Library	6325209.0	0.0	2335676.0	0.0	3567610.0	0.0	0.0	0.56403	
SRR2155423	Unknown Library	9101835.0	0.0	3338294.0	0.0	5600372.0	0.0	0.0	0.615301	
SRR2155424	Unknown Library	7930105.0	0.0	2932069.0	0.0	4706444.0	0.0	0.0	0.593491	
