Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
SRR2155413	3804507	0	1268622	1021724	0	172303	1341858	0	0	671256	670602	814464	527394	0	0	35.2702202939829	0.0
SRR2155414	12722812	0	5711649	3447467	0	375986	3187710	0	0	1595088	1592622	1939074	1248636	0	0	25.055074302756342	0.0
SRR2155415	12090940	0	5319281	3341822	0	378842	3050995	0	0	1526204	1524791	1879629	1171366	0	0	25.233728725806266	0.0
SRR2155416	8594610	0	3528775	2365759	0	299293	2400783	0	0	1201537	1199246	1466291	934492	0	0	27.93358860960532	0.0
SRR2155417	16256403	0	7663987	4482665	0	445848	3663903	0	0	1834295	1829608	2237940	1425963	0	0	22.53821463456584	0.0
SRR2155418	12178191	0	5403701	3376965	0	372331	3025194	0	0	1513461	1511733	1858656	1166538	0	0	24.84107861339997	0.0
SRR2155419	6177659	0	2326799	1690736	0	240417	1919707	0	0	961185	958522	1171242	748465	0	0	31.07499135190207	0.0
SRR2155420	15336848	0	7192685	4135898	0	422910	3585355	0	0	1792627	1792728	2184597	1400758	0	0	23.377391495305947	0.0
SRR2155421	9069491	0	3760487	2463897	0	310446	2534661	0	0	1267994	1266667	1555985	978676	0	0	27.947114121398876	0.0
SRR2155422	8660885	0	3567610	2335676	0	304716	2452883	0	0	1228874	1224009	1503833	949050	0	0	28.321389788687878	0.0
SRR2155423	12440129	0	5600372	3338294	0	377949	3123514	0	0	1564019	1559495	1906155	1217359	0	0	25.10837307233711	0.0
SRR2155424	10862174	0	4706444	2932069	0	348330	2875331	0	0	1438938	1436393	1769776	1105555	0	0	26.47104529903498	0.0
