Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
SRR2155413	1514161	2140289	2110430	97415648	1946570	19.98	5245577	11348	2.16	28964581	86880	3.0	1097816623	46053	0.04	34952883	2106	0.06	0.03	0.02	37402293	7624	0.2	0.07	0.05	29859	90.94893259742025	0.5302087708715972	4.059264893666229	2.151718763213753	0.09839792663514133	0.1981040878124403	0.2949134439321045	0.3562135767646332	0.5279660830850413	0.6198695596716144	1.3950919712244467	125572869	123520036	2072	2134	123958778	124882732	1967	3676
SRR2155414	3563696	5040241	4963535	97415648	4556866	46.78	5245577	29374	5.6	28964581	205564	7.1	1097816623	124136	0.11	34952883	5765	0.16	0.07	0.06	37402293	16276	0.44	0.15	0.11	76706	90.40968477499389	0.5827895927992331	4.078455772253747	2.462898103483544	0.11437945130004697	0.2333221764594193	0.34538031018754856	0.32292106667121667	0.49055193987747814	0.598919773875892	1.5218716724061407	125572869	123520036	5648	5995	123958778	124882732	5462	8449
SRR2155415	3429837	4817709	4737325	97415648	4329649	44.45	5245577	28456	5.42	28964581	202177	6.98	1097816623	128087	0.12	34952883	5859	0.17	0.08	0.06	37402293	16215	0.43	0.15	0.11	80384	89.86945869914518	0.5906541885365015	4.196538230100655	2.658670334800213	0.12161382100911451	0.2563874239809835	0.3812392985960754	0.33657076423669424	0.5173205770626661	0.6349283445720777	1.668510904249302	125572869	123520036	6015	6493	123958778	124882732	5666	8708
SRR2155416	2700076	3804789	3743599	97415648	3435145	35.26	5245577	20723	3.95	28964581	153865	5.31	1097816623	96718	0.09	34952883	4230	0.12	0.06	0.05	37402293	12551	0.34	0.12	0.08	61190	90.28477006215063	0.544655695756059	4.043982465256287	2.542006928636516	0.11117567886156104	0.23220735762219663	0.35305505771804957	0.3298737459554262	0.5100939894433042	0.6232934336174752	1.608236356864993	125572869	123520036	4598	4605	123958778	124882732	4307	6857
SRR2155417	4109751	5798123	5700926	97415648	5211788	53.5	5245577	34627	6.6	28964581	240024	8.29	1097816623	155986	0.14	34952883	7166	0.21	0.09	0.08	37402293	19019	0.51	0.18	0.13	97197	89.88750324889624	0.5972105110567678	4.139684515143953	2.690284424804372	0.12359172097590893	0.25722117312792436	0.38269281282925527	0.32801994714496396	0.5106652618442209	0.6262716399772823	1.6763528472921323	125572869	123520036	7275	7748	123958778	124882732	6703	10590
SRR2155418	3397525	4778430	4700430	97415648	4302285	44.16	5245577	27842	5.31	28964581	198964	6.87	1097816623	123966	0.11	34952883	5785	0.17	0.08	0.06	37402293	15896	0.43	0.15	0.1	78000	90.03553468398616	0.5826599950192846	4.163794384347997	2.594283059498622	0.12106486858654412	0.2517144752565173	0.37104237165763654	0.3326615645724642	0.5071121686411646	0.6203501987054325	1.6323353067848645	125572869	123520036	5702	6243	123958778	124882732	5411	8336
SRR2155419	2160124	3048170	3002151	97415648	2757234	28.3	5245577	16420	3.13	28964581	127227	4.39	1097816623	72275	0.07	34952883	3240	0.09	0.04	0.04	37402293	10575	0.28	0.1	0.07	46019	90.45538798689049	0.5386838660573393	4.173881378007132	2.3710947880203532	0.10629328416722164	0.21832771794224073	0.3267534291066443	0.346929469156904	0.5210011252653232	0.6244730444824271	1.5097255074356088	125572869	123520036	3305	3415	123958778	124882732	3154	5306
SRR2155420	4008265	5663909	5573047	97415648	5107645	52.43	5245577	33689	6.42	28964581	231211	7.98	1097816623	145981	0.13	34952883	6784	0.19	0.09	0.07	37402293	17814	0.48	0.17	0.12	90862	90.17879701103955	0.5948012229716262	4.082180698877754	2.577389573172874	0.11977593566563303	0.24537823612632192	0.3640948327383085	0.3145177650276514	0.48563633349335233	0.598508909659389	1.6042277515404997	125572869	123520036	6724	7114	123958778	124882732	6393	9692
SRR2155421	2845107	4003935	3942477	97415648	3615423	37.11	5245577	22774	4.34	28964581	168042	5.8	1097816623	97513	0.09	34952883	4491	0.13	0.06	0.05	37402293	13659	0.37	0.13	0.09	61458	90.29674557653908	0.568790452392459	4.196921278692087	2.4354291465770546	0.11216465801767511	0.23277101151741972	0.34825740178099795	0.3411394041112056	0.5118214956036999	0.6189161412460492	1.5349400027722728	125572869	123520036	4624	4829	123958778	124882732	4288	6834
SRR2155422	2757599	3878632	3815198	97415648	3499236	35.92	5245577	22321	4.26	28964581	154750	5.34	1097816623	100597	0.09	34952883	4556	0.13	0.06	0.05	37402293	12734	0.34	0.12	0.08	63434	90.21830377308288	0.5754864086100461	3.9898087779402633	2.5936206373793644	0.11746409558834145	0.24335899873976186	0.36487091324982623	0.32831163152369186	0.5085298115418013	0.6224359516448067	1.635473538092812	125572869	123520036	4713	4883	123958778	124882732	4418	6990
