Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR2155413	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	63148	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	9101616	1236846	32842	0	339843	4815017	13.589301064777947	quant	Wed Aug 14 14:25:50 2024	Wed Aug 14 14:29:19 2024
SRR2155414	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	84461	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	30544339	3916265	111049	0	1105105	15719799	12.821573909325718	quant	Wed Aug 14 13:42:07 2024	Wed Aug 14 13:50:52 2024
SRR2155415	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	85315	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	29039976	3821126	109824	0	1096711	15281347	13.158158257431065	quant	Wed Aug 14 15:11:03 2024	Wed Aug 14 15:20:02 2024
SRR2155416	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	77958	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	20288643	2732324	79445	0	757972	10732060	13.467258505164686	quant	Wed Aug 14 14:29:23 2024	Wed Aug 14 14:36:14 2024
SRR2155417	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	89424	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	38619095	4949463	143116	0	1405061	19888031	12.816103018467937	quant	Wed Aug 14 14:14:35 2024	Wed Aug 14 14:25:47 2024
SRR2155418	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	85516	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	29041532	3859729	114412	0	1112130	15747486	13.290376692248879	quant	Wed Aug 14 14:43:22 2024	Wed Aug 14 14:52:37 2024
SRR2155419	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	71822	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	14958264	1974079	58924	0	555931	7761733	13.197246685845363	quant	Wed Aug 14 13:59:54 2024	Wed Aug 14 14:05:02 2024
SRR2155420	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	88350	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	37021141	4716269	138338	0	1335970	18811250	12.73939395871132	quant	Wed Aug 14 14:52:41 2024	Wed Aug 14 15:03:59 2024
SRR2155421	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	79793	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	21991512	2896557	82848	0	834372	11771914	13.171249889502823	quant	Wed Aug 14 15:04:03 2024	Wed Aug 14 15:10:59 2024
SRR2155422	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	147882	61	77931	False	['range_factorized', 'gzipped']	[494, 767, 1405, 2713, 107355]	9d753dfe0ed705c5130db9103036544463adbbf977219debbc37220082321166	91f312566d3a073ff66a1f682991b832c2adceec209b731f42491524e6545183	00e2c687643b3dc0d737ca4801eac52117faba51286cb43c026e2d31bb7e8dfaf15a622902d28af44de3feadd63331837d2a9aae6aca99f093d796714cbde552	ecb3d3747c759ddf6091c6ebc7f6765b363f1b51bf5ae8b07722bd40cc9f185f79eba15d237ab0f3f2c7f0e20da5e5377592498bdaf1cee3c4cc941fe56c02d4	f1ad65e7948d6a8cd6d21adbae4356ce9148faf706efed8e89c6d2029818eb8d	6059d41911afa2512589f5f19e5982e98d8851bc4deb376dcf88a2e45878911e	0	20802907	2756709	78248	0	772808	10914169	13.2515566213895	quant	Wed Aug 14 14:36:19 2024	Wed Aug 14 14:43:19 2024
