Sample	1	10	11	12	13	14	15	16	17	18	19	2	3	4	5	6	7	8	9	MT	X	Y	JH584299.1	GL456233.2	JH584301.1	GL456211.1	GL456221.1	JH584297.1	JH584296.1	GL456354.1	JH584298.1	JH584300.1	GL456219.1	GL456210.1	JH584303.1	JH584302.1	GL456212.1	JH584304.1	GL456379.1	GL456366.1	GL456367.1	GL456239.1	GL456383.1	GL456385.1	GL456360.1	GL456378.1	MU069435.1	GL456389.1	GL456372.1	GL456370.1	GL456381.1	GL456387.1	GL456390.1	GL456394.1	GL456392.1	GL456382.1	GL456359.1	GL456396.1	GL456368.1	MU069434.1	JH584295.1	*
SRR2155413	[213751, 195154279]	[141918, 130530862]	[313340, 121973369]	[120760, 120092757]	[144543, 120883175]	[119346, 125139656]	[227128, 104073951]	[118681, 98008968]	[197524, 95294699]	[120407, 90720763]	[151785, 61420004]	[285239, 181755017]	[204030, 159745316]	[233059, 156860686]	[219974, 151758149]	[168632, 149588044]	[206470, 144995196]	[160859, 130127694]	[263829, 124359700]	[4229, 16299]	[177991, 169476592]	[2156, 91455967]	[10, 953012]	[729, 559103]	[6, 259875]	[12, 241735]	[12, 206961]	[2, 205776]	[5, 199368]	[1, 195993]	[0, 184189]	[2, 182347]	[6, 175968]	[8, 169725]	[0, 158099]	[0, 155838]	[12, 153618]	[152, 114452]	[54, 72385]	[28, 47073]	[7, 42057]	[0, 40056]	[1, 38659]	[1, 35240]	[1, 31704]	[115, 31602]	[5933, 31129]	[0, 28772]	[0, 28664]	[1, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[1, 24323]	[1, 23629]	[1750, 23158]	[1, 22974]	[0, 21240]	[0, 20208]	[1, 8412]	[4, 1976]	[0, 0]
SRR2155414	[711241, 195154279]	[466656, 130530862]	[1052978, 121973369]	[400450, 120092757]	[488264, 120883175]	[397881, 125139656]	[769094, 104073951]	[410090, 98008968]	[659440, 95294699]	[406572, 90720763]	[510396, 61420004]	[954961, 181755017]	[673853, 159745316]	[771696, 156860686]	[732080, 151758149]	[559753, 149588044]	[678964, 144995196]	[540549, 130127694]	[889016, 124359700]	[15708, 16299]	[590998, 169476592]	[7463, 91455967]	[56, 953012]	[2270, 559103]	[25, 259875]	[20, 241735]	[25, 206961]	[9, 205776]	[6, 199368]	[9, 195993]	[10, 184189]	[6, 182347]	[17, 175968]	[17, 169725]	[2, 158099]	[16, 155838]	[24, 153618]	[500, 114452]	[168, 72385]	[81, 47073]	[12, 42057]	[3, 40056]	[2, 38659]	[3, 35240]	[6, 31704]	[318, 31602]	[25380, 31129]	[1, 28772]	[3, 28664]	[2, 26764]	[2, 25871]	[0, 24685]	[1, 24668]	[2, 24323]	[2, 23629]	[5700, 23158]	[0, 22974]	[0, 21240]	[2, 20208]	[6, 8412]	[3, 1976]	[0, 0]
SRR2155415	[683909, 195154279]	[446355, 130530862]	[996240, 121973369]	[386624, 120092757]	[468915, 120883175]	[379042, 125139656]	[722588, 104073951]	[390720, 98008968]	[623276, 95294699]	[385674, 90720763]	[474791, 61420004]	[910056, 181755017]	[647382, 159745316]	[732859, 156860686]	[687123, 151758149]	[538985, 149588044]	[642272, 144995196]	[513264, 130127694]	[842518, 124359700]	[16511, 16299]	[561909, 169476592]	[7392, 91455967]	[84, 953012]	[2212, 559103]	[16, 259875]	[28, 241735]	[37, 206961]	[14, 205776]	[14, 199368]	[5, 195993]	[13, 184189]	[4, 182347]	[18, 175968]	[21, 169725]	[4, 158099]	[16, 155838]	[30, 153618]	[439, 114452]	[154, 72385]	[70, 47073]	[13, 42057]	[5, 40056]	[3, 38659]	[3, 35240]	[5, 31704]	[344, 31602]	[23470, 31129]	[4, 28772]	[4, 28664]	[6, 26764]	[0, 25871]	[2, 24685]	[3, 24668]	[0, 24323]	[2, 23629]	[5476, 23158]	[2, 22974]	[0, 21240]	[3, 20208]	[6, 8412]	[5, 1976]	[0, 0]
SRR2155416	[477745, 195154279]	[317965, 130530862]	[706400, 121973369]	[270328, 120092757]	[327378, 120883175]	[271651, 125139656]	[511572, 104073951]	[274819, 98008968]	[444879, 95294699]	[274532, 90720763]	[337819, 61420004]	[647878, 181755017]	[460911, 159745316]	[519924, 156860686]	[496747, 151758149]	[386936, 149588044]	[457844, 144995196]	[365898, 130127694]	[603343, 124359700]	[10104, 16299]	[400007, 169476592]	[5272, 91455967]	[36, 953012]	[1596, 559103]	[7, 259875]	[26, 241735]	[24, 206961]	[9, 205776]	[6, 199368]	[6, 195993]	[11, 184189]	[6, 182347]	[13, 175968]	[22, 169725]	[2, 158099]	[4, 155838]	[19, 153618]	[362, 114452]	[102, 72385]	[61, 47073]	[9, 42057]	[6, 40056]	[1, 38659]	[2, 35240]	[3, 31704]	[231, 31602]	[17969, 31129]	[1, 28772]	[0, 28664]	[2, 26764]	[0, 25871]	[0, 24685]	[1, 24668]	[0, 24323]	[0, 23629]	[4113, 23158]	[0, 22974]	[0, 21240]	[0, 20208]	[4, 8412]	[4, 1976]	[0, 0]
SRR2155417	[907317, 195154279]	[594582, 130530862]	[1341194, 121973369]	[512207, 120092757]	[628678, 120883175]	[506704, 125139656]	[984633, 104073951]	[528786, 98008968]	[841378, 95294699]	[522252, 90720763]	[646028, 61420004]	[1220629, 181755017]	[865242, 159745316]	[982074, 156860686]	[930257, 151758149]	[720187, 149588044]	[869266, 144995196]	[691256, 130127694]	[1136296, 124359700]	[19659, 16299]	[753709, 169476592]	[9778, 91455967]	[76, 953012]	[2851, 559103]	[16, 259875]	[53, 241735]	[46, 206961]	[11, 205776]	[17, 199368]	[13, 195993]	[9, 184189]	[4, 182347]	[15, 175968]	[42, 169725]	[4, 158099]	[14, 155838]	[37, 153618]	[635, 114452]	[186, 72385]	[97, 47073]	[14, 42057]	[8, 40056]	[3, 38659]	[10, 35240]	[4, 31704]	[493, 31602]	[32187, 31129]	[6, 28772]	[3, 28664]	[2, 26764]	[1, 25871]	[2, 24685]	[3, 24668]	[3, 24323]	[2, 23629]	[7395, 23158]	[6, 22974]	[6, 21240]	[1, 20208]	[10, 8412]	[6, 1976]	[0, 0]
SRR2155418	[687539, 195154279]	[446484, 130530862]	[993830, 121973369]	[389514, 120092757]	[474704, 120883175]	[385152, 125139656]	[722082, 104073951]	[397029, 98008968]	[627335, 95294699]	[393506, 90720763]	[469876, 61420004]	[915411, 181755017]	[655418, 159745316]	[735938, 156860686]	[703977, 151758149]	[542341, 149588044]	[643716, 144995196]	[512106, 130127694]	[857842, 124359700]	[14551, 16299]	[567272, 169476592]	[7377, 91455967]	[58, 953012]	[2200, 559103]	[16, 259875]	[32, 241735]	[39, 206961]	[9, 205776]	[15, 199368]	[10, 195993]	[13, 184189]	[7, 182347]	[5, 175968]	[24, 169725]	[0, 158099]	[11, 155838]	[27, 153618]	[397, 114452]	[139, 72385]	[87, 47073]	[22, 42057]	[6, 40056]	[6, 38659]	[3, 35240]	[5, 31704]	[366, 31602]	[25808, 31129]	[5, 28772]	[1, 28664]	[0, 26764]	[1, 25871]	[1, 24685]	[0, 24668]	[0, 24323]	[3, 23629]	[5857, 23158]	[3, 22974]	[2, 21240]	[2, 20208]	[5, 8412]	[6, 1976]	[0, 0]
SRR2155419	[350780, 195154279]	[229668, 130530862]	[510506, 121973369]	[196754, 120092757]	[236349, 120883175]	[196761, 125139656]	[361145, 104073951]	[196539, 98008968]	[310274, 95294699]	[195346, 90720763]	[243999, 61420004]	[465741, 181755017]	[334448, 159745316]	[374237, 156860686]	[352960, 151758149]	[278367, 149588044]	[330962, 144995196]	[263618, 130127694]	[429172, 124359700]	[7780, 16299]	[290172, 169476592]	[4050, 91455967]	[38, 953012]	[1203, 559103]	[3, 259875]	[19, 241735]	[28, 206961]	[8, 205776]	[11, 199368]	[6, 195993]	[6, 184189]	[6, 182347]	[6, 175968]	[19, 169725]	[4, 158099]	[10, 155838]	[27, 153618]	[250, 114452]	[74, 72385]	[41, 47073]	[7, 42057]	[2, 40056]	[1, 38659]	[3, 35240]	[1, 31704]	[162, 31602]	[12902, 31129]	[1, 28772]	[4, 28664]	[3, 26764]	[2, 25871]	[1, 24685]	[1, 24668]	[0, 24323]	[1, 23629]	[3172, 23158]	[1, 22974]	[0, 21240]	[2, 20208]	[3, 8412]	[3, 1976]	[0, 0]
SRR2155420	[862979, 195154279]	[560304, 130530862]	[1277911, 121973369]	[491483, 120092757]	[589432, 120883175]	[479358, 125139656]	[923558, 104073951]	[492703, 98008968]	[794813, 95294699]	[486125, 90720763]	[610015, 61420004]	[1154327, 181755017]	[820594, 159745316]	[928308, 156860686]	[849712, 151758149]	[685557, 149588044]	[822391, 144995196]	[657106, 130127694]	[1064814, 124359700]	[18233, 16299]	[713833, 169476592]	[8915, 91455967]	[75, 953012]	[2859, 559103]	[22, 259875]	[49, 241735]	[66, 206961]	[9, 205776]	[14, 199368]	[5, 195993]	[15, 184189]	[1, 182347]	[11, 175968]	[39, 169725]	[2, 158099]	[16, 155838]	[42, 153618]	[512, 114452]	[205, 72385]	[111, 47073]	[14, 42057]	[6, 40056]	[3, 38659]	[6, 35240]	[4, 31704]	[444, 31602]	[32857, 31129]	[0, 28772]	[5, 28664]	[6, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[2, 24323]	[4, 23629]	[6948, 23158]	[3, 22974]	[2, 21240]	[3, 20208]	[4, 8412]	[13, 1976]	[0, 0]
SRR2155421	[512753, 195154279]	[331873, 130530862]	[753400, 121973369]	[289658, 120092757]	[349587, 120883175]	[285309, 125139656]	[538849, 104073951]	[287829, 98008968]	[479057, 95294699]	[287869, 90720763]	[357435, 61420004]	[681527, 181755017]	[484321, 159745316]	[550354, 156860686]	[510112, 151758149]	[405245, 149588044]	[486370, 144995196]	[386436, 130127694]	[627757, 124359700]	[9385, 16299]	[423900, 169476592]	[5743, 91455967]	[43, 953012]	[1635, 559103]	[15, 259875]	[28, 241735]	[20, 206961]	[5, 205776]	[7, 199368]	[8, 195993]	[9, 184189]	[3, 182347]	[8, 175968]	[16, 169725]	[3, 158099]	[8, 155838]	[18, 153618]	[315, 114452]	[124, 72385]	[70, 47073]	[20, 42057]	[3, 40056]	[4, 38659]	[3, 35240]	[4, 31704]	[245, 31602]	[17905, 31129]	[2, 28772]	[2, 28664]	[3, 26764]	[1, 25871]	[0, 24685]	[1, 24668]	[0, 24323]	[1, 23629]	[4185, 23158]	[0, 22974]	[1, 21240]	[0, 20208]	[3, 8412]	[4, 1976]	[0, 0]
SRR2155422	[494939, 195154279]	[317926, 130530862]	[724708, 121973369]	[274995, 120092757]	[329147, 120883175]	[273804, 125139656]	[512098, 104073951]	[276840, 98008968]	[437152, 95294699]	[268289, 90720763]	[343701, 61420004]	[645504, 181755017]	[462260, 159745316]	[525973, 156860686]	[494226, 151758149]	[390150, 149588044]	[471797, 144995196]	[377897, 130127694]	[594840, 124359700]	[9882, 16299]	[405997, 169476592]	[5229, 91455967]	[54, 953012]	[1577, 559103]	[17, 259875]	[24, 241735]	[20, 206961]	[9, 205776]	[19, 199368]	[6, 195993]	[8, 184189]	[3, 182347]	[15, 175968]	[19, 169725]	[0, 158099]	[5, 155838]	[28, 153618]	[326, 114452]	[105, 72385]	[70, 47073]	[10, 42057]	[2, 40056]	[2, 38659]	[5, 35240]	[10, 31704]	[219, 31602]	[16611, 31129]	[3, 28772]	[3, 28664]	[1, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[2, 24323]	[3, 23629]	[4338, 23158]	[1, 22974]	[1, 21240]	[2, 20208]	[9, 8412]	[4, 1976]	[0, 0]
