Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR2155413	2782783.0	0.0	2782783.0	1.0	2782783.0	0.0	2782783.0	0.0	0.0	0.0	0.0	1268622.0	70634.0	0.0	1021724.0	0.0	261358518.0	261358518.0	0.0	261358518.0	252532899.0	0.0	120608610.0	18461012.0	0.0731034	93.0	94.0	0.0	101.0	101.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.588247448687156	2.5382503774099523	0.0
SRR2155414	9275345.0	0.0	9275345.0	1.0	9275345.0	0.0	9275345.0	0.0	0.0	0.0	0.0	5711649.0	239264.0	0.0	3447467.0	0.0	875619076.0	875619076.0	0.0	875619076.0	845954418.0	0.0	545021981.0	63261006.0	0.07478064	94.0	94.0	0.0	101.0	101.0	0.0	33.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	61.57883076047306	2.5795698165405168	0.0
SRR2155415	8749118.0	0.0	8749118.0	1.0	8749118.0	0.0	8749118.0	0.0	0.0	0.0	0.0	5319281.0	234269.0	0.0	3341822.0	0.0	815611918.0	815611918.0	0.0	815611918.0	787500971.0	0.0	502011919.0	57684805.0	0.07325045	93.0	93.0	0.0	101.0	101.0	0.0	33.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	60.797911286600545	2.6776299050944337	0.0
SRR2155416	6228851.0	0.0	6228851.0	1.0	6228851.0	0.0	6228851.0	0.0	0.0	0.0	0.0	3528775.0	166203.0	0.0	2365759.0	0.0	582399727.0	582399727.0	0.0	582399727.0	562674703.0	0.0	334259804.0	40968441.0	0.07281017	93.0	94.0	0.0	101.0	101.0	0.0	33.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	56.652101647639356	2.6682770225198835	0.0
SRR2155417	11773738.0	0.0	11773738.0	1.0	11773738.0	0.0	11773738.0	0.0	0.0	0.0	0.0	7663987.0	315648.0	0.0	4482665.0	0.0	1106993447.0	1106993447.0	0.0	1106993447.0	1069450785.0	0.0	728761468.0	79952522.0	0.07476036	94.0	94.0	0.0	101.0	101.0	0.0	33.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	65.09391494867646	2.68094975444502	0.0
SRR2155418	8801226.0	0.0	8801226.0	1.0	8801226.0	0.0	8801226.0	0.0	0.0	0.0	0.0	5403701.0	239711.0	0.0	3376965.0	0.0	823066874.0	823066874.0	0.0	823066874.0	794841829.0	0.0	511385993.0	58096066.0	0.07309135	93.0	94.0	0.0	101.0	101.0	0.0	33.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	61.397139443982006	2.7236091880835693	0.0
SRR2155419	4486923.0	0.0	4486923.0	1.0	4486923.0	0.0	4486923.0	0.0	0.0	0.0	0.0	2326799.0	119851.0	0.0	1690736.0	0.0	420207723.0	420207723.0	0.0	420207723.0	405913622.0	0.0	220621947.0	29535765.0	0.07276367	93.0	94.0	0.0	101.0	101.0	0.0	33.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	51.85734187994757	2.67111782395196	0.0
SRR2155420	11200950.0	0.0	11200950.0	1.0	11200950.0	0.0	11200950.0	0.0	0.0	0.0	0.0	7192685.0	291005.0	0.0	4135898.0	0.0	1055755397.0	1055755397.0	0.0	1055755397.0	1019930761.0	0.0	685254293.0	76128651.0	0.074641	94.0	94.0	0.0	101.0	101.0	0.0	33.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	64.2149549814971	2.598038559229351	0.0
SRR2155421	6605594.0	0.0	6605594.0	1.0	6605594.0	0.0	6605594.0	0.0	0.0	0.0	0.0	3760487.0	172007.0	0.0	2463897.0	0.0	617179695.0	617179695.0	0.0	617179695.0	595901979.0	0.0	355461919.0	43642805.0	0.07323823	93.0	93.0	0.0	101.0	101.0	0.0	33.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	56.928824266220424	2.6039596136244523	0.0
SRR2155422	6325209.0	0.0	6325209.0	1.0	6325209.0	0.0	6325209.0	0.0	0.0	0.0	0.0	3567610.0	161951.0	0.0	2335676.0	0.0	589866225.0	589866225.0	0.0	589866225.0	569756327.0	0.0	337153248.0	41587949.0	0.07299251	93.0	93.0	0.0	101.0	101.0	0.0	33.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	56.40303743322947	2.5604055138731385	0.0
SRR2155423	9101835.0	0.0	9101835.0	1.0	9101835.0	0.0	9101835.0	0.0	0.0	0.0	0.0	5600372.0	234970.0	0.0	3338294.0	0.0	855641325.0	855641325.0	0.0	855641325.0	826378696.0	0.0	532465962.0	61626136.0	0.07457373	94.0	94.0	0.0	101.0	101.0	0.0	33.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	61.530141998838694	2.581567343288469	0.0
