Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR2155413	9101616.0	94.0	2307910.0	25.36	91.54	945576.0	940750.0	927000.0	16337.0	1449.0	790.0	7.35	0.03	2.22	0.03	1.8	474873.0	5.22	715.0	0.01	0.0	69.4	0.02	0	6316298	1820
SRR2155414	30544339.0	95.0	7678076.0	25.14	91.95	3162980.0	3145315.0	3092974.0	61874.0	5471.0	2661.0	7.33	0.03	2.2	0.03	1.81	1597269.0	5.23	2095.0	0.01	0.0	69.61	0.02	0	21260790	6109
SRR2155415	29039976.0	94.0	7208046.0	24.82	90.87	2922209.0	2906182.0	2859762.0	54657.0	5325.0	2465.0	7.36	0.03	2.19	0.03	1.8	1541072.0	5.31	2353.0	0.01	0.0	69.85	0.02	0	20282697	5808
SRR2155416	20288643.0	94.0	5141779.0	25.34	91.24	2096654.0	2085319.0	2053286.0	38444.0	3178.0	1746.0	7.33	0.03	2.22	0.03	1.83	1087072.0	5.36	1645.0	0.01	0.0	69.27	0.02	0	14054089	4058
SRR2155417	38619095.0	94.0	9708618.0	25.14	91.64	3990365.0	3968314.0	3906226.0	73794.0	7021.0	3324.0	7.33	0.03	2.21	0.03	1.81	2065120.0	5.35	2795.0	0.01	0.0	69.49	0.02	0	26834839	7723
SRR2155418	29041532.0	94.0	7249514.0	24.96	91.14	2952192.0	2937012.0	2888040.0	57098.0	4593.0	2461.0	7.34	0.03	2.2	0.03	1.81	1551712.0	5.34	2297.0	0.01	0.0	69.67	0.02	0	20232201	5808
SRR2155419	14958264.0	94.0	3710245.0	24.8	91.32	1508410.0	1500460.0	1477728.0	26828.0	2637.0	1217.0	7.32	0.03	2.21	0.03	1.82	776678.0	5.19	1160.0	0.01	0.0	69.98	0.02	0	10467190	2991
SRR2155420	37021141.0	94.0	9282150.0	25.07	91.83	3820437.0	3799421.0	3736882.0	72151.0	6348.0	5056.0	7.32	0.03	2.2	0.03	1.81	1918800.0	5.18	2608.0	0.01	0.0	69.72	0.02	0	25810179	7404
SRR2155421	21991512.0	94.0	5468128.0	24.86	91.04	2211052.0	2199238.0	2165899.0	39702.0	3596.0	1855.0	7.35	0.03	2.22	0.03	1.81	1137466.0	5.17	1784.0	0.01	0.0	69.93	0.02	0	15379735	4399
SRR2155422	20802907.0	94.0	5241279.0	25.19	91.0	2128154.0	2116334.0	2082447.0	38862.0	5047.0	1798.0	7.35	0.03	2.21	0.03	1.82	1083930.0	5.21	1664.0	0.01	0.0	69.57	0.02	0	14471874	4160
SRR2155423	30501876.0	94.0	7555956.0	24.77	91.62	3092565.0	3075294.0	3026388.0	58277.0	5188.0	2712.0	7.31	0.03	2.22	0.03	1.8	1545879.0	5.07	2263.0	0.01	0.0	70.13	0.02	0	21391677	6101
SRR2155424	26587248.0	94.0	6580387.0	24.75	91.04	2661972.0	2647753.0	2607635.0	48137.0	4004.0	2196.0	7.35	0.03	2.21	0.03	1.81	1349718.0	5.08	2141.0	0.01	0.0	70.15	0.02	0	18649685	5317
