Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
SRR2155413	SRR2155413.markdup.sorted.bam	2782783.0	3804507.0	1492292.0	1862285.0	54267.0	0.0	1.28	1862285.0	326813.0	60219.0	318625.0
SRR2155414	SRR2155414.markdup.sorted.bam	9275345.0	12722812.0	5028465.0	6147814.0	179228.0	0.0	1.21	6147814.0	1110028.0	223277.0	1063346.0
SRR2155415	SRR2155415.markdup.sorted.bam	8749118.0	12090940.0	4867483.0	5766187.0	170174.0	0.0	1.33	5766187.0	1042192.0	213093.0	994970.0
SRR2155416	SRR2155416.markdup.sorted.bam	6228851.0	8594610.0	3441360.0	4125642.0	120034.0	0.0	1.3	4125642.0	732553.0	150911.0	703060.0
SRR2155417	SRR2155417.markdup.sorted.bam	11773738.0	16256403.0	6526926.0	7766950.0	230217.0	0.0	1.2	7766950.0	1404882.0	284123.0	1338064.0
SRR2155418	SRR2155418.markdup.sorted.bam	8801226.0	12178191.0	4912110.0	5789440.0	169457.0	0.0	1.24	5789440.0	1053914.0	218725.0	999421.0
SRR2155419	SRR2155419.markdup.sorted.bam	4486923.0	6177659.0	2458913.0	2974571.0	85952.0	0.0	1.4	2974571.0	530098.0	110530.0	508100.0
SRR2155420	SRR2155420.markdup.sorted.bam	11200950.0	15336848.0	6034286.0	7416613.0	217612.0	0.0	1.21	7416613.0	1346723.0	278106.0	1281749.0
SRR2155421	SRR2155421.markdup.sorted.bam	6605594.0	9069491.0	3589641.0	4381962.0	129043.0	0.0	1.19	4381962.0	785821.0	158795.0	755070.0
SRR2155422	SRR2155422.markdup.sorted.bam	6325209.0	8660885.0	3408175.0	4199501.0	125116.0	0.0	1.26	4199501.0	751715.0	153389.0	716660.0
SRR2155423	SRR2155423.markdup.sorted.bam	9101835.0	12440129.0	4867931.0	6032390.0	177929.0	0.0	1.24	6032390.0	1096587.0	231229.0	1040896.0
SRR2155424	SRR2155424.markdup.sorted.bam	7930105.0	10862174.0	4267921.0	5272221.0	154762.0	0.0	1.23	5272221.0	949086.0	189515.0	908769.0
