Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR2155413	23531.973030441543	25003.73009534553	26673.642740484305	28040.586164564	29440.37634528211	30871.30838275563	32392.03024499149	33268.826664437605	34179.15206065571	35219.94122638002	36035.91640362431	36911.72058064604	37391.63101996859	37884.248537451225	38463.48373329	39112.05078827767	39286.99130767337	39900.07349822077	40371.34592493791	40499.471875653566	40705.38213165908	40890.93122558236	41137.728362828646	41376.457052314	41466.40560968847	41833.644086127744	41984.618700104744	41753.33182425864	41570.44220550892	41486.16228802202	41402.295579024096	41248.50169111657	41269.307391001385	41353.624766743626	41458.9215184948	41625.23086711698	41654.98773527477	41631.94365535343	41720.856016449354	41748.66865284416	41817.67847917304	41601.219371787345	41447.266603264376	41417.09139898484	41465.10255578096	41546.89013482097	41398.87623599094	41316.016297035996	41336.48633896483	41245.360866806	40891.29127777298	40645.664197848804	40529.94043994381	40524.08849556803	40400.800429571376	40137.78273151811	39743.12910610366	39411.10986963186	39274.78515089505	39283.67809476743	39271.718651449824	39301.92709789587	39370.12891304475	39287.43748529278	39027.631484902835	38738.08794354175	38419.74171110843	38279.63404125858	38284.058743070505	38159.43649158282	38105.92465100795	38139.482807347325	38231.111265924956	38317.533019522496	38077.61958508412	38062.75761786232	37954.83106655561	37567.805816152606	37298.943279225816	37078.28032868676	36869.84600791039	36668.92216677116	36494.24251295005	36216.12775014957	35763.429506029075	35187.66669638683	34557.87219924803	33961.11606822402	33044.1082433156	31763.288835493342	30210.609772082025	28458.54254732977	26532.14234171726	24537.088559546686	22346.22220509761	19643.2350625985	16192.609010951606	12114.016228471557	7545.5973575990065	2457.7732743601955
SRR2155414	78435.66642436803	83668.01108657457	89477.33399456395	94029.42821912277	98551.62894547822	103084.15426807402	108013.59894675385	110862.56309636387	113799.92431631623	117172.76733961205	119775.20202876056	122684.57378538258	124241.50000995732	125802.02762277403	127671.83609229652	129916.14491863133	130546.51113738824	132523.12263721036	134026.97600783306	134406.0849010543	135092.27112268546	135673.09152183653	136492.02997270532	137261.88986763376	137625.63951097528	138845.95319847923	139363.35635975018	138610.66785300596	137981.0220080117	137671.16425199495	137391.83504884556	136891.6991878263	137011.81227329955	137338.65982495103	137734.07665280328	138332.98402241536	138486.41800236603	138392.19738124486	138662.00505291705	138713.39833834613	138851.49925425378	138104.48908138697	137571.76262232638	137448.95686196873	137627.22342709705	138006.76641133765	137535.85107993984	137276.42435311276	137416.85832213014	137146.88814233572	136071.51042561265	135237.5952268327	134810.3953993692	134671.1878003743	134273.39296233802	133417.29369143132	132039.9901772609	130841.8230088338	130218.65679625254	130289.68565184176	130267.98413539385	130402.31406401414	130660.44676076282	130401.37063725464	129616.33869877906	128634.28728326633	127527.00477486162	127111.75610525404	127066.14807961998	126625.38571497124	126491.8147809198	126557.82221862997	126815.77553220917	127095.01729607962	126272.71978465858	126185.0933283784	125885.13092000342	124636.30173513485	123712.28276375805	122938.8656198682	122235.81588540779	121479.58096546875	120879.61323101315	119963.40795270895	118444.09769179586	116563.65316804626	114475.1522507524	112388.34636334323	109308.12057199125	105046.0948581982	99952.4883718068	94145.67645572526	87809.72535457692	81165.26348638271	73846.46207165167	64894.57108163402	53393.966941989034	39967.94267734751	24980.196298010138	8143.4930733241545
SRR2155415	73844.10198095479	78940.04392730109	84487.5203194522	88833.2344253695	93164.06956287088	97494.7009454663	102219.19263760958	105006.13086460815	107894.9492524455	111111.88088495222	113636.72983856783	116389.23367424608	117857.17978425772	119391.38637571169	121236.18996442681	123272.83455403062	123828.60561222861	125615.23672119892	127038.44533950304	127405.10035558225	128069.65203237232	128565.52487615093	129253.31348442545	129970.51547580301	130297.0083820689	131475.67990310388	131949.21903560543	131280.36010309224	130705.42090254762	130416.62613008902	130158.42684822429	129671.37706687594	129771.46495839271	129978.8076591145	130290.92119900502	130836.08125326467	130878.85764172595	130790.55099148785	130992.08889910275	131045.23301347691	131218.40687692896	130531.1730462551	130044.99450880219	129966.44033533988	130073.31051298836	130405.40524431995	129890.52553260971	129684.09716424694	129715.98635576169	129354.20264101926	128257.18156901324	127395.79588433781	127030.05345890894	126971.11413423215	126609.074661231	125800.6015439171	124521.05507273573	123462.96791445963	122958.91462697902	123046.60181434218	123078.79386724626	123174.69999228811	123411.23396997016	123122.53714160455	122355.72201878906	121457.7908878667	120396.32746529806	119932.09346414938	119860.79897788254	119412.37625941439	119246.57925874829	119286.06277988435	119517.99114998688	119738.21854750573	119020.20738496119	118993.49422569216	118739.21498296608	117663.57740451927	116849.13024646358	116119.1987716465	115453.92106140267	114763.162860724	114173.37733685882	113246.76586427222	111791.90471367056	110004.45960659199	108068.7766057705	106136.68979889962	103240.96633646033	99197.65276403885	94390.3094321297	88921.51176178102	82992.91193089446	76809.88712023674	69953.22167650919	61462.64995193227	50543.576678317055	37802.15734743805	23561.32911849044	7662.005100522295
SRR2155416	51642.63529943335	54938.25420926251	58745.831979019706	61794.87150597344	64868.85412044105	68001.56231601398	71405.56092981786	73384.48163851797	75438.27786358444	77775.16323875506	79621.9103253986	81658.1566784079	82746.93318246063	83850.60217040942	85198.04058889818	86747.43022643894	87249.82337370973	88619.79637841409	89651.71768102019	89975.77210011154	90481.17790946702	90889.62888881552	91466.45470225376	92037.91975566137	92278.29186013047	93089.37814941075	93407.64162541111	92908.29158977618	92558.90354894145	92452.3420185635	92263.25097512065	91942.18027446746	92039.00272348181	92233.58061628856	92462.38633638082	92811.63765358904	92914.1045185351	92914.08585529316	93090.8431561463	93100.8008928854	93243.62685366828	92771.70558399362	92432.6550743057	92373.55536698342	92429.60128190294	92625.19554710654	92267.33785991752	92079.14172096387	92106.59458704907	91907.62583942304	91115.67060366568	90555.23855649593	90263.99074451902	90216.68053924033	89913.9583462743	89310.15292940536	88443.73819788663	87745.49617830575	87396.79373230302	87435.7674440476	87430.57010664482	87479.3712612054	87572.28545210457	87340.07065331524	86818.178992019	86183.71516619009	85414.28436669444	85105.01470548371	85011.22808638947	84703.26938620114	84565.03671577449	84579.42722500494	84730.41898524117	84877.09471046133	84333.41325007187	84281.07891242554	84106.85455509822	83301.99131450168	82722.40382495278	82211.7244477896	81740.61068434555	81300.70604935549	80908.4139383702	80294.10541099134	79289.72223341066	77980.7575475762	76533.22234657482	75140.9279877674	73043.2968889893	70192.21141936399	66780.62547959069	62888.09964494574	58609.66822826615	54178.98940939346	49314.71457253534	43324.77375385861	35680.935695865955	26751.969194257224	16701.071827705284	5439.407416775915
SRR2155417	99927.76766934613	106680.27518491639	114132.3503777406	119965.17680631718	125690.80476902149	131498.81066276965	137768.8230866673	141439.70755990094	145198.01007333476	149534.49409060826	152900.40824262094	156722.7417294275	158619.69599616373	160612.27614119957	163043.73429926674	165837.58290641196	166581.16138704037	169120.54399371892	171100.14527511963	171621.10804846595	172518.9659131278	173263.09318264513	174317.5147396034	175323.26234850063	175757.05769322102	177357.4836047493	178021.5581126547	177043.4586168563	176267.91091815114	175931.5360549004	175558.11315762482	174880.7761873337	175024.47312609453	175438.5668980342	175925.92659438646	176678.04265868568	176906.91341624586	176847.4317985777	177223.95997130562	177259.1005465923	177511.80610507837	176545.65641286023	175936.1972949094	175874.472533355	176065.163881704	176453.73560245312	175842.38006498525	175581.9065550812	175703.5631365373	175269.8574451355	173800.18768336298	172734.94598148987	172210.74418368362	172126.6537623414	171656.82109721244	170510.21654487352	168784.85173377077	167334.36478156634	166613.17350391796	166730.7462506111	166775.2195520422	166928.40204154936	167212.66675136294	166842.1804587516	165896.36443348802	164661.35606857066	163267.24158811045	162761.20418509014	162721.73479680382	162140.8440485676	161940.04987395808	161996.50774646256	162316.7009440997	162703.57813202936	161676.2279696477	161568.42345632732	161207.35901485453	159615.5670675891	158448.0531990229	157462.71352183205	156552.79596317786	155600.36247807302	154821.69126947204	153673.63776989534	151741.81502243484	149289.04120130453	146566.7126572333	143920.409811102	139992.74956313797	134539.96684414695	128001.05275214069	120626.84817024354	112558.87103782171	104136.09007684102	94826.74182684535	83330.01255015685	68509.73323735408	51239.871032492396	31947.814653901904	10401.945060210666
SRR2155418	73959.38643436118	78778.84358963899	84256.95625467984	88567.88016111527	92918.80859663947	97313.58217853561	102076.30813133254	104895.15457119148	107793.63148370008	111133.2225647623	113656.19281682372	116480.07009420513	117882.57998961101	119442.37380370163	121357.71162366112	123486.258066413	124081.87056570743	126024.96065014934	127514.42013663065	127886.76520463784	128536.49168901783	129119.4867578762	129969.77089172788	130759.30001257132	131131.2451007394	132299.42552131644	132733.11556336234	132046.96412665315	131478.3312212214	131208.86735716477	130959.92654217083	130520.03886270066	130650.99368319995	130904.79611608358	131234.77281490384	131772.8915845897	131864.46365462663	131815.89952948588	132134.18373948635	132183.81618913513	132382.30082121177	131652.89862239044	131128.28583100592	131023.89268460599	131146.62169429587	131426.9341214289	130922.37463747317	130690.42273860803	130703.84974681477	130369.32763628857	129246.3222422653	128439.1608093822	128022.74600997813	127916.26467464615	127503.45540314757	126624.58367025587	125332.4623985369	124219.76887411202	123705.56816225474	123816.31150893278	123867.10026438457	123917.5755060679	124152.83701547036	123866.327666481	123088.99590028932	122133.65487840297	121085.86656977885	120650.59499158188	120583.76734620838	120132.55351951168	119957.95948603687	119966.63465688012	120221.85152992299	120529.99178948472	119713.70304020369	119675.60933406289	119416.4464975871	118260.28702825867	117405.3913486748	116649.70655407126	115970.78156593152	115319.26951968498	114759.67260254752	113823.6927876444	112346.4714161004	110543.89491629432	108500.71015809456	106528.65434187358	103573.631533177	99500.53416559113	94689.93972226758	89244.44413496976	83325.30512065848	77080.5365116908	70176.59187565588	61677.415270597565	50718.40202058404	37953.632747389434	23690.981565300055	7711.457171422085
SRR2155419	37683.3665613975	40162.60639709793	42978.30333520531	45259.36683892351	47513.2845127708	49790.33464558751	52208.81078058331	53672.15216562882	55160.05864263641	56802.884595472446	58087.42735723708	59534.2991114831	60305.2537664972	61099.24894761218	62047.72079933566	63146.75821460013	63459.74749952998	64442.17141257728	65202.41856038763	65413.747549211315	65765.43804218413	66071.68822085137	66487.47273287247	66900.38229586222	67050.10894939957	67667.26388921004	67871.41668065004	67506.59172206972	67220.41079761554	67092.38000423436	66970.00536674754	66725.3459992321	66795.5827938071	66919.14732264364	67055.60988740678	67282.28404188293	67283.08696573827	67274.07190253388	67437.10770507823	67470.06363614181	67573.7313853829	67248.01561531011	66993.37683825866	66898.38563134869	66970.29009180794	67096.7977156174	66836.19632923187	66694.35166635885	66707.49705378733	66545.76884718487	65984.81910875093	65591.0694498246	65420.85890267725	65393.9596897413	65173.44468625835	64741.70393797566	64112.6520045209	63586.28377977089	63334.354546565926	63375.27366865118	63348.21694986462	63403.53446998345	63475.15738818219	63358.06776875686	62952.35723876297	62504.26068002434	62008.845266127384	61819.34280076493	61775.19340279451	61553.98833451326	61454.85816368	61429.78540670557	61516.188653110934	61632.07547133693	61280.37511991971	61248.85769005367	61120.5091129076	60563.991654570775	60147.53210563408	59844.44109449842	59542.0302313923	59167.66603873777	58846.31292420433	58386.317616962886	57627.76015204065	56636.46662395847	55596.948051026855	54578.06245113274	53072.010394459845	50987.9543104618	48476.3107383089	45591.56623354996	42506.867745830015	39290.05136614603	35744.31037535807	31401.86430581092	25831.195142857552	19341.778140003942	12080.80376018825	3924.775021736658
SRR2155420	94830.72894555946	101096.66280689718	108083.2915539046	113599.07665275167	119129.82845248256	124659.4597701053	130619.0697775445	134192.44573091526	137800.31024330942	141942.73365437935	145208.52357563988	148837.78982537842	150698.895621264	152642.022895784	154914.10275098524	157563.04520995822	158305.4338961832	160725.55571841143	162646.86803207226	163116.69690515098	163940.09624438453	164713.90346819913	165712.48212775376	166626.81708009378	167069.1774153618	168567.04936981224	169064.43156569186	168121.8613475617	167412.28511618267	167124.01524624135	166837.04692612006	166268.81554316642	166407.11629156195	166833.54417787306	167262.5843332549	167875.4981631107	167980.63403603362	167977.6444353383	168341.6036205834	168365.0631253067	168589.63930280224	167664.14127290208	167059.74898383685	166971.0675293229	167151.19264860614	167503.3410541849	166868.641237472	166580.46575623594	166577.7710677706	166068.12649871374	164641.32768612407	163613.7637446912	163209.48570473737	163135.616824948	162645.22162789296	161620.39747658305	160037.41237028115	158681.1894070299	158013.27498292134	158094.3357410953	158086.58088630313	158209.178877091	158437.91962639385	158089.31660736332	157243.75492792987	156106.92128547374	154787.17966669684	154246.17085979247	154143.49034627446	153565.5864819526	153272.63962604073	153228.82520071202	153406.549944636	153664.51548029445	152767.9998029159	152715.07065741107	152360.35015902214	150979.65065060684	149908.43801437176	149030.0309778633	148206.2385447637	147303.53357372948	146545.7084717422	145387.7047535211	143568.15911884903	141170.8365529	138552.40758000768	135978.06549010825	132222.46241336552	127170.46078832823	121048.28771310435	113985.75481563219	106290.32661867153	98225.99499669393	89359.36541743253	78517.65167651064	64606.7033673868	48362.004575518586	30217.76205556134	9845.23014829373
SRR2155421	55447.563605925956	59159.21278578614	63274.522197330174	66488.2825626904	69717.1657199827	72946.9180214141	76485.20541988642	78605.68870188991	80793.04306976189	83297.26993004816	85214.72632792711	87333.48904460612	88467.16491595544	89677.54220766293	91068.06386138381	92651.77920848067	93119.07310389957	94548.28847213232	95682.78861411872	96065.78287261765	96568.6008186189	96998.06893188127	97596.86998229209	98236.74058140659	98527.12218975685	99404.91387470783	99788.03384294952	99269.16257159639	98895.54430437283	98706.65975150379	98530.47389238041	98231.7866914688	98307.04235545678	98494.72880956324	98753.65503049578	99168.4848763907	99275.5444482837	99276.05818347429	99525.26442229348	99586.19446417862	99752.2003522578	99216.79317106731	98830.16535210348	98740.35820785872	98838.67050449118	99032.06564404105	98653.59090353161	98514.12461487518	98607.71462183936	98393.29125224067	97545.92357904553	96963.94900232909	96661.26093045001	96585.5685438634	96346.76512892066	95772.78797775359	94825.13095279846	94041.80298471868	93684.84908871855	93748.63446579427	93763.58452363718	93824.53400489716	94025.71937798963	93880.04492970386	93398.15715612046	92764.3456192123	92018.72582065064	91719.65547620635	91687.89729477385	91356.43940651523	91242.3350510548	91275.7879014978	91423.13682327184	91620.36179230525	91064.66924190252	91029.4514111776	90830.87272355659	89960.9389985874	89341.84081839897	88787.25034209242	88256.27866442093	87706.94338957928	87269.86927117224	86624.14309889177	85526.7473693289	84128.28206233704	82583.60906534822	81065.13965566366	78839.9497151971	75745.53909385957	72064.22416512833	67900.29401465562	63412.67112797961	58676.7109747894	53413.65591875105	46907.477799238	38540.23404496969	28815.439575353925	17964.66967199782	5836.071578711763
SRR2155422	53515.31255938174	56958.882938071605	60860.365354203386	64073.19597200787	67237.21915235855	70404.51472535392	73781.44380610088	75811.61848237073	77884.6735703746	80225.60859655023	82048.4421903466	84027.70349058736	85118.0409308625	86279.79186541369	87607.09654810064	89084.42437311054	89528.26639254534	90925.11989816067	92006.13017980954	92352.33717138317	92864.58416314755	93271.5131856825	93839.10545167023	94470.89339129496	94684.98645559482	95501.107457577	95806.6593764875	95302.9853155019	94915.44164522101	94768.39874580187	94591.29201458191	94223.94705657457	94336.61610296891	94554.57905234752	94818.26552511935	95157.45206575427	95195.6238970057	95175.49569074236	95418.35333068953	95494.57546407645	95681.66237805333	95136.65880101494	94773.52686205188	94684.83124931915	94755.33850790809	94912.4760438656	94526.51316010808	94364.63381104234	94412.34940122992	94194.30517570586	93398.28845221385	92793.34187694965	92475.692439733	92366.72296775322	92096.36514104393	91463.46401547777	90552.23545141591	89794.4558701687	89400.14820161166	89405.1628887097	89376.50772005068	89448.52954460513	89509.1773561962	89324.6404689705	88812.05366519107	88169.66358321227	87417.33721289996	87108.86934651066	87056.12783676614	86771.12845004801	86667.77179529217	86679.9534284145	86825.1404096999	87028.17458922915	86490.09750606932	86452.7469974035	86264.02217203991	85437.36684300586	84835.61046562136	84327.77455175066	83853.54682734156	83331.25897567852	82960.09553760594	82361.24102013379	81288.32928944948	79857.64434951705	78411.04406663238	77002.12609522372	74872.26861771787	71962.4659158408	68436.03424196685	64411.341256618325	60030.07754241805	55443.22237212594	50425.38370310686	44338.68213934719	36537.317581383235	27351.594373757598	17049.932181781965	5528.004830629102
