Sample	Exonic	Intronic	Intergenic
SRR2155413	7460725.0	356670.0	66379.0
SRR2155414	24876202.0	1160534.0	228725.0
SRR2155415	23501610.0	1169873.0	219619.0
SRR2155416	16477273.0	848868.0	153097.0
SRR2155417	31396516.0	1440580.0	280321.0
SRR2155418	23459427.0	1199395.0	220887.0
SRR2155419	12117210.0	674266.0	118004.0
SRR2155420	30108096.0	1411380.0	270499.0
SRR2155421	17870018.0	862360.0	159053.0
SRR2155422	16999043.0	812009.0	147737.0
SRR2155423	24783497.0	1198026.0	221640.0
SRR2155424	21601598.0	1084525.0	194836.0
