Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
SRR2155413	1945602.0	13812.0	6430.0
SRR2155414	4437207.0	40636.0	19965.0
SRR2155415	4260513.0	39225.0	18585.0
SRR2155416	3401224.0	29577.0	13923.0
SRR2155417	5047846.0	49778.0	24834.0
SRR2155418	4241570.0	39341.0	19117.0
SRR2155419	2746036.0	22175.0	10437.0
SRR2155420	4948995.0	48230.0	23971.0
SRR2155421	3579854.0	30005.0	14355.0
SRR2155422	3453933.0	30072.0	13722.0
SRR2155423	4318397.0	40523.0	19481.0
SRR2155424	4011301.0	35500.0	16816.0
