Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
SRR2155413	145380.0	10002.0	4448.0
SRR2155414	176033.0	23838.0	11991.0
SRR2155415	174788.0	23343.0	11484.0
SRR2155416	166209.0	18674.0	8900.0
SRR2155417	182363.0	27936.0	14759.0
SRR2155418	175026.0	23336.0	11767.0
SRR2155419	158318.0	14909.0	7009.0
SRR2155420	181576.0	27247.0	14392.0
SRR2155421	167222.0	18740.0	9063.0
SRR2155422	165899.0	18769.0	8967.0
SRR2155423	175362.0	23676.0	12327.0
SRR2155424	172032.0	21451.0	10742.0
