Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
SRR2155413	5966049.0	100039.0	1166953.0	240670.0	3443.0	2966.0	1738.0	10381.0	13997.0	4590.0	56161.0
SRR2155414	13927681.0	264028.0	2995690.0	697173.0	10517.0	9276.0	5830.0	28309.0	40798.0	13625.0	159450.0
SRR2155415	13394638.0	253199.0	2894749.0	685196.0	9953.0	8951.0	5521.0	27345.0	38568.0	13085.0	151755.0
SRR2155416	10591385.0	187954.0	2178053.0	564634.0	7301.0	6948.0	4167.0	20101.0	28511.0	9800.0	114913.0
SRR2155417	15910524.0	310693.0	3496478.0	823971.0	12610.0	11328.0	6855.0	33725.0	48250.0	16042.0	188847.0
SRR2155418	13333522.0	249653.0	2873907.0	730450.0	9936.0	9308.0	5699.0	27652.0	39049.0	13487.0	154381.0
SRR2155419	8528873.0	148512.0	1746760.0	467366.0	5506.0	5113.0	3293.0	15791.0	22815.0	8158.0	92062.0
SRR2155420	15586102.0	304949.0	3378221.0	834205.0	12147.0	10860.0	6728.0	32478.0	46437.0	15870.0	183882.0
SRR2155421	11184630.0	202126.0	2374128.0	509069.0	7381.0	6455.0	4142.0	21791.0	30284.0	10180.0	119774.0
SRR2155422	10747160.0	199573.0	2205954.0	515633.0	7261.0	5987.0	3839.0	19967.0	27415.0	9488.0	113193.0
SRR2155423	13555975.0	264418.0	2929705.0	712948.0	9898.0	8562.0	5573.0	27892.0	38812.0	13360.0	154173.0
SRR2155424	12592619.0	235770.0	2720428.0	647252.0	8810.0	7839.0	5128.0	25721.0	35857.0	12295.0	141024.0
