Sample	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	3	4	5	6	7	8	9	MT	X	KI270733.1	GL000220.1
SRR2155413	1095498	282598	671949	488579	124917	207967	209571	323204	492798	103353	612481	622955	213856	445270	222318	379116	203754	469340	758504	605512	373839	366571	213380	354980	157094	156064
SRR2155414	3687774	941125	2216669	1658176	406594	688677	680562	1072217	1680756	336445	2051152	2069041	708726	1691191	746467	1245714	671129	1555321	2580513	2037945	1236622	1219088	877955	1194065	629105	625236
SRR2155415	3498142	897392	2073410	1562099	390225	657874	651381	999242	1571020	324253	1904810	1982371	669949	1595297	693832	1187947	647484	1484243	2436898	1923039	1177561	1147181	888027	1127851	593914	591331
SRR2155416	2445466	628796	1488616	1096164	276902	460633	466284	719907	1093318	226987	1352165	1380230	473140	1157720	493393	838061	449747	1042078	1702745	1347779	826549	820286	532680	787619	433723	431259
SRR2155417	4652839	1187111	2802384	2114521	514088	864836	865607	1345406	2128827	426758	2606573	2616574	897170	2148566	941288	1575624	849303	1976645	3297319	2571734	1565925	1542631	1080389	1510313	801865	796629
SRR2155418	3504955	899618	2079756	1574135	395061	658377	656952	1001338	1563305	326495	1892450	1990793	670770	1672522	693676	1195920	650365	1495173	2474402	1929955	1179552	1154596	817898	1134104	633801	630555
SRR2155419	1824504	464625	1088956	792487	204059	342219	344447	536535	796926	169938	972720	1047112	344457	842117	360604	625090	331005	763317	1216660	977436	613659	597725	441543	578382	316578	314577
SRR2155420	4477667	1145049	2697816	2010709	485156	836601	828987	1311821	2037538	405872	2469101	2550745	857852	2164415	904206	1511514	809217	1879085	3096366	2419695	1502463	1464566	1087066	1436327	822702	818901
SRR2155421	2649922	684472	1597153	1188125	290186	497891	493192	775238	1209694	241619	1460386	1524623	508865	1223738	534258	904916	485135	1118035	1837597	1440141	895043	863354	538261	853839	455271	451777
SRR2155422	2515907	632041	1548343	1130602	277589	464251	473182	795457	1143478	229632	1390860	1499394	474370	1142345	529553	853007	445775	1045180	1659814	1319081	841593	825389	554472	793403	425754	423304
SRR2155423	3681832	939439	2235857	1650946	406262	684353	684290	1132607	1679571	330707	1993248	2192899	694925	1778420	771625	1251673	661826	1528833	2457255	1928636	1225285	1180478	877887	1159051	681067	677551
SRR2155424	3212937	825557	1950360	1440237	355558	598609	597176	988712	1464065	289370	1719411	1926849	603307	1434881	668629	1092829	580309	1345317	2154698	1688513	1069659	1034706	696369	1014390	532213	528488
