Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR2155413	8352994.0	553380.0	824.0	204850.0	1829.0
SRR2155414	27816550.0	1987858.0	2382.0	765634.0	9151.0
SRR2155415	26347586.0	1884323.0	2308.0	860226.0	5832.0
SRR2155416	18516632.0	1308278.0	1641.0	485701.0	6097.0
SRR2155417	35090669.0	2546326.0	3053.0	1013553.0	11606.0
SRR2155418	26337671.0	1916946.0	2935.0	812823.0	8709.0
SRR2155419	13666022.0	953840.0	1494.0	354751.0	4491.0
SRR2155420	33669134.0	2442511.0	2645.0	938757.0	11132.0
SRR2155421	20004682.0	1394277.0	1694.0	612414.0	4406.0
SRR2155422	19028709.0	1297591.0	1576.0	502681.0	6232.0
SRR2155423	27735932.0	1959767.0	2113.0	834401.0	9136.0
SRR2155424	24216328.0	1653875.0	2198.0	741877.0	7977.0
