Sample	protein_coding	unprocessed_pseudogene	lncRNA	transcribed_processed_pseudogene	processed_pseudogene	TEC	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	unitary_pseudogene	miRNA	snRNA	scaRNA	misc_RNA	snoRNA	rRNA_pseudogene	pseudogene	rRNA	IG_V_pseudogene	IG_V_gene	IG_C_gene	IG_J_gene	scRNA	sRNA	ribozyme	vault_RNA	translated_processed_pseudogene	TR_V_gene	TR_V_pseudogene	TR_D_gene	TR_J_gene	TR_C_gene	translated_unprocessed_pseudogene	IG_C_pseudogene	TR_J_pseudogene	IG_J_pseudogene	IG_D_gene	IG_pseudogene	artifact	Mt_tRNA	Mt_rRNA
SRR2155413	7685468.0	3820.0	71693.0	2145.0	8950.0	1087.0	4366.0	352.0	52.0	101.0	55.0	3.0	161.0	81.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	161.0	781.0	26335.0
SRR2155414	25640953.0	14156.0	235239.0	7208.0	30810.0	3920.0	14687.0	1144.0	175.0	330.0	177.0	8.0	285.0	205.0	15.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	5.0	2.0	1.0	0.0	0.0	2.0	15.0	2.0	0.0	0.0	0.0	0.0	506.0	2370.0	94730.0
SRR2155415	24257757.0	14291.0	226533.0	6933.0	34381.0	3574.0	14468.0	1092.0	155.0	330.0	169.0	4.0	480.0	187.0	16.0	25.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	11.0	2.0	2.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	0.0	0.0	433.0	2535.0	97103.0
SRR2155416	16982556.0	8570.0	163071.0	4968.0	21230.0	2700.0	9959.0	874.0	93.0	228.0	134.0	6.0	321.0	186.0	10.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	354.0	1593.0	61175.0
SRR2155417	32384231.0	17928.0	295608.0	9016.0	40850.0	4570.0	18716.0	1482.0	197.0	420.0	217.0	5.0	359.0	256.0	25.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	10.0	3.0	1.0	0.0	1.0	2.0	25.0	3.0	0.0	0.0	0.0	0.0	637.0	3043.0	118682.0
SRR2155418	24207467.0	13744.0	231319.0	7154.0	34330.0	3753.0	14475.0	1172.0	131.0	298.0	200.0	3.0	469.0	241.0	18.0	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	10.0	0.0	1.0	0.0	0.0	2.0	18.0	2.0	0.0	0.0	0.0	0.0	460.0	2353.0	86930.0
SRR2155419	12490562.0	7054.0	122889.0	3467.0	15447.0	2181.0	7606.0	701.0	99.0	177.0	137.0	7.0	143.0	150.0	13.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	5.0	2.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	234.0	1369.0	46726.0
SRR2155420	31048740.0	17482.0	280652.0	8578.0	36938.0	4572.0	18222.0	1398.0	182.0	368.0	196.0	4.0	398.0	221.0	25.0	29.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	5.0	2.0	0.0	0.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	592.0	2974.0	111878.0
SRR2155421	18457674.0	8975.0	168123.0	5189.0	24439.0	2725.0	11036.0	803.0	106.0	244.0	133.0	3.0	208.0	148.0	17.0	16.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	9.0	1.0	2.0	0.0	0.0	1.0	13.0	2.0	0.0	0.0	0.0	0.0	341.0	1701.0	55255.0
SRR2155422	17528632.0	9481.0	155358.0	4621.0	22255.0	2713.0	9065.0	786.0	83.0	224.0	142.0	7.0	188.0	139.0	18.0	17.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	6.0	1.0	1.0	0.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	306.0	1650.0	58560.0
SRR2155423	25563036.0	14476.0	224675.0	6673.0	30704.0	4048.0	13301.0	1075.0	118.0	322.0	194.0	5.0	540.0	193.0	21.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	9.0	3.0	1.0	0.0	0.0	2.0	13.0	3.0	0.0	0.0	0.0	0.0	482.0	2394.0	95362.0
SRR2155424	22314495.0	11865.0	198333.0	6104.0	29309.0	3602.0	11652.0	985.0	85.0	284.0	189.0	8.0	230.0	188.0	18.0	18.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	9.0	3.0	2.0	0.0	0.0	4.0	10.0	4.0	0.0	0.0	0.0	0.0	401.0	2013.0	71380.0
