Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences
SRR2155413	10169111	10169111	0.0	0.00821108739600302	0.387316	1.2	8906374.0	92.21272132595162	8404154	0.008546465	1262737.0	8906374.0	100.0	0.0	1.1819400353050524	8906374.0	91.65	8352994.0	30.591955733028	49.0	101.0	9.090909090909092	9113877.0
SRR2155414	34560073	34560073	0.0	0.00672181143901526	0.553902	1.19	29804408.0	91.77949794933714	28067616	0.01069371	4755665.0	29804408.0	100.0	0.0	1.3854662035226468	29804408.0	90.96	27816550.0	40.00204858013886	49.0	101.0	18.181818181818183	30581575.0
SRR2155415	32726986	32726986	4.055067327702115e-06	0.00674039967702354	0.546073	1.2	28231909.0	91.39203667319296	26595334	0.01025118	4495077.0	28231909.0	100.0	0.0	1.3747068963703446	28231909.0	90.54	26347586.0	42.85624951323226	49.0	101.0	18.181818181818183	29100275.0
SRR2155416	23003005	23003005	5.794392696654735e-06	0.00594338805997786	0.495316	1.2	19824910.0	91.48624231230599	18588494	0.008836135	3178095.0	19824910.0	100.0	0.0	1.427976217798719	19824910.0	91.13	18516632.0	39.72677560449047	49.0	101.0	9.090909090909092	20318349.0
SRR2155417	43747268	43747268	0.0	0.00750069242479374	0.592851	1.18	37636995.0	91.73089128942203	35467939	0.01102034	6110273.0	37636995.0	100.0	0.0	1.3894121993533226	37636995.0	90.76	35090669.0	43.128629199187486	49.0	101.0	18.181818181818183	38665207.0
SRR2155418	32927564	32927564	0.0	0.00631122052215391	0.546963	1.18	28254617.0	91.35845888405564	26566203	0.01008214	4672947.0	28254617.0	100.0	0.0	1.4574750738967723	28254617.0	90.57	26337671.0	43.21586924650581	49.0	101.0	18.181818181818183	29079084.0
SRR2155419	16931247	16931247	0.0	0.00641803958177981	0.449454	1.18	14619862.0	91.16977840270462	13657778	0.008855167	2311385.0	14619862.0	100.0	0.0	1.4056425430007478	14619862.0	91.22	13666022.0	35.4807857950761	48.0	101.0	9.090909090909092	14980598.0
SRR2155420	42096037	42096037	0.0	0.00734307168844577	0.584952	1.2	36111645.0	91.66194647565096	33973747	0.01078823	5984392.0	36111645.0	100.0	0.0	1.4650731086883468	36111645.0	90.84	33669134.0	42.59789138989173	49.0	101.0	18.181818181818183	37064178.0
SRR2155421	24760933	24760933	1.0673963103205002e-05	0.00676339131306321	0.50645	1.2	21398959.0	91.74167262519181	20199198	0.01014551	3361974.0	21398959.0	100.0	0.0	1.3861141563007808	21398959.0	90.86	20004682.0	39.43405344437667	49.0	101.0	18.181818181818183	22017473.0
SRR2155422	23463745	23463745	5.619786594223871e-06	0.00670687593809893	0.503564	1.21	20326300.0	91.84510626853303	19137571	0.008981125	3137445.0	20326300.0	100.0	0.0	1.3617579195426615	20326300.0	91.32	19028709.0	39.99218826522883	49.0	101.0	9.090909090909092	20836789.0
SRR2155423	34537127	34537127	7.704851190045087e-06	0.0102618423148924	0.562464	1.2	29695699.0	91.25719037492416	27871177	0.01091767	4841428.0	29695699.0	100.0	0.0	1.45968949914262	29695699.0	90.81	27735932.0	40.683060132169956	49.0	101.0	18.181818181818183	30541349.0
SRR2155424	29857334	29857334	4.41477733695245e-06	0.0062831858693037	0.53443	1.22	25870203.0	91.56435470999733	24376496	0.01011899	3987131.0	25870203.0	100.0	0.0	1.3530469784098718	25870203.0	90.96	24216328.0	42.04764646708996	49.0	101.0	18.181818181818183	26622255.0
