Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR2155413	Unknown Library	8906374.0	0.0	1262737.0	0.0	3449577.0	0.0	0.0	0.387316	
SRR2155414	Unknown Library	29804408.0	0.0	4755665.0	0.0	16508728.0	0.0	0.0	0.553902	
SRR2155415	Unknown Library	28231909.0	0.0	4495077.0	0.0	15416676.0	0.0	0.0	0.546073	
SRR2155416	Unknown Library	19824910.0	0.0	3178095.0	0.0	9819604.0	0.0	0.0	0.495316	
SRR2155417	Unknown Library	37636995.0	0.0	6110273.0	0.0	22313134.0	0.0	0.0	0.592851	
SRR2155418	Unknown Library	28254617.0	0.0	4672947.0	0.0	15454231.0	0.0	0.0	0.546963	
SRR2155419	Unknown Library	14619862.0	0.0	2311385.0	0.0	6570953.0	0.0	0.0	0.449454	
SRR2155420	Unknown Library	36111645.0	0.0	5984392.0	0.0	21123564.0	0.0	0.0	0.584952	
SRR2155421	Unknown Library	21398959.0	0.0	3361974.0	0.0	10837506.0	0.0	0.0	0.50645	
SRR2155422	Unknown Library	20326300.0	0.0	3137445.0	0.0	10235602.0	0.0	0.0	0.503564	
SRR2155423	Unknown Library	29695699.0	0.0	4841428.0	0.0	16702775.0	0.0	0.0	0.562464	
SRR2155424	Unknown Library	25870203.0	0.0	3987131.0	0.0	13825815.0	0.0	0.0	0.53443	
