Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
SRR2155413	10169111	0	3449577	1262737	0	199712	5257085	0	0	2631210	2625875	3446234	1810851	0	0	51.696603567411145	0.0
SRR2155414	34560073	0	16508728	4755665	0	469792	12825888	0	0	6411410	6414478	8677662	4148226	0	0	37.11186605421811	0.0
SRR2155415	32726986	0	15416676	4495077	0	453852	12361381	0	0	6180284	6181097	8378414	3982967	0	0	37.771217306720516	0.0
SRR2155416	23003005	0	9819604	3178095	0	353069	9652237	0	0	4828653	4823584	6476693	3175544	0	0	41.96076556084737	0.0
SRR2155417	43747268	0	22313134	6110273	0	540657	14783204	0	0	7389511	7393693	10058971	4724233	0	0	33.79229075516213	0.0
SRR2155418	32927564	0	15454231	4672947	0	453422	12346964	0	0	6175970	6170994	8381861	3965103	0	0	37.49735024431203	0.0
SRR2155419	16931247	0	6570953	2311385	0	288756	7760153	0	0	3882935	3877218	5199724	2560429	0	0	45.83332225913425	0.0
SRR2155420	42096037	0	21123564	5984392	0	527766	14460315	0	0	7231822	7228493	9828364	4631951	0	0	34.35077510978052	0.0
SRR2155421	24760933	0	10837506	3361974	0	374374	10187079	0	0	5094359	5092720	6844299	3342780	0	0	41.14174130675932	0.0
SRR2155422	23463745	0	10235602	3137445	0	351589	9739109	0	0	4873280	4865829	6514956	3224153	0	0	41.50705268915938	0.0
SRR2155423	34537127	0	16702775	4841428	0	457240	12535684	0	0	6267603	6268081	8497823	4037861	0	0	36.29625591034251	0.0
SRR2155424	29857334	0	13825815	3987131	0	422790	11621598	0	0	5811518	5810080	7872822	3748776	0	0	38.92376325361133	0.0
