Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
SRR2155413	1966258	1945602	13812	6430	159830	145380	10002	4448	98.94947662005698	0.7024510516931146	0.3270171055883816	90.95914409059625	6.257899017706313	2.7829568916974283
SRR2155414	4499078	4437207	40636	19965	211862	176033	23838	11991	98.62480712714915	0.9032072793581262	0.44375758766573953	83.0885198855859	11.251663818900983	5.659816295513117
SRR2155415	4319392	4260513	39225	18585	209615	174788	23343	11484	98.6368683370252	0.908113919736852	0.4302688896955868	83.38525391789709	11.136130525010138	5.478615557092765
SRR2155416	3445612	3401224	29577	13923	193783	166209	18674	8900	98.71175280327559	0.8583961281769392	0.40407915923209	85.77068163874024	9.636552225943452	4.592766135316308
SRR2155417	5124002	5047846	49778	24834	225058	182363	27936	14759	98.51373984631545	0.971467224251669	0.4846602323730553	81.02933466039866	12.412800255934025	6.557865083667322
SRR2155418	4301183	4241570	39341	19117	210129	175026	23336	11767	98.61403246502182	0.914655340170367	0.4444591174102567	83.2945476350242	11.105558966158883	5.599893398816917
SRR2155419	2779241	2746036	22175	10437	180236	158318	14909	7009	98.80524934685405	0.7978797088845481	0.3755341836134398	87.839277391864	8.271932355356311	3.888790252779689
SRR2155420	5022689	4948995	48230	23971	223215	181576	27247	14392	98.53277796017234	0.9602426110794436	0.47725431536772434	81.34578769347938	12.206616938825796	6.447595367694824
SRR2155421	3625090	3579854	30005	14355	195025	167222	18740	9063	98.75214132614639	0.8277035880488485	0.39599016851995394	85.7438789898731	9.609024484040507	4.6470965260864
SRR2155422	3498603	3453933	30072	13722	193635	165899	18769	8967	98.72320466197509	0.8595430804809805	0.3922136921508385	85.67614325922483	9.69297905853797	4.630877682237198
SRR2155423	4379851	4318397	40523	19481	211365	175362	23676	12327	98.59689290800075	0.9252141225808823	0.4447868203735698	82.96643247462919	11.201476119508905	5.832091405861898
SRR2155424	4064773	4011301	35500	16816	204225	172032	21451	10742	98.68450218499287	0.8733575036047523	0.41370083889063425	84.23650385604114	10.503611213122781	5.259884930836088
