Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
SRR2155413	5456797	7566987	7510826	116309946	5966049	51.29	6762336	100039	14.79	33533670	1166953	34.8	1619661154	240670	0.15	28231512	3443	0.12	0.05	0.04	30925163	10381	0.34	0.18	0.12	56161	78.84312474700961	1.3220453530579608	15.421633471816456	3.1805261460076513	0.045500276397990376	0.08469685490407212	0.10766504554586917	0.1371880247712861	0.3221625727650913	0.3828207977627026	0.7421844387997495	98724443	97847659	1738	2966	99715893	102370500	4590	13997
SRR2155414	13295680	18152377	17992927	116309946	13927681	119.75	6762336	264028	39.04	33533670	2995690	89.33	1619661154	697173	0.43	28231512	10517	0.37	0.16	0.11	30925163	28309	0.92	0.52	0.36	159450	76.72648601337445	1.4545092358978662	16.503017759051613	3.8406705634198763	0.057937315867778644	0.1090380615166818	0.14115506746031112	0.155952027660069	0.38070496222065026	0.4557640026978285	0.8783973580980606	98724443	97847659	5830	9276	99715893	102370500	13625	40798
SRR2155415	12815233	17482960	17331205	116309946	13394638	115.16	6762336	253199	37.44	33533670	2894749	86.32	1619661154	685196	0.42	28231512	9953	0.35	0.15	0.11	30925163	27345	0.88	0.49	0.34	151755	76.61539007124651	1.448261621601834	16.557545175416518	3.9192219166548456	0.0569297189949528	0.10812814306044286	0.13970746372467818	0.15640944096423032	0.3770128170515748	0.4518571225925129	0.8680166287630927	98724443	97847659	5521	8951	99715893	102370500	13085	38568
SRR2155416	10005306	13713767	13598854	116309946	10591385	91.06	6762336	187954	27.79	33533670	2178053	64.95	1619661154	564634	0.35	28231512	7301	0.26	0.11	0.08	30925163	20101	0.65	0.36	0.25	114913	77.23177008913743	1.370549754855832	15.882237170866329	4.117278644153718	0.05323847196762202	0.10390288824361679	0.1342884125127691	0.14657533557336944	0.3544759073127026	0.425936943510853	0.8379389849630667	98724443	97847659	4167	6948	99715893	102370500	9800	28511
SRR2155417	15323861	20859323	20670476	116309946	15910524	136.79	6762336	310693	45.94	33533670	3496478	104.27	1619661154	823971	0.51	28231512	12610	0.45	0.19	0.14	30925163	33725	1.09	0.61	0.42	188847	76.27536138157504	1.4894682823598828	16.76218350902376	3.950132993290338	0.0604525851582048	0.11475923739231614	0.14762224066428234	0.16167830566696723	0.3929897437227469	0.4698954036044219	0.905336189482276	98724443	97847659	6855	11328	99715893	102370500	16042	48250
SRR2155418	12800386	17447044	17292663	116309946	13333522	114.64	6762336	249653	36.92	33533670	2873907	85.7	1619661154	730450	0.45	28231512	9936	0.35	0.15	0.11	30925163	27652	0.89	0.5	0.34	154381	76.42281408816302	1.4309186129180393	16.472171446349307	4.186669099934637	0.056949475223424674	0.11029948683570695	0.14296404594382864	0.15849103148934568	0.38230544956498075	0.45960794275523126	0.8848547639359423	98724443	97847659	5699	9308	99715893	102370500	13487	39049
SRR2155419	8048909	11044249	10952187	116309946	8528873	73.33	6762336	148512	21.96	33533670	1746760	52.09	1619661154	467366	0.29	28231512	5506	0.2	0.08	0.06	30925163	15791	0.51	0.29	0.2	92062	77.22456275659849	1.3446998523847116	15.816014289427919	4.231758990584149	0.049854000937501496	0.0961495888040916	0.12596601181302594	0.1429793913556277	0.3495574936783841	0.42342399197989833	0.8335741072118168	98724443	97847659	3293	5113	99715893	102370500	8158	22815
SRR2155420	14988081	20411879	20227997	116309946	15586102	134.0	6762336	304949	45.1	33533670	3378221	100.74	1619661154	834205	0.52	28231512	12147	0.43	0.18	0.13	30925163	32478	1.05	0.59	0.41	183882	76.3579972230876	1.493978089915191	16.55026957586805	4.0868604012398855	0.05950946505218849	0.11271377808970942	0.14567497681129699	0.15911323009508335	0.38661310896463774	0.46436195315482715	0.9008577799231516	98724443	97847659	6728	10860	99715893	102370500	15870	46437
SRR2155421	10561453	14469960	14350186	116309946	11184630	96.16	6762336	202126	29.89	33533670	2374128	70.8	1619661154	509069	0.31	28231512	7381	0.26	0.11	0.08	30925163	21791	0.7	0.39	0.27	119774	77.29551429305955	1.3968663354978177	16.407287926158745	3.518109241490647	0.05100912511161054	0.09561878540092716	0.12424360537278611	0.1505947493980633	0.3598835103898007	0.4302361582202024	0.8277424402002495	98724443	97847659	4142	6455	99715893	102370500	10180	30284
SRR2155422	10090698	13855470	13742277	116309946	10747160	92.4	6762336	199573	29.51	33533670	2205954	65.78	1619661154	515633	0.32	28231512	7261	0.26	0.11	0.08	30925163	19967	0.65	0.36	0.24	113193	77.56618866050736	1.4403914122003803	15.921177700936887	3.7215121536837077	0.05240529552588256	0.0956156665923278	0.12332313519498077	0.14410914967157376	0.34197324233678106	0.41045161225133464	0.8169553252253442	98724443	97847659	3839	5987	99715893	102370500	9488	27415
