Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR2155413	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	355797	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	9113877	8404154	99426	0	315320	7870871	92.21272132595162	quant	Sun Aug 11 23:22:25 2024	Sun Aug 11 23:25:25 2024
SRR2155414	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	500688	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	30581575	28067616	327834	0	1066075	28614900	91.77949794933714	quant	Sun Aug 11 23:25:29 2024	Sun Aug 11 23:31:42 2024
SRR2155415	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	495997	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	29100275	26595334	318367	0	1180693	27429836	91.39203667319296	quant	Sun Aug 11 23:22:45 2024	Sun Aug 11 23:28:48 2024
SRR2155416	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	451645	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	20318349	18588494	238795	0	743154	18051371	91.48624231230599	quant	Sun Aug 11 23:33:40 2024	Sun Aug 11 23:38:25 2024
SRR2155417	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	532179	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	38665207	35467939	402187	0	1382186	36797795	91.73089128942203	quant	Sun Aug 11 23:36:39 2024	Sun Aug 11 23:44:24 2024
SRR2155418	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	495948	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	29079084	26566203	328071	0	1167776	27316911	91.35845888405564	quant	Sun Aug 11 23:35:06 2024	Sun Aug 11 23:41:01 2024
SRR2155419	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	416857	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	14980598	13657778	189617	0	562160	13290443	91.16977840270462	quant	Sun Aug 11 23:21:46 2024	Sun Aug 11 23:25:38 2024
SRR2155420	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	527247	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	37064178	33973747	394326	0	1315965	34662122	91.66194647565096	quant	Sun Aug 11 23:28:38 2024	Sun Aug 11 23:35:42 2024
SRR2155421	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	457961	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	22017473	20199198	235596	0	877370	20717201	91.74167262519181	quant	Sun Aug 11 23:31:22 2024	Sun Aug 11 23:36:35 2024
SRR2155422	1.9.0	none	vb	[]	1	['U']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	252140	194	450739	False	['range_factorized', 'gzipped']	[550, 774, 1401, 2650, 347561]	78daf4e2b3762eb116410c2cf4e13b85e352f90dc81374c6d2e7fc03f7d88dc8	c5bf1bf984a7bf37a208e88dc528466086947bdc1ac34fbbc0024be470aa34ec	0f748e6922f47f2e6707a8730e4236922b5a5a67e94c125da9d92b8d14ff108c46806538464b9706f77f24ab689085a0efd5470c56bf5059e6859ef3cd036ace	e22716eb22ece9f6e6e8da41e7633df231cc33f496ef3e0cc703f39eec98cb13f75b85acfcf75d29cf74c44cc754e2e9be0550dae8f959cf84740dc65cf020ad	dba0cfeab270ee576723fa2f1ee2f4dc408b1cbfedc677478c8ca067aabc7ba0	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	0	20836789	19137571	230713	0	755383	18402093	91.84510626853303	quant	Sun Aug 11 23:30:44 2024	Sun Aug 11 23:35:04 2024
