Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR2155413	8906374.0	0.0	8906374.0	1.0	8906374.0	0.0	8906374.0	0.0	0.0	0.0	0.0	3449577.0	105268.0	0.0	1262737.0	0.0	899543774.0	899543774.0	0.0	899543774.0	894289164.0	0.0	348407277.0	7643011.0	0.008546465	101.0	101.0	0.0	101.0	101.0	0.0	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	38.731553379635756	1.1819400353050524	0.0
SRR2155414	29804408.0	0.0	29804408.0	1.0	29804408.0	0.0	29804408.0	0.0	0.0	0.0	0.0	16508728.0	412930.0	0.0	4755665.0	0.0	3010245208.0	3010245208.0	0.0	3010245208.0	2991535268.0	0.0	1667381528.0	31990611.0	0.01069371	101.0	101.0	0.0	101.0	101.0	0.0	32.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	55.39022281536342	1.3854662035226468	0.0
SRR2155415	28231909.0	0.0	28231909.0	1.0	28231909.0	0.0	28231909.0	0.0	0.0	0.0	0.0	15416676.0	388106.0	0.0	4495077.0	0.0	2851422809.0	2851422809.0	0.0	2851422809.0	2831877110.0	0.0	1557084276.0	29030073.0	0.01025118	101.0	101.0	0.0	101.0	101.0	0.0	31.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	54.607274343368	1.3747068963703446	0.0
SRR2155416	19824910.0	0.0	19824910.0	1.0	19824910.0	0.0	19824910.0	0.0	0.0	0.0	0.0	9819604.0	283095.0	0.0	3178095.0	0.0	2002315910.0	2002315910.0	0.0	2002315910.0	1989979185.0	0.0	991780004.0	17583723.0	0.008836135	101.0	101.0	0.0	101.0	101.0	0.0	31.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	49.53164478426384	1.427976217798719	0.0
SRR2155417	37636995.0	0.0	37636995.0	1.0	37636995.0	0.0	37636995.0	0.0	0.0	0.0	0.0	22313134.0	522933.0	0.0	6110273.0	0.0	3801336495.0	3801336495.0	0.0	3801336495.0	3776589279.0	0.0	2253626534.0	41619283.0	0.01102034	101.0	101.0	0.0	101.0	101.0	0.0	31.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	59.28511030171245	1.3894121993533226	0.0
SRR2155418	28254617.0	0.0	28254617.0	1.0	28254617.0	0.0	28254617.0	0.0	0.0	0.0	0.0	15454231.0	411804.0	0.0	4672947.0	0.0	2853716317.0	2853716317.0	0.0	2853716317.0	2835011786.0	0.0	1560877331.0	28582985.0	0.01008214	101.0	101.0	0.0	101.0	101.0	0.0	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	54.6963032625783	1.4574750738967723	0.0
SRR2155419	14619862.0	0.0	14619862.0	1.0	14619862.0	0.0	14619862.0	0.0	0.0	0.0	0.0	6570953.0	205503.0	0.0	2311385.0	0.0	1476606062.0	1476606062.0	0.0	1476606062.0	1467157535.0	0.0	663666253.0	12991924.0	0.008855167	101.0	101.0	0.0	101.0	101.0	0.0	31.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	44.94538320539551	1.4056425430007478	0.0
SRR2155420	36111645.0	0.0	36111645.0	1.0	36111645.0	0.0	36111645.0	0.0	0.0	0.0	0.0	21123564.0	529062.0	0.0	5984392.0	0.0	3647276145.0	3647276145.0	0.0	3647276145.0	3623585133.0	0.0	2133479964.0	39092086.0	0.01078823	101.0	101.0	0.0	101.0	101.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	58.49515855619427	1.4650731086883468	0.0
SRR2155421	21398959.0	0.0	21398959.0	1.0	21398959.0	0.0	21398959.0	0.0	0.0	0.0	0.0	10837506.0	296614.0	0.0	3361974.0	0.0	2161294859.0	2161294859.0	0.0	2161294859.0	2146880183.0	0.0	1094588106.0	21781188.0	0.01014551	101.0	101.0	0.0	101.0	101.0	0.0	31.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	50.64501502152511	1.3861141563007808	0.0
SRR2155422	20326300.0	0.0	20326300.0	1.0	20326300.0	0.0	20326300.0	0.0	0.0	0.0	0.0	10235602.0	276795.0	0.0	3137445.0	0.0	2052956300.0	2052956300.0	0.0	2052956300.0	2040186298.0	0.0	1033795802.0	18323168.0	0.008981125	101.0	101.0	0.0	101.0	101.0	0.0	31.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	50.35644460624905	1.3617579195426615	0.0
SRR2155423	29695699.0	0.0	29695699.0	1.0	29695699.0	0.0	29695699.0	0.0	0.0	0.0	0.0	16702775.0	433465.0	0.0	4841428.0	0.0	2999265599.0	2999265599.0	0.0	2999265599.0	2978339396.0	0.0	1686980275.0	32516534.0	0.01091767	101.0	101.0	0.0	101.0	101.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	56.246444981813696	1.45968949914262	0.0
SRR2155424	25870203.0	0.0	25870203.0	1.0	25870203.0	0.0	25870203.0	0.0	0.0	0.0	0.0	13825815.0	350036.0	0.0	3987131.0	0.0	2612890503.0	2612890503.0	0.0	2612890503.0	2594903580.0	0.0	1396407315.0	26257812.0	0.01011899	101.0	101.0	0.0	101.0	101.0	0.0	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	53.443009318481195	1.3530469784098718	0.0
