Module	Section	Sample Name	Source
Picard	DuplicationMetrics	SRR2155416	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155416.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155422	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155422.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155423	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155423.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155424	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155424.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155419	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155419.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155417	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155417.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155414	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155414.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155415	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155415.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155418	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155418.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155420	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155420.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155413	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155413.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SRR2155421	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/picard/markduplicates/SRR2155421.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	SRR2155420	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155420/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155413	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155413/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155417	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155417/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155418	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155418/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155422	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155422/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155419	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155419/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155424	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155424/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155421	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155421/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155415	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155415/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR2155416	/scratch/laxy/jobs/1qUtszdMrQnXC4tawunu92/output/work/b1/63d420c26d3bf396316b9dc3146b33/qualimap/SRR2155416/rnaseq_qc_results.txt
