Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR2155413	9113877.0	101.0	8352994.0	91.65	100.41	3491266.0	3487546.0	3458443.0	27345.0	3574.0	1904.0	0.83	0.01	1.79	0.01	1.3	553380.0	6.07	824.0	0.01	0.0	2.24	0.02	0	204850	1829
SRR2155414	30581575.0	101.0	27816550.0	90.96	100.37	11595692.0	11583997.0	11484693.0	92993.0	11721.0	6285.0	0.86	0.01	1.73	0.01	1.29	1987858.0	6.5	2382.0	0.01	0.0	2.51	0.03	0	765634	9151
SRR2155415	29100275.0	101.0	26347586.0	90.54	100.31	10897517.0	10886307.0	10794418.0	85763.0	11367.0	5969.0	0.97	0.01	1.73	0.01	1.28	1884323.0	6.48	2308.0	0.01	0.0	2.95	0.02	0	860226	5832
SRR2155416	20318349.0	101.0	18516632.0	91.13	100.38	7749163.0	7741106.0	7675999.0	60995.0	7910.0	4259.0	0.86	0.01	1.78	0.01	1.29	1308278.0	6.44	1641.0	0.01	0.0	2.39	0.03	0	485701	6097
SRR2155417	38665207.0	101.0	35090669.0	90.76	100.34	14715707.0	14701108.0	14575691.0	117164.0	14855.0	7997.0	0.89	0.01	1.72	0.01	1.29	2546326.0	6.59	3053.0	0.01	0.0	2.62	0.03	0	1013553	11606
SRR2155418	29079084.0	101.0	26337671.0	90.57	100.34	10946066.0	10934808.0	10841514.0	86271.0	12161.0	6120.0	0.96	0.01	1.73	0.01	1.28	1916946.0	6.59	2935.0	0.01	0.0	2.8	0.03	0	812823	8709
SRR2155419	14980598.0	101.0	13666022.0	91.22	100.35	5609497.0	5603328.0	5556569.0	44363.0	5439.0	3126.0	0.86	0.01	1.77	0.01	1.28	953840.0	6.37	1494.0	0.01	0.0	2.37	0.03	0	354751	4491
SRR2155420	37064178.0	101.0	33669134.0	90.84	100.34	14051445.0	14037001.0	13915898.0	113512.0	14284.0	7751.0	0.87	0.01	1.72	0.01	1.29	2442511.0	6.59	2645.0	0.01	0.0	2.53	0.03	0	938757	11132
SRR2155421	22017473.0	101.0	20004682.0	90.86	100.32	8278952.0	8270481.0	8202380.0	63776.0	8291.0	4505.0	0.96	0.01	1.73	0.01	1.29	1394277.0	6.33	1694.0	0.01	0.0	2.78	0.02	0	612414	4406
SRR2155422	20836789.0	101.0	19028709.0	91.32	100.37	7911081.0	7902878.0	7835151.0	63814.0	7722.0	4394.0	0.87	0.01	1.77	0.01	1.29	1297591.0	6.23	1576.0	0.01	0.0	2.42	0.03	0	502681	6232
SRR2155423	30541349.0	101.0	27735932.0	90.81	100.29	11420539.0	11408295.0	11310066.0	92481.0	11483.0	6509.0	0.88	0.01	1.73	0.01	1.29	1959767.0	6.42	2113.0	0.01	0.0	2.74	0.03	0	834401	9136
SRR2155424	26622255.0	101.0	24216328.0	90.96	100.3	9922526.0	9912182.0	9828005.0	79146.0	9888.0	5487.0	0.96	0.01	1.74	0.01	1.28	1653875.0	6.21	2198.0	0.01	0.0	2.79	0.03	0	741877	7977
