Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
SRR2155413	SRR2155413.markdup.sorted.bam	8906374.0	10169111.0	1814698.0	7460725.0	469046.0	0.0	1.2	7460725.0	356670.0	66379.0	305036.0
SRR2155414	SRR2155414.markdup.sorted.bam	29804408.0	34560073.0	6738049.0	24876202.0	1550500.0	0.0	1.19	24876202.0	1160534.0	228725.0	1053422.0
SRR2155415	SRR2155415.markdup.sorted.bam	28231909.0	32726986.0	6374222.0	23501610.0	1455875.0	0.0	1.2	23501610.0	1169873.0	219619.0	1052755.0
SRR2155416	SRR2155416.markdup.sorted.bam	19824910.0	23003005.0	4482688.0	16477273.0	1036974.0	0.0	1.2	16477273.0	848868.0	153097.0	692691.0
SRR2155417	SRR2155417.markdup.sorted.bam	37636995.0	43747268.0	8649911.0	31396516.0	1972528.0	0.0	1.18	31396516.0	1440580.0	280321.0	1347931.0
SRR2155418	SRR2155418.markdup.sorted.bam	28254617.0	32927564.0	6584846.0	23459427.0	1457340.0	0.0	1.18	23459427.0	1199395.0	220887.0	1039370.0
SRR2155419	SRR2155419.markdup.sorted.bam	14619862.0	16931247.0	3262356.0	12117210.0	756208.0	0.0	1.18	12117210.0	674266.0	118004.0	521492.0
SRR2155420	SRR2155420.markdup.sorted.bam	36111645.0	42096037.0	8420255.0	30108096.0	1878444.0	0.0	1.2	30108096.0	1411380.0	270499.0	1285992.0
SRR2155421	SRR2155421.markdup.sorted.bam	21398959.0	24760933.0	4752463.0	17870018.0	1112822.0	0.0	1.2	17870018.0	862360.0	159053.0	787155.0
SRR2155422	SRR2155422.markdup.sorted.bam	20326300.0	23463745.0	4431263.0	16999043.0	1069540.0	0.0	1.21	16999043.0	812009.0	147737.0	714251.0
SRR2155423	SRR2155423.markdup.sorted.bam	29695699.0	34537127.0	6795854.0	24783497.0	1532202.0	0.0	1.2	24783497.0	1198026.0	221640.0	1069430.0
SRR2155424	SRR2155424.markdup.sorted.bam	25870203.0	29857334.0	5636295.0	21601598.0	1334861.0	0.0	1.22	21601598.0	1084525.0	194836.0	959340.0
